# INSTRUMENT_ID: 71
# OBS_GROUP_ID: 65
# UNIT_ID: None
# RA: 213.9260333333333
# DEC: 26.629177777777777
# OBS_DATE: 2010-08-22 00:00:00+00:00
# REDSHIFT: None
# REDSHIFT_ERR: None
# REDSHIFT_QUALITY: None
# SPEC_PLOT_FILE: None
# SPEC_DATA_FILE: None
# SPECTRUM_NOTES: None
# REFERENCE: None
# TRANSIENT_ID: 88212
# FOLLOWUP_ID: None
# SPEC_PHASE: None
# RLAP: None
# SNID_PLOT_FILE: None

wavelength,flux,fluxerr
3800.000,2.08656e-15,-9.90000e+01
3803.383,2.36936e-15,-9.90000e+01
3806.766,2.13776e-15,-9.90000e+01
3810.150,2.21971e-15,-9.90000e+01
3813.533,2.12806e-15,-9.90000e+01
3816.916,2.28758e-15,-9.90000e+01
3820.299,2.78231e-15,-9.90000e+01
3823.682,2.37635e-15,-9.90000e+01
3827.066,1.89226e-15,-9.90000e+01
3830.449,2.28085e-15,-9.90000e+01
3833.832,2.59518e-15,-9.90000e+01
3837.215,2.34636e-15,-9.90000e+01
3840.599,1.89879e-15,-9.90000e+01
3843.982,2.06590e-15,-9.90000e+01
3847.365,2.35099e-15,-9.90000e+01
3850.748,2.23707e-15,-9.90000e+01
3854.131,1.75444e-15,-9.90000e+01
3857.515,1.79099e-15,-9.90000e+01
3860.898,2.56089e-15,-9.90000e+01
3864.281,2.46437e-15,-9.90000e+01
3867.664,2.14000e-15,-9.90000e+01
3871.047,2.22435e-15,-9.90000e+01
3874.431,2.04954e-15,-9.90000e+01
3877.814,2.16961e-15,-9.90000e+01
3881.197,2.42342e-15,-9.90000e+01
3884.580,2.05362e-15,-9.90000e+01
3887.964,2.59847e-15,-9.90000e+01
3891.347,2.19504e-15,-9.90000e+01
3894.730,1.23367e-15,-9.90000e+01
3898.113,1.92337e-15,-9.90000e+01
3901.496,1.88089e-15,-9.90000e+01
3904.880,1.86736e-15,-9.90000e+01
3908.263,1.97972e-15,-9.90000e+01
3911.646,2.24302e-15,-9.90000e+01
3915.029,1.92259e-15,-9.90000e+01
3918.412,1.93650e-15,-9.90000e+01
3921.796,2.16125e-15,-9.90000e+01
3925.179,2.03369e-15,-9.90000e+01
3928.562,1.74603e-15,-9.90000e+01
3931.945,1.48604e-15,-9.90000e+01
3935.329,1.75692e-15,-9.90000e+01
3938.712,1.88224e-15,-9.90000e+01
3942.095,1.47017e-15,-9.90000e+01
3945.478,1.76744e-15,-9.90000e+01
3948.861,2.15012e-15,-9.90000e+01
3952.245,1.72420e-15,-9.90000e+01
3955.628,1.98477e-15,-9.90000e+01
3959.011,1.82528e-15,-9.90000e+01
3962.394,1.43566e-15,-9.90000e+01
3965.777,1.68204e-15,-9.90000e+01
3969.161,1.56933e-15,-9.90000e+01
3972.544,1.80616e-15,-9.90000e+01
3975.927,1.88245e-15,-9.90000e+01
3979.310,1.68864e-15,-9.90000e+01
3982.694,1.63610e-15,-9.90000e+01
3986.077,1.48292e-15,-9.90000e+01
3989.460,1.59633e-15,-9.90000e+01
3992.843,1.74277e-15,-9.90000e+01
3996.226,1.76763e-15,-9.90000e+01
3999.610,1.66481e-15,-9.90000e+01
4002.993,1.58296e-15,-9.90000e+01
4006.376,1.71525e-15,-9.90000e+01
4009.759,1.47969e-15,-9.90000e+01
4013.142,1.46158e-15,-9.90000e+01
4016.526,1.92241e-15,-9.90000e+01
4019.909,1.77038e-15,-9.90000e+01
4023.292,1.68022e-15,-9.90000e+01
4026.675,1.71578e-15,-9.90000e+01
4030.059,1.53869e-15,-9.90000e+01
4033.442,1.76421e-15,-9.90000e+01
4036.825,1.87706e-15,-9.90000e+01
4040.208,1.76456e-15,-9.90000e+01
4043.591,1.75472e-15,-9.90000e+01
4046.975,1.85746e-15,-9.90000e+01
4050.358,1.86235e-15,-9.90000e+01
4053.741,1.76056e-15,-9.90000e+01
4057.124,2.02922e-15,-9.90000e+01
4060.507,2.21899e-15,-9.90000e+01
4063.891,2.16117e-15,-9.90000e+01
4067.274,2.11997e-15,-9.90000e+01
4070.657,1.92386e-15,-9.90000e+01
4074.040,2.06227e-15,-9.90000e+01
