# TELESCOPE = UH88
# INSTRUMENT = SNIFS
# OBJECT = 21ulv
# CHANNEL = B+R
# EXPNUM = 21_214_009
# MJD-OBS = 59428.270110
# DATE-OBS = 2021-08-02T06:29:55
# EXPTIME = 2700.0s
# AIRMASS = 1.22
# RA = 14:15:42.24
# DEC = 26:37:45.04
# wl fl err
# [A] [erg/s/cm2/A]
3402.860000 7.569676e-16 3.969792e-17
3405.860000 7.741703e-16 4.134453e-17
3408.860000 7.093590e-16 3.711816e-17
3411.860000 7.064220e-16 3.480649e-17
3414.860000 7.183946e-16 3.860693e-17
3417.860000 7.279414e-16 3.959321e-17
3420.860000 7.165283e-16 3.495501e-17
3423.860000 7.659553e-16 3.447023e-17
3426.860000 7.654337e-16 3.868113e-17
3429.860000 7.555528e-16 3.869917e-17
3432.860000 7.616359e-16 3.379291e-17
3435.860000 7.660977e-16 3.376836e-17
3438.860000 7.015247e-16 3.741063e-17
3441.860000 7.033427e-16 3.721214e-17
3444.860000 7.234906e-16 3.296259e-17
3447.860000 7.936005e-16 3.422646e-17
3450.860000 7.890066e-16 3.721172e-17
3453.860000 7.542315e-16 3.540125e-17
3456.860000 7.623468e-16 3.201917e-17
3459.860000 6.947146e-16 3.324678e-17
3462.860000 6.425607e-16 3.502818e-17
3465.860000 6.955782e-16 3.303468e-17
3468.860000 6.897716e-16 3.053356e-17
3471.860000 7.123177e-16 3.308006e-17
3474.860000 7.031079e-16 3.449569e-17
3477.860000 6.524910e-16 3.141885e-17
3480.860000 7.046740e-16 2.997128e-17
3483.860000 7.388361e-16 3.354942e-17
3486.860000 6.949817e-16 3.416672e-17
3489.860000 6.883259e-16 3.094059e-17
3492.860000 6.616862e-16 2.972559e-17
3495.860000 6.752815e-16 3.328702e-17
3498.860000 6.735380e-16 3.339063e-17
3501.860000 7.041068e-16 2.944991e-17
3504.860000 7.367763e-16 2.926300e-17
3507.860000 7.191267e-16 3.274071e-17
3510.860000 6.682706e-16 3.185906e-17
3513.860000 6.776066e-16 2.796992e-17
3516.860000 6.947936e-16 2.849574e-17
3519.860000 6.766457e-16 3.116662e-17
3522.860000 6.664234e-16 2.991625e-17
3525.860000 6.221234e-16 2.647306e-17
3528.860000 6.052744e-16 2.782847e-17
3531.860000 6.320996e-16 3.011932e-17
3534.860000 6.739198e-16 2.882329e-17
3537.860000 6.774198e-16 2.652502e-17
3540.860000 6.849293e-16 2.874360e-17
3543.860000 6.727922e-16 3.038957e-17
3546.860000 7.120379e-16 2.850671e-17
3549.860000 6.700637e-16 2.668790e-17
3552.860000 6.819103e-16 2.960886e-17
3555.860000 7.203784e-16 3.041651e-17
3558.860000 7.422794e-16 2.793369e-17
3561.860000 7.134976e-16 2.677881e-17
3564.860000 6.484514e-16 2.934236e-17
3567.860000 6.043855e-16 2.941182e-17
3570.860000 6.374534e-16 2.640116e-17
3573.860000 6.507411e-16 2.620323e-17
3576.860000 6.570857e-16 2.930193e-17
3579.860000 6.791677e-16 2.927912e-17
3582.860000 6.645658e-16 2.549653e-17
3585.860000 6.569551e-16 2.550508e-17
3588.860000 6.380016e-16 2.806764e-17
3591.860000 6.197298e-16 2.709851e-17
3594.860000 6.192584e-16 2.418012e-17
3597.860000 6.050978e-16 2.506875e-17
3600.860000 6.376873e-16 2.717345e-17
3603.860000 6.633742e-16 2.603701e-17
3606.860000 6.389778e-16 2.358252e-17
3609.860000 6.131311e-16 2.486590e-17
3612.860000 5.906948e-16 2.642575e-17
3615.860000 5.830451e-16 2.456396e-17
3618.860000 6.223759e-16 2.325745e-17
3621.860000 6.533725e-16 2.573345e-17
3624.860000 6.097603e-16 2.636212e-17
3627.860000 6.256380e-16 2.419682e-17
3630.860000 6.023286e-16 2.321457e-17
3633.860000 6.006390e-16 2.590674e-17
3636.860000 6.682954e-16 2.661916e-17
3639.860000 6.718714e-16 2.383474e-17
3642.860000 6.626940e-16 2.346518e-17
3645.860000 6.473427e-16 2.630874e-17
3648.860000 6.086703e-16 2.582738e-17
3651.860000 5.977921e-16 2.253834e-17
3654.860000 5.873473e-16 2.283795e-17
3657.860000 6.054540e-16 2.530945e-17
3660.860000 6.207081e-16 2.480926e-17
3663.860000 5.884173e-16 2.187441e-17
3666.860000 5.870006e-16 2.257662e-17
3669.860000 5.928627e-16 2.459374e-17
3672.860000 6.062232e-16 2.345500e-17
3675.860000 6.165504e-16 2.137489e-17
3678.860000 6.081490e-16 2.282127e-17
3681.860000 6.279766e-16 2.423903e-17
3684.860000 6.411057e-16 2.273391e-17
3687.860000 6.488164e-16 2.133662e-17
3690.860000 6.179464e-16 2.314363e-17
3693.860000 5.803470e-16 2.406172e-17
3696.860000 5.775665e-16 2.192008e-17
3699.860000 5.833875e-16 2.114664e-17
3702.860000 5.829941e-16 2.394027e-17
3705.860000 6.461301e-16 2.450025e-17
3708.860000 6.520856e-16 2.197314e-17
3711.860000 6.436236e-16 2.145747e-17
3714.860000 6.465885e-16 2.444712e-17
3717.860000 6.092186e-16 2.415801e-17
3720.860000 5.665055e-16 2.059301e-17
3723.860000 5.862113e-16 2.101929e-17
3726.860000 6.294441e-16 2.392122e-17
3729.860000 6.441894e-16 2.344658e-17
3732.860000 6.195615e-16 2.084799e-17
3735.860000 5.848403e-16 2.134599e-17
3738.860000 6.087983e-16 2.338490e-17
3741.860000 6.150330e-16 2.250690e-17
3744.860000 6.349324e-16 2.067684e-17
3747.860000 6.186343e-16 2.187299e-17
3750.860000 5.950130e-16 2.304496e-17
3753.860000 5.864207e-16 2.148538e-17
3756.860000 5.968681e-16 1.993435e-17
3759.860000 5.678385e-16 2.156194e-17
