WAVE,FLUX,ERR,SKYBACK
14977.917,2.873141E-16,3.6515805E-18,1.6249536E-17
14988.065,2.904112E-16,3.6652973E-18,1.6506237E-17
14998.214,2.8559704E-16,3.606004E-18,1.5772347E-17
15008.362,2.9365476E-16,3.702897E-18,1.7730956E-17
15018.512,2.8651805E-16,3.7690923E-18,2.7121303E-17
15028.66,2.7288556E-16,3.873017E-18,5.194728E-17
15038.809,3.0806932E-16,3.8112868E-18,8.34965E-17
15048.957,2.9344099E-16,3.6725334E-18,1.0394754E-16
15059.105,2.771504E-16,3.5247055E-18,1.015945E-16
15069.254,2.874834E-16,3.523078E-18,7.156928E-17
15079.403,2.8148202E-16,3.626436E-18,5.226268E-17
15089.552,2.9489786E-16,3.656015E-18,3.718807E-17
15099.7,2.9618148E-16,3.57398E-18,2.6936324E-17
15109.849,3.0970558E-16,3.747898E-18,2.0282962E-17
15119.997,3.0324793E-16,3.542967E-18,1.633479E-17
15130.1455,2.9553938E-16,3.503896E-18,1.666463E-17
15140.295,2.8811823E-16,3.4561566E-18,1.6395775E-17
15150.443,3.0260054E-16,3.5909147E-18,1.6095687E-17
15160.592,2.9456733E-16,3.5851186E-18,1.8936656E-17
15170.74,2.9112644E-16,3.6353802E-18,2.4261634E-17
15180.889,2.9191836E-16,3.592891E-18,2.961716E-17
15191.037,2.9300958E-16,3.507172E-18,2.7402378E-17
15201.187,2.9203025E-16,3.464237E-18,2.5030742E-17
15211.335,2.972184E-16,3.6206634E-18,3.5763438E-17
15221.483,2.7210613E-16,4.0325117E-18,5.3707166E-17
15231.632,2.8637977E-16,3.8700774E-18,6.173746E-17
15241.78,2.9068794E-16,3.4834242E-18,5.3656404E-17
15251.929,2.921032E-16,3.5246182E-18,4.6049287E-17
15262.078,2.895823E-16,3.547543E-18,3.3549327E-17
15272.227,2.8980102E-16,3.4345023E-18,3.8120546E-17
15282.375,2.8482632E-16,3.4347972E-18,3.669835E-17
15292.523,2.8014715E-16,3.3487479E-18,3.311913E-17
15302.672,2.8718922E-16,3.3468596E-18,3.876615E-17
15312.82,3.0529362E-16,3.5831417E-18,6.175146E-17
15322.97,2.82739E-16,3.4000397E-18,6.3577545E-17
15333.118,2.9569317E-16,3.54108E-18,5.81908E-17
15343.267,2.9229437E-16,3.403602E-18,4.426834E-17
15353.415,2.9568658E-16,3.368834E-18,2.9075514E-17
15363.563,2.8836607E-16,3.3314172E-18,2.6358234E-17
15373.712,2.8103494E-16,3.338394E-18,2.838686E-17
15383.861,2.82816E-16,3.2603686E-18,2.870468E-17
15394.01,2.7579324E-16,3.2591005E-18,3.040737E-17
15404.158,2.9138444E-16,3.3296555E-18,3.7366726E-17
15414.307,2.7429452E-16,3.309102E-18,4.6459483E-17
15424.455,2.880831E-16,3.4059065E-18,4.5628613E-17
15434.604,2.8177229E-16,3.286421E-18,4.009757E-17
15444.753,2.89039E-16,3.324992E-18,2.8467044E-17
15454.901,2.8035157E-16,3.2675136E-18,2.2923362E-17
15465.05,2.8454108E-16,3.2730151E-18,2.0610148E-17
15475.198,2.7926787E-16,3.2242015E-18,2.1066338E-17
15485.347,2.775458E-16,3.2837207E-18,2.5192575E-17
15495.495,2.7010004E-16,3.199479E-18,2.4839423E-17
15505.645,2.7224912E-16,3.266749E-18,3.0404827E-17
15515.793,2.6734808E-16,3.1775947E-18,3.5319795E-17
15525.941,2.5342003E-16,3.1810339E-18,3.8456368E-17
15536.09,2.5882195E-16,3.0806826E-18,4.111312E-17
15546.238,2.7105954E-16,3.1465324E-18,3.7148718E-17
15556.387,2.735316E-16,3.2424159E-18,3.0545044E-17
15566.536,2.3382347E-16,3.8510605E-18,2.9400524E-17
15576.685,5.6800695E-16,7.025581E-18,3.4635647E-17
15586.833,6.7740984E-16,6.2945326E-18,3.4286405E-17
15596.981,4.8413624E-16,7.713608E-18,3.697968E-17
15607.13,2.940024E-16,3.3909903E-18,3.3465094E-17
15617.278,2.7363037E-16,3.1392944E-18,3.6111334E-17
15627.428,2.6875095E-16,3.2138699E-18,4.34912E-17
15637.576,2.598709E-16,3.3770467E-18,4.8532473E-17
15647.725,2.5839044E-16,3.0738156E-18,4.82988E-17
15657.873,2.5950096E-16,3.1313114E-18,4.2649442E-17
15668.021,2.5542302E-16,3.1205788E-18,2.9591655E-17
15678.17,2.584181E-16,3.1988764E-18,2.5223156E-17
15688.318,2.5485482E-16,3.2133349E-18,2.814476E-17
15698.468,2.552188E-16,3.2262827E-18,2.2823645E-17
15708.616,2.4918568E-16,3.1823386E-18,1.8922393E-17
15718.765,2.5857565E-16,3.2563106E-18,1.8564423E-17
15728.913,2.524529E-16,3.2564182E-18,1.6952514E-17
15739.062,2.5000725E-16,3.1524666E-18,1.6344879E-17
15749.21,2.5197997E-16,3.146803E-18,1.5592058E-17
15759.359,2.3697745E-16,3.0692998E-18,1.612919E-17
15769.508,2.478927E-16,3.0815687E-18,1.7404254E-17
15779.656,2.4859438E-16,3.0545332E-18,1.9395733E-17
15789.805,2.406024E-16,3.036112E-18,2.5792908E-17
15799.953,2.4602048E-16,3.1225233E-18,4.8513968E-17
15810.102,2.4550337E-16,3.038169E-18,8.738989E-17
15820.251,2.6594288E-16,3.1483032E-18,1.0529038E-16
15830.399,2.6101355E-16,3.268901E-18,1.01520796E-16
15840.548,2.432092E-16,2.9578738E-18,9.230865E-17
15850.696,2.508439E-16,3.0436783E-18,6.173614E-17
15860.845,2.4560027E-16,2.9900232E-18,4.319111E-17
15870.993,2.541974E-16,3.0693506E-18,3.2631524E-17
15881.143,2.495014E-16,3.0252228E-18,2.2834213E-17
15891.291,2.4019313E-16,2.9273124E-18,1.7792797E-17
15901.439,2.3262868E-16,2.8815813E-18,1.699335E-17
15911.588,2.3494293E-16,2.9039896E-18,1.5576481E-17
15921.736,2.3804326E-16,2.9340526E-18,1.3699631E-17
15931.885,2.4598618E-16,2.9775485E-18,1.4921078E-17
15942.034,2.3532428E-16,2.9413234E-18,2.0674582E-17
15952.183,2.3276794E-16,2.8892023E-18,2.6386352E-17
15962.331,2.378579E-16,2.908783E-18,2.909131E-17
15972.4795,2.45679E-16,2.9711552E-18,2.8613686E-17
15982.628,2.295234E-16,2.8975086E-18,2.3248925E-17
15992.776,2.3478387E-16,2.9854038E-18,2.6552458E-17
16002.926,2.6149082E-16,3.14088E-18,4.6441695E-17
16013.074,2.4268307E-16,3.0666303E-18,7.174709E-17
16023.223,2.4083105E-16,3.4572597E-18,7.3348395E-17
16033.371,2.507513E-16,3.0923907E-18,5.2201727E-17
16043.52,2.514681E-16,3.0075456E-18,3.797801E-17
16053.668,2.541739E-16,3.0573429E-18,3.64754E-17
16063.817,2.5003356E-16,3.03739E-18,3.510702E-17
16073.966,2.5048953E-16,3.1682986E-18,3.5542154E-17
16084.114,2.4914527E-16,3.075487E-18,3.5599676E-17
16094.263,2.5501523E-16,3.0884742E-18,4.5444793E-17
16104.411,2.5295408E-16,3.0684623E-18,6.652984E-17
16114.56,2.6516938E-16,3.6987638E-18,7.5871606E-17
16124.709,2.4324314E-16,3.4018415E-18,6.6550386E-17
16134.857,2.4912795E-16,2.967721E-18,4.8991853E-17
16145.006,2.458835E-16,2.9082529E-18,3.0091448E-17
16155.154,2.453923E-16,2.8972357E-18,2.4253209E-17
16165.303,2.4573683E-16,2.9349745E-18,2.7613769E-17
16175.451,2.4060476E-16,2.9038672E-18,3.299929E-17
16185.601,2.3441774E-16,2.8575494E-18,3.1658346E-17
16195.749,2.403655E-16,2.8841557E-18,3.1557298E-17
16205.897,2.3769963E-16,3.068691E-18,4.020085E-17
16216.046,2.2816969E-16,2.8165725E-18,5.476593E-17
16226.194,2.3501408E-16,2.8508143E-18,5.4227268E-17
16236.343,2.383755E-16,3.0046058E-18,4.1031242E-17
16246.492,2.3169406E-16,2.8121378E-18,2.8346394E-17
16256.641,2.3595262E-16,2.8840293E-18,1.9568408E-17
16266.789,2.3625242E-16,2.8503538E-18,1.846889E-17
16276.9375,2.3284377E-16,2.8467005E-18,1.791883E-17
16287.086,2.3684566E-16,2.8297642E-18,2.09994E-17
16297.234,2.3279544E-16,2.8286589E-18,2.4719474E-17
16307.384,2.3603645E-16,2.8707086E-18,2.8211822E-17
16317.532,2.5042717E-16,2.9261405E-18,3.396879E-17
16327.681,2.402714E-16,3.0157713E-18,3.7005387E-17
16337.829,2.410961E-16,2.889059E-18,4.0888616E-17
