#WAVE FLUX ERR SKYBACK
9379.826 3.5215384E-15 4.0296494E-17 3.1108675E-16
9386.766 3.6048435E-15 3.9247152E-17 2.5899748E-16
9393.705 3.593842E-15 4.1047845E-17 2.5452133E-16
9400.6455 3.650339E-15 4.0430017E-17 2.6496347E-16
9407.585 3.8200504E-15 4.1167184E-17 2.5983247E-16
9414.524 3.932445E-15 4.219748E-17 2.774914E-16
9421.464 3.8830527E-15 4.4717715E-17 2.9443143E-16
9428.403 3.7042326E-15 4.777984E-17 3.2143164E-16
9435.343 3.5334231E-15 4.545677E-17 3.2151192E-16
9442.282 3.6032955E-15 4.872475E-17 2.872695E-16
9449.222 3.6387206E-15 4.42877E-17 3.1473029E-16
9456.161 3.5175665E-15 4.3509313E-17 3.0017506E-16
9463.101 3.8292577E-15 4.146745E-17 3.0204975E-16
9470.04 3.735707E-15 4.065926E-17 2.7915453E-16
9476.9795 3.6283605E-15 4.0224423E-17 2.7180305E-16
9483.919 3.827381E-15 4.1142653E-17 2.9671014E-16
9490.858 3.5379188E-15 4.1422277E-17 2.9433042E-16
9497.798 3.4293501E-15 3.9290067E-17 2.6188064E-16
9504.737 3.6488032E-15 3.9541506E-17 2.5474132E-16
9511.677 3.6932678E-15 3.9903408E-17 2.7797305E-16
9518.616 3.413708E-15 3.943891E-17 2.7254704E-16
9525.556 3.5593235E-15 3.9357187E-17 2.512605E-16
9532.495 3.6751904E-15 3.9350904E-17 2.58542E-16
9539.435 3.662737E-15 4.0195432E-17 2.605936E-16
9546.374 3.8727583E-15 4.134013E-17 2.7700878E-16
9553.313 3.460904E-15 3.9783655E-17 2.8448605E-16
9560.253 3.565891E-15 4.1101744E-17 2.5448578E-16
9567.192 3.533892E-15 3.6494964E-17 2.4169818E-16
9574.132 3.55774E-15 3.7565623E-17 2.3137774E-16
9581.071 3.5698945E-15 3.8637325E-17 2.7228538E-16
9588.011 3.553942E-15 3.8283732E-17 2.867501E-16
9594.95 3.411838E-15 3.6060085E-17 2.1977768E-16
9601.89 3.4609584E-15 3.5724584E-17 2.1764947E-16
9608.829 3.4946815E-15 3.7145975E-17 2.1481832E-16
9615.769 3.487772E-15 3.5982386E-17 2.1217645E-16
9622.708 3.3974735E-15 3.4442285E-17 2.0190057E-16
9629.647 3.5036667E-15 3.409688E-17 1.9828501E-16
9636.587 3.5220869E-15 3.453999E-17 2.0660838E-16
9643.526 3.4538717E-15 3.4032804E-17 1.9655182E-16
9650.466 3.3673617E-15 3.348325E-17 1.9602572E-16
9657.405 3.4443184E-15 3.2907323E-17 1.8475635E-16
9664.345 3.3905581E-15 3.2146257E-17 1.7573547E-16
9671.284 3.3587298E-15 3.134203E-17 1.7923261E-16
9678.224 3.4143852E-15 3.1216383E-17 1.7324395E-16
9685.163 3.3842248E-15 3.1460488E-17 1.7229457E-16
9692.103 3.4177235E-15 3.2300238E-17 1.7876694E-16
9699.042 3.4451312E-15 3.0544547E-17 1.8643044E-16
9705.981 3.2931392E-15 3.009111E-17 1.8414198E-16
9712.921 3.3976344E-15 3.0169854E-17 1.7875014E-16
9719.86 3.4524531E-15 3.177862E-17 1.7843301E-16
9726.8 3.3605395E-15 3.2057345E-17 1.6439624E-16
9733.739 3.3548758E-15 3.0652537E-17 1.7388424E-16
9740.679 3.348216E-15 3.0219194E-17 1.646186E-16
9747.618 3.446755E-15 3.042978E-17 1.6379384E-16
9754.558 3.2724601E-15 2.9667213E-17 1.6317259E-16
9761.497 3.1724058E-15 2.868026E-17 1.6269823E-16
9768.437 3.2904073E-15 2.8749374E-17 1.5807527E-16
9775.376 3.2851595E-15 2.950665E-17 1.7004933E-16
9782.315 3.3816257E-15 2.8822867E-17 1.7804348E-16
9789.255 3.321704E-15 2.9863768E-17 1.8229784E-16
9796.194 3.4270883E-15 2.9509797E-17 1.6084637E-16
9803.134 3.1985887E-15 2.97611E-17 1.535762E-16
9810.073 3.32833E-15 2.8452945E-17 1.4955212E-16
9817.013 3.3966004E-15 2.8984247E-17 1.4257371E-16
9823.952 3.1928373E-15 2.7932347E-17 1.4305127E-16
9830.892 3.2885984E-15 2.7618735E-17 1.4222738E-16
9837.831 3.3364962E-15 2.8516185E-17 1.4642516E-16
9844.7705 3.216141E-15 2.7071613E-17 1.4615203E-16
9851.71 3.3107284E-15 2.7215081E-17 1.5674763E-16
9858.649 3.262644E-15 2.7417652E-17 1.3149211E-16
9865.589 3.3529448E-15 2.7379437E-17 1.3452082E-16
9872.529 3.4247863E-15 2.7352525E-17 1.6643525E-16
9879.469 3.2816174E-15 2.7180149E-17 1.4331071E-16
9886.408 3.2925469E-15 2.7580662E-17 1.3744037E-16
9893.348 3.315511E-15 2.738906E-17 1.3919412E-16
9900.287 3.2132781E-15 2.6613467E-17 1.4176277E-16
9907.227 3.3244787E-15 2.6817616E-17 1.4830611E-16
9914.166 3.3017128E-15 2.6617408E-17 1.4464881E-16
9921.105 3.2021833E-15 2.8330675E-17 1.491191E-16
9928.045 3.285166E-15 2.6673258E-17 1.6149058E-16
9934.984 3.3315534E-15 2.7033306E-17 1.7001332E-16
9941.924 3.3180146E-15 2.7310356E-17 1.7043605E-16
9948.863 3.104573E-15 2.6910104E-17 1.7636735E-16
9955.803 3.2383992E-15 2.7208308E-17 1.8295646E-16
9962.742 3.3746932E-15 2.8987115E-17 1.5457103E-16
9969.682 3.3046872E-15 2.6879924E-17 1.4281566E-16
9976.621 3.1949143E-15 2.6185593E-17 1.3506789E-16
9983.561 3.1944802E-15 2.625815E-17 1.290395E-16
9990.5 3.1999801E-15 2.6421562E-17 1.4179817E-16
9997.439 3.168265E-15 2.6108548E-17 1.5703414E-16
10004.379 3.3699003E-15 2.7041394E-17 1.639692E-16
10011.318 3.2751465E-15 2.6485077E-17 1.6179957E-16
10018.258 3.243358E-15 2.6449782E-17 1.6412788E-16
10025.197 3.266759E-15 2.6934498E-17 1.4914356E-16
10032.137 3.3189093E-15 2.7045645E-17 1.3771125E-16
10039.076 3.3265184E-15 2.6884189E-17 1.4035503E-16
10046.016 3.2978855E-15 2.7290839E-17 1.385261E-16
10052.955 3.1582144E-15 2.6337366E-17 1.3404114E-16
10059.895 3.197335E-15 2.560919E-17 1.322488E-16
10066.834 3.0616694E-15 2.5779701E-17 1.414442E-16
10073.773 3.0956329E-15 2.5943496E-17 1.4653007E-16
10080.713 3.1413886E-15 2.6463634E-17 1.398375E-16
10087.652 3.0462106E-15 2.5422875E-17 1.3254246E-16
10094.592 3.0813811E-15 2.5218828E-17 1.1856537E-16
10101.531 3.0804034E-15 2.5026182E-17 1.2431082E-16
10108.471 3.0535826E-15 2.5101668E-17 1.3711345E-16
10115.41 3.1451263E-15 2.5135615E-17 1.514957E-16
10122.35 3.0078523E-15 2.459304E-17 1.465047E-16
10129.289 2.9877158E-15 2.5078865E-17 1.3035656E-16
10136.229 3.2635574E-15 2.5420688E-17 1.298675E-16
10143.168 3.2092922E-15 2.5890945E-17 1.225981E-16
10150.107 2.9672072E-15 2.4148506E-17 1.3942545E-16
10157.047 2.9327548E-15 2.4763733E-17 1.4210977E-16
10163.986 2.9425501E-15 2.3874714E-17 1.5265454E-16
10170.926 2.9577704E-15 2.4246272E-17 1.728736E-16
10177.865 2.9105577E-15 2.432615E-17 1.5710627E-16
10184.805 2.7941317E-15 2.3491043E-17 1.4205169E-16
10191.744 2.9020037E-15 2.3641317E-17 1.3809402E-16
10198.684 2.7792758E-15 2.3721679E-17 1.516541E-16
10205.623 2.7479602E-15 2.3259773E-17 1.5909231E-16
10212.5625 2.8402349E-15 2.3872239E-17 1.3715687E-16
10219.502 2.8214892E-15 2.6152806E-17 1.3071661E-16
10226.441 2.8151333E-15 2.4006616E-17 1.1374096E-16
10233.381 2.78255E-15 2.3453075E-17 1.1791256E-16
10240.32 2.7856919E-15 2.3394871E-17 1.1171904E-16
10247.26 2.697284E-15 2.3391574E-17 1.0355682E-16
10254.199 2.7688251E-15 2.3347312E-17 1.0566383E-16
10261.139 2.7059406E-15 2.2724666E-17 1.1862256E-16
10268.078 2.6920702E-15 2.44939E-17 1.5222279E-16
10275.018 2.7743776E-15 2.3238413E-17 1.6249333E-16
10281.957 2.67141E-15 2.264705E-17 1.8748342E-16
10288.896 2.6958499E-15 2.3018898E-17 1.8533984E-16
10295.836 2.568665E-15 2.1912901E-17 1.5776766E-16
10302.775 2.497676E-15 2.19196E-17 1.2871609E-16
10309.715 2.610673E-15 2.1999158E-17 1.10269614E-16
10316.654 2.5921751E-15 2.1935796E-17 1.05523504E-16
10323.594 2.569379E-15 2.3209527E-17 1.0497486E-16
10330.533 2.5098696E-15 2.1622336E-17 1.2192155E-16
10337.473 2.4485573E-15 2.1159227E-17 1.2204366E-16
10344.413 2.3851766E-15 2.1209392E-17 1.1681398E-16
10351.353 2.388056E-15 2.0966214E-17 1.3185882E-16
10358.292 2.4606851E-15 2.1132246E-17 1.3451237E-16
10365.231 2.3876768E-15 2.0901325E-17 1.4608837E-16
10372.171 2.4560792E-15 2.1342605E-17 1.3120753E-16
10379.11 2.3690141E-15 2.24472E-17 1.3110343E-16
10386.05 2.3621453E-15 2.126856E-17 1.2904604E-16
10392.989 2.3557666E-15 2.0718585E-17 1.1490854E-16
10399.929 2.413446E-15 2.1100484E-17 1.3558659E-16
10406.868 2.4288473E-15 2.1081327E-17 1.4164381E-16
10413.808 2.3202109E-15 2.1036715E-17 1.3240887E-16
10420.747 2.37199E-15 2.0735626E-17 1.3768073E-16
10427.687 2.390439E-15 2.1121562E-17 1.1844018E-16
10434.626 2.4100114E-15 2.1413122E-17 1.0227209E-16
10441.565 2.4374468E-15 2.0978137E-17 1.0495468E-16
10448.505 2.4140782E-15 2.1698236E-17 1.1938065E-16
10455.444 2.4106818E-15 2.0898583E-17 1.2868454E-16
10462.384 2.3518588E-15 2.0614416E-17 1.2197562E-16
10469.323 2.3645103E-15 2.0870889E-17 1.2484018E-16
10476.263 2.345159E-15 2.0653388E-17 1.0580735E-16
10483.202 2.3778351E-15 2.043938E-17 9.9506406E-17
