#WAVE FLUX ERR SKYBACK
5986.276 8.260993E-15 3.080996E-17 1.3380996E-15
5990.4883 8.1415706E-15 3.0619427E-17 1.343347E-15
5994.701 8.200138E-15 3.068883E-17 1.3418428E-15
5998.9136 8.187493E-15 3.063787E-17 1.3363221E-15
6003.1265 8.030306E-15 3.0357648E-17 1.3312141E-15
6007.339 8.032573E-15 3.0300794E-17 1.3073823E-15
6011.552 7.9764305E-15 3.016024E-17 1.2903986E-15
6015.764 7.941858E-15 3.0115313E-17 1.3127105E-15
6019.977 7.9631295E-15 3.0107015E-17 1.3020776E-15
6024.1895 7.871454E-15 3.0018643E-17 1.3548837E-15
6028.4023 7.8951424E-15 3.0003518E-17 1.3363972E-15
6032.6147 7.867028E-15 2.992426E-17 1.3295438E-15
6036.8276 7.858514E-15 2.987047E-17 1.3194353E-15
6041.04 7.795126E-15 2.974532E-17 1.3206418E-15
6045.253 7.764127E-15 2.9702736E-17 1.3399957E-15
6049.4653 7.744519E-15 2.962022E-17 1.3232892E-15
6053.678 7.782807E-15 2.962595E-17 1.3038279E-15
6057.8906 7.681841E-15 2.9490832E-17 1.3347486E-15
6062.1035 7.668282E-15 2.944217E-17 1.3322566E-15
6066.316 7.700054E-15 2.9437455E-17 1.3117595E-15
6070.529 7.681219E-15 2.9355128E-17 1.2947388E-15
6074.741 7.61667E-15 2.9242482E-17 1.3054442E-15
6078.954 7.686147E-15 2.9326756E-17 1.3029492E-15
6083.1665 7.642677E-15 2.9235786E-17 1.3057703E-15
6087.3794 7.587516E-15 2.9107814E-17 1.2964808E-15
6091.592 7.635277E-15 2.9109217E-17 1.2631425E-15
6095.8047 7.574753E-15 2.9007447E-17 1.2751215E-15
6100.017 7.56932E-15 2.8971002E-17 1.2706245E-15
6104.23 7.485453E-15 2.8853754E-17 1.2960449E-15
6108.4424 7.561871E-15 2.8916375E-17 1.2695527E-15
6112.6553 7.47854E-15 2.875823E-17 1.2674627E-15
6116.8677 7.461869E-15 2.8717454E-17 1.271596E-15
6121.0806 7.4685224E-15 2.8687603E-17 1.257011E-15
6125.293 7.427457E-15 2.857846E-17 1.2420228E-15
6129.506 7.416889E-15 2.85564E-17 1.2512887E-15
6133.7183 7.363617E-15 2.843541E-17 1.2411178E-15
6137.931 7.32194E-15 2.835857E-17 1.2476393E-15
6142.1436 7.333906E-15 2.8422482E-17 1.2869611E-15
6146.3564 7.312001E-15 2.8344852E-17 1.2720666E-15
6150.569 7.281785E-15 2.823109E-17 1.2426015E-15
6154.7817 7.294557E-15 2.8203583E-17 1.2223205E-15
