GROUP	MJD	STAR	B	EB	V	EV	R	ER	CLEAR	ECLEAR	I	EI
;;KAIT  data
1	57743.331	0	18.495	 0.110	18.153	 0.096	17.903	 0.115	17.883	 0.168	17.527	 0.122
2	57744.404	0	18.138	 0.090	17.917	 0.064	17.598	 0.166	17.518	 0.038	17.271	 0.154
3	57748.365	0	18.082	 0.100	17.598	 0.090	17.152	 0.091	17.231	 0.109	16.970	 0.113
4	57749.386	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5	57750.369	0	18.316	 0.129	17.706	 0.138	17.247	 0.147	17.124	 0.151	16.998	 0.126
6	57751.361	0	18.269	 0.102	17.622	 0.075	17.189	 0.080	17.164	 0.136	16.896	 0.080
7	57754.349	0	18.713	 0.349	17.574	 0.109	17.148	 0.096	17.092	 0.155	16.841	 0.093
8	57759.337	0	18.660	 0.159	17.711	 0.109	17.227	 0.115	17.201	 0.162	16.952	 0.120
9	57768.381	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
10	57769.343	0	18.995	 0.360	17.866	 0.126	17.296	 0.121	17.291	 0.156	16.910	 0.107
11	57770.327	0	18.955	 0.254	17.806	 0.133	17.212	 0.104	17.367	 0.120	16.826	 0.086
12	57780.254	0	18.846	 0.264	18.043	 0.154	17.327	 0.156	17.436	 0.222	16.943	 0.138
13	57781.281	0	19.014	 0.197	17.983	 0.116	17.266	 0.099	17.433	 0.193	16.916	 0.095
14	57782.281	0	19.297	 0.208	17.930	 0.116	17.355	 0.117	17.351	 0.166	16.897	 0.109
15	57783.284	0	19.228	 0.259	17.981	 0.153	17.377	 0.157	NaN	NaN	16.781	 0.109
16	57784.237	0	18.944	 0.339	18.137	 0.240	17.339	 0.153	NaN	NaN	16.974	 0.156
17	57785.280	0	19.316	 0.240	17.971	 0.102	17.304	 0.101	17.449	 0.128	16.871	 0.090
18	57796.277	0	NaN	NaN	NaN	NaN	NaN	NaN	17.553	 0.211	NaN	NaN
19	57797.284	0	NaN	NaN	NaN	NaN	NaN	NaN	17.541	 0.293	NaN	NaN
20	57800.294	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
21	57809.214	0	19.552	 0.377	18.241	 0.157	17.403	 0.157	17.466	 0.210	16.908	 0.136
22	57813.195	0	19.737	 0.266	18.179	 0.115	17.425	 0.107	17.436	 0.132	16.896	 0.085
23	57814.185	0	19.905	 0.300	18.142	 0.120	17.487	 0.109	17.557	 0.130	16.862	 0.091
24	57815.163	0	19.665	 0.265	18.131	 0.182	17.396	 0.125	17.499	 0.176	16.826	 0.104
25	57816.169	0	19.725	 0.308	18.151	 0.117	17.412	 0.099	17.424	 0.148	16.862	 0.084
26	57821.146	0	NaN	NaN	NaN	NaN	NaN	NaN	17.486	 0.179	NaN	NaN
27	57825.145	0	NaN	NaN	NaN	NaN	NaN	NaN	17.632	 0.163	NaN	NaN
28	57829.204	0	NaN	NaN	NaN	NaN	NaN	NaN	17.577	 0.218	NaN	NaN
29	57841.164	0	NaN	NaN	NaN	NaN	NaN	NaN	17.656	 0.202	NaN	NaN
30	57845.167	0	NaN	NaN	NaN	NaN	NaN	NaN	17.854	 0.260	NaN	NaN
31	57853.164	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
32	57742.420	0	18.299	 0.190	18.399	 0.089	NaN	NaN	18.266	 0.053	NaN	NaN
33	57823.154	0	NaN	NaN	NaN	NaN	NaN	NaN	17.466	 0.158	NaN	NaN
34	57830.129	0	NaN	NaN	NaN	NaN	NaN	NaN	17.678	 0.176	NaN	NaN
;;Nickel data
1	57744.380	0	18.100	 0.125	17.676	 0.107	17.424	 0.182	NaN	NaN	17.040	 0.164
2	57780.231	0	19.101	 0.386	17.866	 0.187	17.289	 0.153	NaN	NaN	16.800	 0.124
3	57785.199	0	19.439	 0.325	17.880	 0.129	17.300	 0.097	NaN	NaN	16.821	 0.103
4	57799.289	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5	57813.220	0	19.733	 0.362	18.088	 0.167	17.355	 0.109	NaN	NaN	16.827	 0.074
6	57821.184	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7	57827.175	0	19.978	 0.321	18.096	 0.176	17.393	 0.103	NaN	NaN	16.868	 0.083
8	57829.206	0	19.993	 0.376	18.066	 0.145	17.439	 0.126	NaN	NaN	16.913	 0.093
9	57838.159	0	20.149	 0.329	18.190	 0.184	17.512	 0.144	NaN	NaN	16.929	 0.101
