GROUP	MJD	STAR	B	EB	V	EV	R	ER	CLEAR	ECLEAR	I	EI
;;kait data
1	58730.292	0	17.279	 0.053	17.396	 0.030	17.356	 0.032	17.171	 0.023	17.301	 0.045
2	58731.185	0	17.103	 0.028	17.214	 0.020	17.047	 0.022	16.864	 0.021	16.978	 0.037
3	58732.211	0	17.050	 0.030	17.072	 0.028	16.923	 0.031	16.768	 0.021	16.801	 0.048
4	58733.205	0	17.036	 0.033	17.051	 0.028	16.880	 0.028	16.689	 0.035	16.793	 0.046
5	58735.183	0	16.951	 0.031	16.931	 0.025	16.677	 0.023	16.622	 0.024	16.627	 0.033
6	58738.161	0	16.980	 0.037	16.952	 0.031	16.664	 0.024	16.595	 0.021	16.561	 0.035
7	58739.254	0	16.981	 0.067	16.920	 0.044	16.655	 0.032	16.607	 0.031	16.560	 0.043
8	58740.167	0	17.018	 0.101	16.881	 0.040	16.608	 0.031	16.516	 0.068	16.442	 0.045
9	58741.173	0	17.051	 0.044	16.934	 0.026	16.605	 0.023	16.557	 0.020	16.494	 0.036
10	58743.210	0	17.080	 0.088	16.879	 0.053	16.559	 0.055	16.497	 0.032	16.434	 0.078
11	58744.177	0	17.152	 0.029	16.890	 0.019	16.578	 0.019	16.536	 0.017	16.419	 0.026
12	58746.172	0	17.187	 0.035	16.867	 0.019	16.567	 0.019	16.511	 0.014	16.383	 0.025
13	58747.165	0	17.215	 0.031	16.900	 0.019	16.551	 0.018	16.511	 0.017	16.370	 0.025
14	58748.165	0	17.267	 0.032	16.910	 0.022	16.576	 0.021	16.529	 0.016	16.406	 0.026
15	58749.148	0	17.368	 0.037	16.889	 0.022	16.580	 0.023	16.551	 0.018	16.407	 0.029
16	58751.160	0	17.429	 0.036	16.917	 0.020	16.542	 0.018	16.555	 0.019	16.363	 0.025
17	58752.145	0	17.404	 0.037	16.933	 0.021	16.548	 0.017	16.555	 0.019	16.350	 0.030
18	58753.153	0	17.519	 0.042	16.923	 0.022	16.543	 0.018	16.545	 0.019	16.358	 0.032
19	58757.147	0	17.559	 0.051	16.934	 0.031	16.549	 0.020	16.588	 0.020	16.337	 0.026
20	58758.147	0	17.551	 0.052	16.932	 0.025	16.555	 0.020	16.570	 0.023	16.348	 0.029
21	58759.145	0	17.696	 0.051	16.934	 0.021	16.579	 0.020	16.604	 0.020	16.353	 0.026
22	58760.135	0	17.715	 0.070	16.946	 0.029	16.535	 0.024	16.584	 0.023	16.330	 0.033
23	58761.139	0	17.745	 0.071	16.945	 0.028	16.558	 0.023	16.597	 0.020	16.312	 0.030
24	58763.124	0	17.813	 0.131	16.956	 0.040	16.591	 0.041	16.597	 0.021	16.298	 0.083
25	58765.139	0	17.761	 0.087	16.962	 0.028	16.579	 0.023	16.572	 0.019	16.299	 0.029
26	58767.138	0	17.865	 0.103	16.926	 0.040	16.551	 0.026	16.560	 0.029	16.269	 0.035
27	58768.138	0	17.855	 0.107	16.945	 0.036	16.554	 0.027	16.531	 0.028	16.294	 0.035
28	58771.141	0	18.006	 0.122	16.949	 0.036	16.579	 0.026	16.572	 0.024	16.311	 0.032
29	58775.133	0	18.042	 0.181	16.982	 0.040	16.577	 0.030	16.607	 0.022	16.281	 0.038
30	58780.096	0	17.964	 0.140	17.060	 0.052	16.565	 0.037	16.625	 0.041	16.285	 0.065
31	58783.127	0	18.063	 0.087	17.019	 0.027	16.610	 0.021	16.619	 0.017	16.276	 0.027
32	58790.125	0	18.230	 0.185	17.021	 0.044	16.582	 0.034	16.646	 0.030	16.299	 0.057
33	58793.124	0	18.180	 0.122	17.063	 0.046	16.643	 0.036	16.682	 0.032	16.341	 0.045
34	58796.123	0	18.274	 0.183	17.101	 0.056	16.609	 0.037	16.687	 0.037	16.327	 0.043
35	58799.119	0	18.255	 0.376	17.116	 0.119	16.617	 0.089	16.661	 0.046	16.369	 0.126
36	58806.112	0	NaN	NaN	NaN	NaN	NaN	NaN	16.753	 0.023	NaN	NaN
37	58813.087	0	18.376	 0.265	17.226	 0.129	16.678	 0.063	16.841	 0.104	16.416	 0.087
38	58891.593	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
39	58899.586	0	NaN	NaN	NaN	NaN	NaN	NaN	17.789	 0.382	NaN	NaN
40	58963.522	0	NaN	NaN	NaN	NaN	NaN	NaN	18.712	 0.238	NaN	NaN
;;Nickel data
1	58735.198	0	16.950	 0.011	16.900	 0.012	16.709	 0.015	NaN	NaN	16.639	 0.383
2	58738.160	0	17.002	 0.011	16.899	 0.010	16.652	 0.014	NaN	NaN	16.547	 0.019
3	58746.179	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4	58751.125	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5	58759.145	0	17.673	 0.014	16.952	 0.012	16.584	 0.014	NaN	NaN	16.335	 0.013
6	58763.166	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7	58775.167	0	17.989	 0.133	17.002	 0.020	16.588	 0.016	NaN	NaN	16.284	 0.020
8	58779.105	0	18.075	 0.394	17.001	 0.069	16.592	 0.014	NaN	NaN	16.285	 0.015
9	58784.099	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
10	58788.103	0	18.169	 0.350	17.033	 0.074	16.638	 0.029	NaN	NaN	16.303	 0.016
11	58789.112	0	18.199	 0.024	17.045	 0.016	16.625	 0.014	NaN	NaN	16.304	 0.015
12	58792.088	0	18.238	 0.344	17.062	 0.116	NaN	NaN	NaN	NaN	NaN	NaN
13	58805.114	0	18.333	 0.035	17.121	 0.018	16.712	 0.017	NaN	NaN	16.366	 0.017
