GROUP	MJD	STAR	B	EB	V	EV	R	ER	CLEAR	ECLEAR	I	EI
;;KAIT data
1	59027.254	0	16.472	 0.051	16.173	 0.029	15.865	 0.019	15.860	 0.017	15.732	 0.026
2	59034.240	0	16.643	 0.053	16.209	 0.026	15.885	 0.022	15.875	 0.022	15.729	 0.024
3	59035.214	0	16.647	 0.047	16.193	 0.024	15.865	 0.020	15.871	 0.017	15.683	 0.024
4	59036.236	0	16.758	 0.051	16.211	 0.022	15.865	 0.017	15.882	 0.014	15.703	 0.022
5	59038.230	0	16.701	 0.030	16.220	 0.019	15.881	 0.015	15.897	 0.014	15.706	 0.020
6	59040.213	0	16.780	 0.036	16.181	 0.017	15.834	 0.015	15.868	 0.016	15.640	 0.018
7	59041.227	0	16.726	 0.074	16.245	 0.045	15.821	 0.031	15.890	 0.017	15.711	 0.040
8	59044.285	0	16.893	 0.049	16.206	 0.023	15.858	 0.020	15.904	 0.017	15.673	 0.024
9	59045.275	0	16.837	 0.044	16.185	 0.023	15.823	 0.017	NaN	NaN	15.658	 0.020
10	59048.214	0	16.830	 0.077	16.213	 0.035	15.867	 0.023	15.887	 0.016	15.641	 0.025
11	59049.257	0	16.887	 0.044	16.168	 0.025	15.830	 0.018	15.866	 0.018	15.628	 0.023
12	59050.228	0	16.846	 0.054	16.188	 0.033	15.840	 0.022	15.905	 0.014	15.612	 0.024
13	59051.223	0	16.931	 0.045	16.223	 0.025	15.856	 0.020	15.898	 0.017	15.652	 0.023
14	59052.237	0	16.898	 0.040	16.191	 0.021	15.813	 0.016	15.849	 0.014	15.575	 0.018
15	59053.219	0	16.897	 0.039	16.230	 0.020	15.850	 0.018	15.870	 0.013	15.626	 0.021
16	59054.209	0	16.874	 0.042	16.222	 0.024	15.840	 0.019	15.872	 0.016	15.623	 0.023
17	59069.200	0	17.042	 0.051	16.182	 0.030	15.788	 0.021	15.878	 0.015	15.562	 0.020
18	59072.194	0	17.018	 0.057	16.208	 0.027	15.816	 0.018	15.863	 0.016	15.592	 0.020
;;Nickel data
1	59030.235	0	16.491	 0.021	16.149	 0.017	15.868	 0.023	NaN	NaN	15.819	 0.060
2	59034.250	0	16.660	 0.017	16.123	 0.011	15.810	 0.011	NaN	NaN	15.685	 0.013
3	59039.275	0	16.757	 0.016	16.140	 0.011	15.855	 0.010	NaN	NaN	15.659	 0.011
4	59043.240	0	16.790	 0.015	16.149	 0.012	15.836	 0.011	NaN	NaN	15.619	 0.013
5	59051.208	0	16.844	 0.081	16.107	 0.015	15.777	 0.013	NaN	NaN	15.534	 0.013
6	59054.203	0	16.900	 0.017	16.112	 0.013	15.779	 0.011	NaN	NaN	15.554	 0.012
