GROUP	MJD	STAR	B	EB	V	EV	R	ER	CLEAR	ECLEAR	I	EI
;;kait data
1	59295.338	0	15.909	 0.044	15.990	 0.063	15.866	 0.090	15.747	 0.155	15.798	 0.093
2	59298.298	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3	59299.391	0	15.949	 0.145	15.931	 0.187	15.675	 0.134	NaN	NaN	15.663	 0.194
4	59300.204	0	15.953	 0.072	15.935	 0.091	15.625	 0.093	15.608	 0.085	15.655	 0.120
5	59301.321	0	15.969	 0.057	15.944	 0.057	15.694	 0.059	15.637	 0.074	15.580	 0.066
6	59302.336	0	15.984	 0.068	15.982	 0.064	15.698	 0.076	15.661	 0.104	15.571	 0.092
7	59304.352	0	16.063	 0.058	15.953	 0.058	15.694	 0.078	15.641	 0.136	15.533	 0.074
8	59305.216	0	16.136	 0.046	15.920	 0.055	15.650	 0.074	15.612	 0.119	15.551	 0.077
9	59306.302	0	16.122	 0.054	15.974	 0.067	15.626	 0.080	15.648	 0.105	15.545	 0.094
10	59309.234	0	16.205	 0.056	15.924	 0.068	15.627	 0.096	15.641	 0.093	15.478	 0.095
11	59310.272	0	16.213	 0.063	15.928	 0.057	15.610	 0.070	15.604	 0.124	15.456	 0.072
12	59312.207	0	16.318	 0.063	15.943	 0.046	15.662	 0.076	15.627	 0.120	15.516	 0.077
13	59313.302	0	16.382	 0.112	15.963	 0.145	15.632	 0.205	15.648	 0.119	15.477	 0.208
14	59314.337	0	16.427	 0.103	15.972	 0.084	15.620	 0.103	15.673	 0.116	15.511	 0.106
15	59315.273	0	16.416	 0.077	15.985	 0.062	15.649	 0.084	15.673	 0.144	15.492	 0.089
16	59316.286	0	16.467	 0.050	16.004	 0.046	15.638	 0.060	15.689	 0.088	15.472	 0.061
17	59317.329	0	16.496	 0.086	15.994	 0.058	15.645	 0.078	15.722	 0.135	15.467	 0.071
18	59319.342	0	16.611	 0.096	15.992	 0.084	15.684	 0.104	15.693	 0.117	15.469	 0.088
19	59320.259	0	16.565	 0.059	16.027	 0.054	15.656	 0.059	15.684	 0.098	15.466	 0.052
20	59321.278	0	16.684	 0.103	16.049	 0.070	15.666	 0.079	15.726	 0.128	15.491	 0.069
21	59322.213	0	16.686	 0.167	16.024	 0.087	15.698	 0.093	15.723	 0.149	15.472	 0.240
22	59323.238	0	16.661	 0.098	16.050	 0.085	15.708	 0.080	15.744	 0.140	15.500	 0.096
23	59324.295	0	16.702	 0.141	15.999	 0.064	15.694	 0.083	15.715	 0.148	15.447	 0.078
24	59325.293	0	16.756	 0.132	16.042	 0.078	15.668	 0.098	15.734	 0.241	15.461	 0.114
25	59326.234	0	16.697	 0.104	16.073	 0.064	15.718	 0.072	15.742	 0.115	15.465	 0.071
26	59327.236	0	16.696	 0.104	16.061	 0.078	15.653	 0.098	15.728	 0.157	15.439	 0.075
27	59332.252	0	16.854	 0.101	16.050	 0.076	15.684	 0.074	15.666	 0.108	15.401	 0.071
28	59333.283	0	16.840	 0.128	16.020	 0.091	15.629	 0.141	15.719	 0.144	15.379	 0.136
29	59334.276	0	16.816	 0.252	15.989	 0.133	15.695	 0.092	15.670	 0.126	15.319	 0.093
30	59337.165	0	16.803	 0.136	16.022	 0.065	15.624	 0.071	15.713	 0.119	15.356	 0.061
31	59339.248	0	16.901	 0.089	15.990	 0.061	15.591	 0.056	15.660	 0.131	15.354	 0.060
