GROUP	MJD	STAR	B	EB	V	EV	R	ER	CLEAR	ECLEAR	I	EI
;;kait data
1	59674.482	0	18.015	 0.325	17.984	 0.334	17.763	 0.317	17.736	 0.393	17.524	 0.306
2	59689.446	0	NaN	NaN	NaN	NaN	NaN	NaN	17.770	 0.272	NaN	NaN
3	59692.432	0	NaN	NaN	NaN	NaN	NaN	NaN	17.908	 0.239	NaN	NaN
4	59693.431	0	NaN	NaN	NaN	NaN	NaN	NaN	17.970	 0.294	NaN	NaN
5	59700.401	0	NaN	NaN	NaN	NaN	NaN	NaN	17.868	 0.240	NaN	NaN
6	59712.382	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7	59726.344	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8	59729.321	0	NaN	NaN	NaN	NaN	NaN	NaN	17.999	 0.302	NaN	NaN
9	59730.332	0	NaN	NaN	NaN	NaN	NaN	NaN	18.019	 0.294	NaN	NaN
10	59731.320	0	NaN	NaN	NaN	NaN	NaN	NaN	18.054	 0.208	NaN	NaN
11	59732.329	0	NaN	NaN	NaN	NaN	NaN	NaN	17.916	 0.212	NaN	NaN
12	59737.313	0	NaN	NaN	NaN	NaN	NaN	NaN	18.051	 0.320	NaN	NaN
13	59744.247	0	NaN	NaN	NaN	NaN	NaN	NaN	17.881	 0.298	NaN	NaN
14	59749.254	0	NaN	NaN	NaN	NaN	NaN	NaN	17.808	 0.269	NaN	NaN
15	59751.257	0	NaN	NaN	NaN	NaN	NaN	NaN	17.938	 0.219	NaN	NaN
16	59755.249	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
17	59756.247	0	NaN	NaN	NaN	NaN	NaN	NaN	17.944	 0.181	NaN	NaN
18	59757.249	0	NaN	NaN	NaN	NaN	NaN	NaN	17.895	 0.164	NaN	NaN
19	59759.249	0	NaN	NaN	NaN	NaN	NaN	NaN	17.972	 0.205	NaN	NaN
20	59760.265	0	NaN	NaN	NaN	NaN	NaN	NaN	18.014	 0.209	NaN	NaN
21	59762.235	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
22	59770.245	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
23	59771.244	0	NaN	NaN	NaN	NaN	NaN	NaN	17.983	 0.347	NaN	NaN
24	59772.269	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
25	59773.256	0	NaN	NaN	NaN	NaN	NaN	NaN	18.144	 0.332	NaN	NaN
26	59774.268	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
27	59775.230	0	NaN	NaN	NaN	NaN	NaN	NaN	18.209	 0.332	NaN	NaN
28	59776.244	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
29	59777.242	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
30	59778.228	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
31	59779.239	0	NaN	NaN	NaN	NaN	NaN	NaN	17.908	 0.279	NaN	NaN
32	59780.228	0	NaN	NaN	NaN	NaN	NaN	NaN	18.084	 0.257	NaN	NaN
33	59784.227	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
34	59785.240	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
35	59786.223	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
;;Nickel data
1	59676.423	0	18.225	 0.340	18.218	 0.105	17.926	 0.068	NaN	NaN	17.776	 0.095
2	59695.341	0	18.689	 0.101	18.128	 0.054	17.926	 0.051	NaN	NaN	NaN	NaN
3	59702.283	0	18.745	 0.218	18.291	 0.164	17.835	 0.305	NaN	NaN	NaN	NaN
4	59714.315	0	19.286	 0.315	18.228	 0.126	17.850	 0.125	NaN	NaN	17.710	 0.484
5	59722.293	0	19.379	 0.112	18.350	 0.059	17.952	 0.057	NaN	NaN	17.667	 0.066
6	59732.253	0	19.591	 0.118	18.369	 0.047	17.955	 0.047	NaN	NaN	17.636	 0.390
7	59737.240	0	19.552	 0.129	18.318	 0.353	17.926	 0.082	NaN	NaN	17.603	 0.057
8	59749.243	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
9	59758.223	0	19.673	 0.220	18.473	 0.088	17.916	 0.075	NaN	NaN	17.607	 0.080
10	59759.230	0	19.822	 0.202	18.459	 0.306	17.926	 0.085	NaN	NaN	17.526	 0.064
11	59762.220	0	19.859	 0.334	18.453	 0.072	17.995	 0.389	NaN	NaN	NaN	NaN
