GROUP	MJD	STAR	B	EB	V	EV	R	ER	CLEAR	ECLEAR	I	EI
;;kait data
1	59698.336	0	18.449	 0.392	19.366	 0.312	19.101	 0.301	19.133	 0.261	18.504	 0.384
2	59699.334	0	18.697	 0.341	19.032	 0.324	19.390	 0.371	NaN	NaN	18.462	 0.339
3	59714.291	0	NaN	NaN	NaN	NaN	NaN	NaN	18.992	 0.237	NaN	NaN
4	59716.284	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5	59717.279	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6	59719.273	0	19.129	 0.322	19.161	 0.346	19.134	 0.375	19.217	 0.288	18.501	 0.363
7	59723.269	0	NaN	NaN	NaN	NaN	NaN	NaN	18.889	 0.175	NaN	NaN
8	59724.262	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
9	59726.253	0	NaN	NaN	NaN	NaN	NaN	NaN	19.036	 0.189	NaN	NaN
10	59729.186	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
11	59730.243	0	NaN	NaN	NaN	NaN	NaN	NaN	18.938	 0.318	NaN	NaN
12	59732.188	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
13	59737.189	0	NaN	NaN	NaN	NaN	NaN	NaN	19.098	 0.303	NaN	NaN
14	59740.190	0	NaN	NaN	NaN	NaN	NaN	NaN	18.866	 0.260	NaN	NaN
15	59741.193	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
;;Nickel data
1	59702.190	0	18.805	 0.164	19.532	 0.218	18.967	 0.113	NaN	NaN	18.893	 0.137
2	59714.229	0	19.531	 0.127	19.199	 0.333	18.851	 0.104	NaN	NaN	18.707	 0.076
3	59722.213	0	19.652	 0.122	19.171	 0.049	18.836	 0.049	NaN	NaN	18.552	 0.071
4	59726.246	0	19.851	 0.391	19.172	 0.099	18.855	 0.069	NaN	NaN	18.710	 0.285
5	59732.218	0	19.972	 0.098	19.108	 0.081	18.867	 0.058	NaN	NaN	18.506	 0.097
6	59737.191	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
