GROUP	MJD	STAR	CLEAR	ECLEAR	B	EB	V	EV	R	ER	I	EI
;;kait data
1	59718.191	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2	59720.204	0	17.402	 0.199	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3	59722.299	0	17.430	 0.162	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4	59723.298	0	17.421	 0.287	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5	59742.243	0	17.387	 0.314	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
;;Nickel data
1	59722.266	0	NaN	NaN	18.244	 0.165	17.693	 0.080	17.391	 0.083	17.135	 0.091
2	59726.271	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3	59732.282	0	NaN	NaN	18.850	 0.236	17.750	 0.074	17.282	 0.100	17.049	 0.089
4	59737.228	0	NaN	NaN	19.081	 0.123	17.798	 0.063	NaN	NaN	16.987	 0.061
5	59749.203	0	NaN	NaN	19.358	 0.513	17.789	 0.093	17.252	 0.083	16.812	 0.068
6	59758.199	0	NaN	NaN	19.333	 0.316	17.736	 0.100	17.207	 0.078	16.687	 0.078
7	59762.200	0	NaN	NaN	19.506	 0.382	17.807	 0.103	17.155	 0.063	16.659	 0.049
8	59773.201	0	NaN	NaN	19.858	 0.331	17.724	 0.087	17.148	 0.065	16.597	 0.047
