WAVE,FLUX,ERR,SKYBACK
9350.466,8.050591E-16,1.12765695E-17,4.5124185E-17
9357.406,8.021558E-16,1.1612251E-17,4.797008E-17
9364.347,7.498218E-16,1.073929E-17,4.4724825E-17
9371.287,7.5243885E-16,1.0697729E-17,4.208655E-17
9378.228,7.9788063E-16,1.0723704E-17,3.6562796E-17
9385.168,8.258772E-16,1.0642578E-17,3.5997782E-17
9392.108,8.577971E-16,1.0582704E-17,3.4397624E-17
9399.049,8.4048496E-16,1.0428013E-17,3.3597085E-17
9405.989,8.5704874E-16,1.0637678E-17,3.6114487E-17
9412.931,8.221919E-16,1.06410326E-17,3.7158915E-17
9419.871,8.057987E-16,1.0629229E-17,3.841934E-17
9426.812,8.3712843E-16,1.0825914E-17,3.915289E-17
9433.752,7.8419846E-16,1.0664317E-17,4.0456358E-17
9440.692,7.6218995E-16,1.04399044E-17,3.834464E-17
9447.633,7.871705E-16,1.0784969E-17,3.823737E-17
9454.573,7.857696E-16,1.0355629E-17,3.8145537E-17
9461.514,7.830552E-16,1.0345755E-17,3.5951652E-17
9468.454,7.0042086E-16,1.02284845E-17,3.4748266E-17
9475.395,7.3343794E-16,9.907825E-18,3.721868E-17
9482.335,7.576711E-16,1.0044315E-17,3.780518E-17
9489.275,7.2027923E-16,9.875665E-18,4.1021038E-17
9496.216,7.3134196E-16,9.828272E-18,3.6524944E-17
9503.156,8.023822E-16,1.0320674E-17,3.5593817E-17
9510.098,8.008806E-16,1.0172035E-17,3.6810527E-17
9517.038,7.971738E-16,1.0194015E-17,3.6121237E-17
9523.979,7.946064E-16,1.0312038E-17,3.1481435E-17
9530.919,8.56138E-16,1.2525835E-17,3.6605452E-17
9537.859,8.3730827E-16,1.34089485E-17,3.2700025E-17
9544.8,8.4296454E-16,1.18417696E-17,3.4266903E-17
9551.74,8.2045956E-16,1.035383E-17,3.6161177E-17
9558.681,8.138186E-16,1.00701175E-17,3.545481E-17
9565.621,8.3178784E-16,1.0060556E-17,3.0952744E-17
