#WAVE FLUX ERR SKYBACK
3336.9468 2.62935E-14 2.2188622E-16 2.35488E-15
3341.0276 2.610037E-14 2.1710419E-16 2.3294833E-15
3345.1084 2.5741302E-14 2.1298139E-16 2.6007357E-15
3349.1892 2.6225367E-14 2.1071742E-16 2.5133522E-15
3353.2703 2.5693294E-14 2.0566687E-16 2.610258E-15
3357.351 2.5805979E-14 2.0348227E-16 2.8542499E-15
3361.432 2.5530715E-14 1.9937021E-16 2.878335E-15
3365.5127 2.6217665E-14 1.9778213E-16 2.6783144E-15
3369.5935 2.606513E-14 1.9430458E-16 2.7066203E-15
3373.6746 2.6333185E-14 1.9260912E-16 2.8250776E-15
3377.7554 2.6124034E-14 1.8895708E-16 2.7748456E-15
3381.8362 2.601876E-14 1.8637296E-16 2.941743E-15
3385.917 2.6339823E-14 1.8428066E-16 2.8016667E-15
3389.9978 2.6304796E-14 1.8058086E-16 2.4598034E-15
3394.0789 2.6480449E-14 1.7867113E-16 2.4827857E-15
3398.1597 2.6114763E-14 1.7608304E-16 2.780262E-15
3402.2405 2.6148307E-14 1.7354969E-16 2.6784448E-15
3406.3213 2.6238961E-14 1.7183535E-16 2.7748494E-15
3410.4023 2.6163172E-14 1.6928135E-16 2.7185002E-15
3414.4832 2.6500657E-14 1.6765651E-16 2.563841E-15
3418.564 2.5857078E-14 1.6318774E-16 2.3207047E-15
3422.6448 2.5821439E-14 1.6087564E-16 2.2253483E-15
3426.7256 2.5851947E-14 1.5910287E-16 2.242625E-15
3430.8066 2.5837776E-14 1.575026E-16 2.36088E-15
3434.8875 2.5895227E-14 1.5605707E-16 2.431244E-15
3438.9683 2.5890108E-14 1.541917E-16 2.3921329E-15
3443.049 2.5571659E-14 1.5165589E-16 2.3869435E-15
3447.13 2.5465952E-14 1.4977921E-16 2.4009301E-15
3451.211 2.5660795E-14 1.4891632E-16 2.496379E-15
3455.2917 2.5503019E-14 1.4600185E-16 2.3197837E-15
3459.3726 2.570122E-14 1.4478698E-16 2.2460864E-15
3463.4534 2.5696586E-14 1.4436807E-16 2.2852652E-15
3467.5344 2.567156E-14 1.4307591E-16 2.3689182E-15
3471.6152 2.5523839E-14 1.4111347E-16 2.2928337E-15
3475.696 2.5279597E-14 1.390391E-16 2.2495827E-15
3479.7769 2.5457646E-14 1.3781575E-16 2.1189715E-15
3483.8577 2.5774245E-14 1.3760433E-16 2.2517393E-15
3487.9387 2.5034147E-14 1.3519641E-16 2.5036708E-15
3492.0195 2.5202686E-14 1.3424948E-16 2.4600168E-15
3496.1003 2.5147061E-14 1.3267741E-16 2.3543181E-15
3500.1812 2.516259E-14 1.3127191E-16 2.23855E-15
3504.262 2.5155146E-14 1.3003843E-16 2.2080239E-15
3508.343 2.4771255E-14 1.2790384E-16 2.1501137E-15
3512.4238 2.4564318E-14 1.2622502E-16 2.0896947E-15
3516.5046 2.4459986E-14 1.2510969E-16 2.1680302E-15
3520.5854 2.4547086E-14 1.2460015E-16 2.311123E-15
3524.6665 2.4623609E-14 1.2406034E-16 2.4464203E-15
3528.7473 2.4422045E-14 1.2268767E-16 2.475749E-15
3532.8281 2.4296598E-14 1.2143668E-16 2.4695449E-15
3536.909 2.4301531E-14 1.2042543E-16 2.4360469E-15
3540.9897 2.4422742E-14 1.194563E-16 2.290141E-15
3545.0708 2.4223155E-14 1.1806349E-16 2.2561163E-15
3549.1516 2.4088968E-14 1.1678746E-16 2.2061964E-15
3553.2324 2.4210052E-14 1.1576371E-16 2.0069366E-15
3557.3132 2.3785246E-14 1.136107E-16 1.8214889E-15
