"Obj. ID","IAU name","Internal name/s","Obj. RA","Obj. DEC","Obj. Type","Redshift","Spec. ID","Obs-date","JD","From","Telescope","Instrument","Observer/s","Reducer/s","Source group","Public","Associated groups","End prop. period","Ascii file","Fits file","Spec. type","Spec. quality","Extinction-Corrected","WL Medium","WL Units","Flux Unit Coefficient","Spec. units","Flux Calibrated By","Exp-time","Aperture (slit)","HA","Airmass","Dichroic","Grism","Grating","Blaze","Lambda-min","Lambda-max","Del-Lambda","Contrib","Publish","Remarks","Created by","Creation date"
"4599","2016X","","193.81504","0.09982","SN IIP","0.0044","13756","2016-01-20 18:00:00.00","2457408.25","","FTS","FLOYDS-S","SNEx","G. Hosseinzadeh","","Y","","","2016X_2016-01-20_18-00-00_FTS_FLOYDS-S_None.ascii","2016X_2016-01-20_18-00-00_FTS_FLOYDS-S_None.fits","Object","","","Air","Angstrom","1","Other","","900","0","","","","","","","3300.3134765625","9999.8106749058","1.7378721655884","","","[TNS Source Group: ASAS-SN; Sender: iair] [Prev. spec info - createdby: upload-TNS; modifiedby: upload-TNS]"," Migration From WISeREP1.0","2016-01-20 15:06:50"
"4599","2016X","","193.81504","0.09982","SN IIP","0.0044","51839","2016-01-21 02:38:24.00","2457408.61","","Ekar","AFOSC","Unknown","","","Y","","","2016X_2457408.61_Ekar_AFOSC_None.dat","","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","3395.923","9290.664","4.749992747784","","2019ApJ...873L...3B","","Dr Subhash Bose","2019-05-11 19:43:02"
"4599","2016X","","193.81504","0.09982","SN IIP","0.0044","13757","2016-01-23 21:07:12.00","2457411.38","","Lijiang-2.4m","YFOSC","Jujia Zhang","Jujia Zhang","","Y","","","2016X_2016-01-23_21-07-12_Lijiang-2.4m_YFOSC_None.dat","","Object","","","Air","Angstrom","1","Other","","1500","0","","","","","","","3479.4279785156","9161.8965167999","2.868484875459","","","[TNS Source Group: ASAS-SN; Sender: jujia] [Prev. spec info - createdby: upload-TNS; modifiedby: upload-TNS]"," Migration From WISeREP1.0","2016-01-20 15:06:50"
"4599","2016X","","193.81504","0.09982","SN IIP","0.0044","51840","2016-01-24 03:21:36.00","2457411.64","","Galileo","BC-Asi","Unknown","","","Y","","","2016X_2457411.64_Galileo_BC-Asi_None.dat","","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","3211.219","7917.369","2.3069362745098","","2019ApJ...873L...3B","","Dr Subhash Bose","2019-05-11 19:43:02"
"4599","2016X","","193.81504","0.09982","SN IIP","0.0044","51841","2016-01-25 03:50:24.00","2457412.66","","Galileo","BC-Asi","Unknown","","","Y","","","2016X_2457412.66_Galileo_BC-Asi_None.dat","","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","3254.472","7933.041","2.3058496796451","","2019ApJ...873L...3B","","Dr Subhash Bose","2019-05-11 19:43:02"
"4599","2016X","","193.81504","0.09982","SN IIP","0.0044","51842","2016-01-26 03:07:12.00","2457413.63","","Galileo","BC-Asi","Unknown","","","Y","","","2016X_2457413.63_Galileo_BC-Asi_None.dat","","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","3275","7834.661","2.3051875631951","","2019ApJ...873L...3B","","Dr Subhash Bose","2019-05-11 19:43:02"
"4599","2016X","","193.81504","0.09982","SN IIP","0.0044","51843","2016-01-27 01:55:12.00","2457414.58","","Galileo","BC-Asi","Unknown","","","Y","","","2016X_2457414.58_Galileo_BC-Asi_None.dat","","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","3300","7749.479","2.3042356292077","","2019ApJ...873L...3B","","Dr Subhash Bose","2019-05-11 19:43:02"
"4599","2016X","","193.81504","0.09982","SN IIP","0.0044","75174","2016-01-27 07:40:14.00","2457414.8196065","","ESO-NTT","Sofi","PESSTO members","","PESSTO_SSDR1-4","Y","PESSTO_SSDR1-4","","SN2016X_2016-01-27_07-40-14_ESO-NTT_Sofi_PESSTO_SSDR1-4.csv","SN2016X_2016-01-27_07-40-14_ESO-NTT_Sofi_PESSTO_SSDR1-4.fits","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","960","","","","","","","","9379.826","16478.902","6.93269140625","","","Released as part of DR3","WIS_Bot1","2023-05-04 14:04:01"
"4599","2016X","","193.81504","0.09982","SN IIP","0.0044","75173","2016-01-27 08:04:48.00","2457414.8366667","","ESO-NTT","Sofi","PESSTO members","","PESSTO_SSDR1-4","Y","PESSTO_SSDR1-4","","SN2016X_2016-01-27_08-04-48_ESO-NTT_Sofi_PESSTO_SSDR1-4.csv","SN2016X_2016-01-27_08-04-48_ESO-NTT_Sofi_PESSTO_SSDR1-4.fits","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","1500","","","","","","","","15004.2295","25399.318","10.151453613281","","","Released as part of DR3","WIS_Bot1","2023-05-04 14:04:01"
"4599","2016X","","193.81504","0.09982","SN IIP","0.0044","51844","2016-01-28 01:30:43.00","2457415.563","","Galileo","BC-Asi","Unknown","","","Y","","","2016X_2457415.563_Galileo_BC-Asi_None.dat","","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","3210.801","7934.404","2.3064467773438","","2019ApJ...873L...3B","","Dr Subhash Bose","2019-05-11 19:43:02"
"4599","2016X","","193.81504","0.09982","SN IIP","0.0044","75172","2016-01-28 05:51:53.00","2457415.7443634","","ESO-NTT","EFOSC2-NTT","ELIAS-ROSA,TERRERAN,CIKOTA","TOMASELLA","PESSTO_SSDR1-4","Y","PESSTO_SSDR1-4","","SN2016X_2016-01-28_05-51-53_ESO-NTT_EFOSC2-NTT_PESSTO_SSDR1-4.csv","SN2016X_2016-01-28_05-51-53_ESO-NTT_EFOSC2-NTT_PESSTO_SSDR1-4.fits","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","1200","","","","","","","","3336.9468","7458.618","4.0768261127596","","","Released as part of DR3","WIS_Bot1","2023-05-04 14:04:01"
"4599","2016X","","193.81504","0.09982","SN IIP","0.0044","75171","2016-01-28 06:12:43.00","2457415.758831","","ESO-NTT","EFOSC2-NTT","ELIAS-ROSA,TERRERAN,CIKOTA","TOMASELLA","PESSTO_SSDR1-4","Y","PESSTO_SSDR1-4","","SN2016X_2016-01-28_06-12-43_ESO-NTT_EFOSC2-NTT_PESSTO_SSDR1-4.csv","SN2016X_2016-01-28_06-12-43_ESO-NTT_EFOSC2-NTT_PESSTO_SSDR1-4.fits","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","1200","","","","","","","","5986.276","9984.076","4.2082105263158","","","Released as part of DR3","WIS_Bot1","2023-05-04 14:04:01"
