GROUP	MJD	STAR	B	EB	V	EV	R	ER	CLEAR	ECLEAR	I	EI
;;kait data
1	55770.501	0	15.173	 0.022	15.256	 0.014	15.301	 0.039	NaN	NaN	15.330	 0.052
2	55772.509	0	15.137	 0.028	15.183	 0.022	15.261	 0.083	NaN	NaN	NaN	NaN
3	55774.478	0	15.172	 0.022	15.194	 0.028	15.157	 0.045	NaN	NaN	15.040	 0.045
4	55778.485	0	15.346	 0.022	15.242	 0.029	15.130	 0.041	NaN	NaN	14.980	 0.045
5	55780.511	0	15.440	 0.029	15.241	 0.017	15.086	 0.043	NaN	NaN	NaN	NaN
6	55784.512	0	15.650	 0.023	15.367	 0.018	15.221	 0.059	NaN	NaN	NaN	NaN
7	55801.464	0	16.473	 0.030	15.931	 0.036	15.601	 0.048	NaN	NaN	15.336	 0.064
8	55804.436	0	16.602	 0.031	16.008	 0.035	15.647	 0.044	NaN	NaN	15.391	 0.067
9	55807.403	0	16.719	 0.038	16.069	 0.032	15.702	 0.052	15.721	 0.042	15.422	 0.055
10	55810.515	0	16.805	 0.035	16.126	 0.027	15.759	 0.053	15.760	 0.042	15.468	 0.057
11	55813.361	0	16.905	 0.052	16.216	 0.035	15.831	 0.062	NaN	NaN	15.582	 0.070
12	55820.408	0	17.122	 0.060	16.331	 0.036	15.885	 0.042	15.922	 0.040	15.600	 0.045
13	55823.463	0	17.170	 0.039	16.396	 0.029	15.947	 0.055	16.012	 0.045	15.669	 0.065
14	55826.341	0	17.222	 0.043	16.503	 0.058	15.952	 0.054	16.000	 0.044	15.740	 0.077
15	55829.380	0	17.251	 0.046	16.521	 0.053	15.990	 0.064	16.024	 0.043	15.793	 0.091
16	55832.372	0	17.318	 0.042	16.551	 0.050	16.003	 0.057	16.052	 0.040	15.788	 0.071
17	55835.329	0	17.381	 0.066	16.595	 0.098	16.050	 0.128	NaN	NaN	15.808	 0.142
18	55837.440	0	17.401	 0.041	16.589	 0.031	16.047	 0.052	16.144	 0.045	15.837	 0.064
19	55841.357	0	17.436	 0.085	16.674	 0.050	16.058	 0.068	16.150	 0.044	15.859	 0.069
20	55848.396	0	17.517	 0.084	16.808	 0.047	16.166	 0.069	16.277	 0.054	15.930	 0.057
21	55851.310	0	17.582	 0.075	16.801	 0.040	16.204	 0.062	16.306	 0.053	16.014	 0.079
22	55854.291	0	17.680	 0.055	16.891	 0.055	16.194	 0.062	16.343	 0.054	16.033	 0.074
23	55857.295	0	17.808	 0.058	16.925	 0.056	16.256	 0.068	16.348	 0.044	16.092	 0.081
24	55860.280	0	17.881	 0.069	16.971	 0.060	16.280	 0.073	NaN	NaN	16.082	 0.086
25	55863.284	0	17.845	 0.092	17.034	 0.070	16.295	 0.061	NaN	NaN	16.134	 0.081
26	55866.280	0	17.927	 0.082	17.088	 0.077	16.377	 0.079	16.516	 0.076	16.211	 0.090
27	55870.316	0	18.088	 0.113	17.221	 0.070	16.473	 0.082	16.611	 0.066	16.311	 0.111
28	55874.280	0	18.002	 0.174	17.447	 0.148	NaN	NaN	NaN	NaN	NaN	NaN
29	55881.289	0	18.207	 0.087	17.559	 0.070	16.738	 0.110	16.922	 0.069	16.590	 0.096
30	55887.292	0	18.523	 0.110	18.040	 0.119	17.027	 0.121	NaN	NaN	17.114	 0.162
31	55890.235	0	18.604	 0.121	18.313	 0.132	17.245	 0.114	NaN	NaN	17.435	 0.190
32	55898.166	0	18.852	 0.215	18.585	 0.259	17.563	 0.220	17.814	 0.224	17.807	 0.179
33	55910.169	0	18.942	 0.181	18.761	 0.276	NaN	NaN	17.941	 0.197	17.999	 0.227
34	55913.170	0	18.910	 0.160	18.915	 0.243	NaN	NaN	18.021	 0.239	18.089	 0.249
35	55916.170	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
36	55919.156	0	19.266	 0.376	18.882	 0.270	17.760	 0.252	NaN	NaN	18.162	 0.358
37	55773.477	0	NaN	NaN	NaN	NaN	NaN	NaN	14.929	 0.030	NaN	NaN
38	55805.452	0	NaN	NaN	NaN	NaN	NaN	NaN	15.643	 0.031	NaN	NaN
39	55806.385	0	NaN	NaN	NaN	NaN	NaN	NaN	15.688	 0.040	NaN	NaN
40	55809.401	0	NaN	NaN	NaN	NaN	NaN	NaN	15.705	 0.032	NaN	NaN
41	55812.360	0	NaN	NaN	NaN	NaN	NaN	NaN	15.805	 0.041	NaN	NaN
42	55814.378	0	NaN	NaN	NaN	NaN	NaN	NaN	15.867	 0.047	NaN	NaN
43	55821.371	0	NaN	NaN	NaN	NaN	NaN	NaN	15.939	 0.039	NaN	NaN
44	55822.330	0	NaN	NaN	NaN	NaN	NaN	NaN	15.971	 0.044	NaN	NaN
45	55824.363	0	NaN	NaN	NaN	NaN	NaN	NaN	15.994	 0.035	NaN	NaN
46	55825.312	0	NaN	NaN	NaN	NaN	NaN	NaN	16.020	 0.049	NaN	NaN
47	55828.400	0	NaN	NaN	NaN	NaN	NaN	NaN	16.046	 0.044	NaN	NaN
48	55830.378	0	NaN	NaN	NaN	NaN	NaN	NaN	16.051	 0.058	NaN	NaN
49	55831.324	0	NaN	NaN	NaN	NaN	NaN	NaN	16.089	 0.067	NaN	NaN
50	55834.357	0	NaN	NaN	NaN	NaN	NaN	NaN	16.080	 0.043	NaN	NaN
51	55836.328	0	NaN	NaN	NaN	NaN	NaN	NaN	16.118	 0.049	NaN	NaN
52	55842.283	0	NaN	NaN	NaN	NaN	NaN	NaN	16.183	 0.036	NaN	NaN
53	55852.325	0	NaN	NaN	NaN	NaN	NaN	NaN	16.305	 0.048	NaN	NaN
54	55853.301	0	NaN	NaN	NaN	NaN	NaN	NaN	16.303	 0.055	NaN	NaN
55	55855.302	0	NaN	NaN	NaN	NaN	NaN	NaN	16.349	 0.040	NaN	NaN
56	55856.277	0	NaN	NaN	NaN	NaN	NaN	NaN	16.333	 0.048	NaN	NaN
57	55858.297	0	NaN	NaN	NaN	NaN	NaN	NaN	16.354	 0.052	NaN	NaN
58	55859.267	0	NaN	NaN	NaN	NaN	NaN	NaN	16.370	 0.056	NaN	NaN
59	55861.327	0	NaN	NaN	NaN	NaN	NaN	NaN	16.421	 0.069	NaN	NaN
60	55862.279	0	NaN	NaN	NaN	NaN	NaN	NaN	16.449	 0.074	NaN	NaN
61	55864.264	0	NaN	NaN	NaN	NaN	NaN	NaN	16.477	 0.048	NaN	NaN
62	55865.267	0	NaN	NaN	NaN	NaN	NaN	NaN	16.494	 0.053	NaN	NaN
63	55868.257	0	NaN	NaN	NaN	NaN	NaN	NaN	16.570	 0.067	NaN	NaN
64	55880.223	0	NaN	NaN	NaN	NaN	NaN	NaN	16.821	 0.085	NaN	NaN
65	55888.253	0	NaN	NaN	NaN	NaN	NaN	NaN	17.452	 0.273	NaN	NaN
66	55891.257	0	NaN	NaN	NaN	NaN	NaN	NaN	17.710	 0.215	NaN	NaN
67	55892.220	0	NaN	NaN	NaN	NaN	NaN	NaN	17.824	 0.153	NaN	NaN
68	55895.224	0	NaN	NaN	NaN	NaN	NaN	NaN	17.966	 0.284	NaN	NaN
69	55902.204	0	NaN	NaN	NaN	NaN	NaN	NaN	17.950	 0.246	NaN	NaN
70	55903.193	0	NaN	NaN	NaN	NaN	NaN	NaN	17.910	 0.203	NaN	NaN
71	55918.152	0	NaN	NaN	NaN	NaN	NaN	NaN	18.037	 0.188	NaN	NaN
72	55936.123	0	NaN	NaN	NaN	NaN	NaN	NaN	18.202	 0.135	NaN	NaN
73	55937.099	0	NaN	NaN	NaN	NaN	NaN	NaN	18.188	 0.196	NaN	NaN
74	55939.155	0	NaN	NaN	NaN	NaN	NaN	NaN	18.311	 0.350	NaN	NaN
75	55941.092	0	NaN	NaN	NaN	NaN	NaN	NaN	18.171	 0.174	NaN	NaN
76	55945.105	0	NaN	NaN	NaN	NaN	NaN	NaN	18.262	 0.251	NaN	NaN
77	56110.470	0	NaN	NaN	NaN	NaN	NaN	NaN	19.754	 0.350	NaN	NaN
78	56136.461	0	NaN	NaN	NaN	NaN	NaN	NaN	20.029	 0.390	NaN	NaN
79	56155.421	0	NaN	NaN	NaN	NaN	NaN	NaN	20.406	 0.356	NaN	NaN
80	56156.414	0	NaN	NaN	NaN	NaN	NaN	NaN	19.925	 0.317	NaN	NaN
81	56166.406	0	NaN	NaN	NaN	NaN	NaN	NaN	20.383	 0.319	NaN	NaN
82	56167.383	0	NaN	NaN	NaN	NaN	NaN	NaN	20.191	 0.383	NaN	NaN
83	56168.378	0	NaN	NaN	NaN	NaN	NaN	NaN	19.876	 0.321	NaN	NaN
84	56179.366	0	NaN	NaN	NaN	NaN	NaN	NaN	20.165	 0.390	NaN	NaN
85	56182.357	0	NaN	NaN	NaN	NaN	NaN	NaN	20.564	 0.321	NaN	NaN
86	56184.368	0	NaN	NaN	NaN	NaN	NaN	NaN	20.190	 0.399	NaN	NaN
