"Obj. ID","IAU name","Internal name/s","Obj. RA","Obj. DEC","Obj. Type","Redshift","Spec. ID","Obs-date","JD","From","Telescope","Instrument","Observer/s","Reducer/s","Source group","Public","Associated groups","End prop. period","Ascii file","Fits file","Spec. type","Spec. quality","Extinction-Corrected","WL Medium","WL Units","Flux Unit Coefficient","Spec. units","Flux Calibrated By","Exp-time","Aperture (slit)","HA","Airmass","Dichroic","Grism","Grating","Blaze","Lambda-min","Lambda-max","Del-Lambda","Contrib","Publish","Remarks","Created by","Creation date"
"4150","2017ahn","","159.322708","-41.618131","SN II","0.009","12541","2017-02-08 16:20:39.00","2457793.1810069","","FTS","FLOYDS-S","Las Cumbres Observatory","Griffin Hosseinzadeh","","Y","","","2017ahn_2017-02-08_16-20-39_FTS_FLOYDS-S_None.ascii","2017ahn_2017-02-08_16-20-39_FTS_FLOYDS-S_None.fits","Object","","","Air","Angstrom","1","Other","","3600","0","","","","","","","4800","8700.0000572205","3.4790397290457","","","[TNS Source Group: DLT40; Classifier/s: Griffin Hosseinzadeh...] [Prev. spec info - createdby: upload-TNS; modifiedby: upload-TNS]"," Migration From WISeREP1.0","2017-02-08 08:54:57"
"4150","2017ahn","","159.322708","-41.618131","SN II","0.009","60051","2017-10-18 23:12:27.00","2458045.466990741","","Magellan-Baade","FIRE","L. Tartaglia","","","Y","","","2017ahn_2458045.466990741_Magellan-Baade_FIRE_None.ascii","2017ahn_2458045.466990741_Magellan-Baade_FIRE_None.fits","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","8032.4399414062","24000.000961304","8.633461432972","","","","Mr ido irani","2021-01-25 13:51:21"
"4150","2017ahn","","159.322708","-41.618131","SN II","0.009","60043","2017-10-20 16:57:06.00","2458047.2063194443","","IRTF","SpeX","L. Tartaglia","","","Y","","","2017ahn_2458047.2063194443_IRTF_SpeX_None.ascii","2017ahn_2458047.2063194443_IRTF_SpeX_None.fits","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","6889.568","25130.26","2.4184602126017","","","","Mr ido irani","2021-01-25 13:51:21"
"4150","2017ahn","","159.322708","-41.618131","SN II","0.009","60050","2017-10-22 04:57:20.00","2458048.7064930554","","Gemini-N","GMOS","L. Tartaglia","","","Y","","","2017ahn_2458048.7064930554_Gemini-N_GMOS_None.ascii","2017ahn_2458048.7064930554_Gemini-N_GMOS_None.fits","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","9843.16","18010.4","6.5067447633677","","","","Mr ido irani","2021-01-25 13:51:21"
"4150","2017ahn","","159.322708","-41.618131","SN II","0.009","60071","2020-05-10 07:41:55.00","2458979.820775463","","SALT","RSS","L. Tartaglia","","","Y","","","2017ahn_2458979.820775463_SALT_RSS_None.ascii","2017ahn_2458979.820775463_SALT_RSS_None.fits","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","3494.275390625","9397.1240234375","0.92566406029477","","","","Mr ido irani","2021-01-25 13:51:21"
"4150","2017ahn","","159.322708","-41.618131","SN II","0.009","60053","2020-05-10 08:37:45.00","2458979.859560185","","FTN","FLOYDS-N","L. Tartaglia","","","Y","","","2017ahn_2458979.859560185_FTN_FLOYDS-N_None.ascii","2017ahn_2458979.859560185_FTN_FLOYDS-N_None.fits","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","4800","10000.000079155","3.4821740009877","","","","Mr ido irani","2021-01-25 13:51:21"
"4150","2017ahn","","159.322708","-41.618131","SN II","0.009","60057","2020-05-10 08:39:28.00","2458979.860752315","","SOAR","Goodman","L. Tartaglia","","","Y","","","2017ahn_2458979.860752315_SOAR_Goodman_None.ascii","2017ahn_2458979.860752315_SOAR_Goodman_None.fits","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","1","2044","0.99059540456828","","","","Mr ido irani","2021-01-25 13:51:21"
"4150","2017ahn","","159.322708","-41.618131","SN II","0.009","60052","2020-05-10 08:39:33.00","2458979.8607986113","","FTN","FLOYDS-N","L. Tartaglia","","","Y","","","2017ahn_2458979.8607986113_FTN_FLOYDS-N_None.ascii","2017ahn_2458979.8607986113_FTN_FLOYDS-N_None.fits","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","3999.8176269531","9300.7708184719","1.7219502327362","","","","Mr ido irani","2021-01-25 13:51:21"
"4150","2017ahn","","159.322708","-41.618131","SN II","0.009","60044","2020-05-10 08:40:13.00","2458979.861273148","","SALT","RSS","L. Tartaglia","","","Y","","","2017ahn_2458979.861273148_SALT_RSS_None.ascii","2017ahn_2458979.861273148_SALT_RSS_None.fits","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","3494.8801269531","9397.908203125","0.92569219997426","","","","Mr ido irani","2021-01-25 13:51:21"
"4150","2017ahn","","159.322708","-41.618131","SN II","0.009","60070","2020-05-10 08:41:10.00","2458979.8619328705","","FTN","FLOYDS-N","L. Tartaglia","","","Y","","","2017ahn_2458979.8619328705_FTN_FLOYDS-N_None.ascii","2017ahn_2458979.8619328705_FTN_FLOYDS-N_None.fits","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","3500.6428222656","10000.129011393","1.7223295657603","","","","Mr ido irani","2021-01-25 13:51:21"
"4150","2017ahn","","159.322708","-41.618131","SN II","0.009","60060","2020-05-10 08:41:46.00","2458979.862337963","","FTN","FLOYDS-N","L. Tartaglia","","","Y","","","2017ahn_2458979.862337963_FTN_FLOYDS-N_None.ascii","2017ahn_2458979.862337963_FTN_FLOYDS-N_None.fits","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","3250.8161621094","10000.648058414","1.7219112661223","","","","Mr ido irani","2021-01-25 13:51:21"
"4150","2017ahn","","159.322708","-41.618131","SN II","0.009","60065","2020-05-10 08:42:00.00","2458979.8625","","FTN","FLOYDS-N","L. Tartaglia","","","Y","","","2017ahn_2458979.8625_FTN_FLOYDS-N_None.ascii","2017ahn_2458979.8625_FTN_FLOYDS-N_None.fits","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","3249.6401367187","10000.148414612","1.7256372497645","","","","Mr ido irani","2021-01-25 13:51:21"
"4150","2017ahn","","159.322708","-41.618131","SN II","0.009","60068","2020-05-10 08:42:30.00","2458979.862847222","","SALT","RSS","L. Tartaglia","","","Y","","","2017ahn_2458979.862847222_SALT_RSS_None.ascii","2017ahn_2458979.862847222_SALT_RSS_None.fits","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","3492.6552734375","9396.291015625","0.92593400057616","","","","Mr ido irani","2021-01-25 13:51:21"
"4150","2017ahn","","159.322708","-41.618131","SN II","0.009","60066","2020-05-10 08:42:35.00","2458979.8629050925","","FTN","FLOYDS-N","L. Tartaglia","","","Y","","","2017ahn_2458979.8629050925_FTN_FLOYDS-N_None.ascii","2017ahn_2458979.8629050925_FTN_FLOYDS-N_None.fits","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","3999.4895019531","9299.1740603447","1.7254969917235","","","","Mr ido irani","2021-01-25 13:51:21"
"4150","2017ahn","","159.322708","-41.618131","SN II","0.009","60062","2020-05-10 08:42:42.00","2458979.862986111","","FTN","FLOYDS-N","L. Tartaglia","","","Y","","","2017ahn_2458979.862986111_FTN_FLOYDS-N_None.ascii","2017ahn_2458979.862986111_FTN_FLOYDS-N_None.fits","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","3600.8591308594","9999.2165862322","1.7222395117955","","","","Mr ido irani","2021-01-25 13:51:21"
"4150","2017ahn","","159.322708","-41.618131","SN II","0.009","60069","2020-05-10 08:42:48.00","2458979.8630555556","","FTN","FLOYDS-N","L. Tartaglia","","","Y","","","2017ahn_2458979.8630555556_FTN_FLOYDS-N_None.ascii","2017ahn_2458979.8630555556_FTN_FLOYDS-N_None.fits","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","3299.4755859375","9300.5263109207","1.7259207828853","","","","Mr ido irani","2021-01-25 13:51:21"
"4150","2017ahn","","159.322708","-41.618131","SN II","0.009","60055","2020-05-10 08:42:55.00","2458979.863136574","","SOAR","Goodman","L. Tartaglia","","","Y","","","2017ahn_2458979.863136574_SOAR_Goodman_None.ascii","2017ahn_2458979.863136574_SOAR_Goodman_None.fits","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","1","2044","0.99059540456828","","","","Mr ido irani","2021-01-25 13:51:21"
"4150","2017ahn","","159.322708","-41.618131","SN II","0.009","60058","2020-05-10 08:43:36.00","2458979.863622685","","FTN","FLOYDS-N","L. Tartaglia","","","Y","","","2017ahn_2458979.863622685_FTN_FLOYDS-N_None.ascii","2017ahn_2458979.863622685_FTN_FLOYDS-N_None.fits","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","3599.36328125","9300.4346461296","1.7215781201604","","","","Mr ido irani","2021-01-25 13:51:21"
"4150","2017ahn","","159.322708","-41.618131","SN II","0.009","60061","2020-05-10 08:43:42.00","2458979.8636921295","","FTN","FLOYDS-N","L. Tartaglia","","","Y","","","2017ahn_2458979.8636921295_FTN_FLOYDS-N_None.ascii","2017ahn_2458979.8636921295_FTN_FLOYDS-N_None.fits","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","3599.5344238281","9300.5150642395","1.7252303740871","","","","Mr ido irani","2021-01-25 13:51:21"
"4150","2017ahn","","159.322708","-41.618131","SN II","0.009","60047","2020-05-10 08:43:50.00","2458979.863784722","","FTN","FLOYDS-N","L. Tartaglia","","","Y","","","2017ahn_2458979.863784722_FTN_FLOYDS-N_None.ascii","2017ahn_2458979.863784722_FTN_FLOYDS-N_None.fits","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","4800","9300","3.4815466422804","","","","Mr ido irani","2021-01-25 13:51:21"
"4150","2017ahn","","159.322708","-41.618131","SN II","0.009","60059","2020-05-10 08:44:02.00","2458979.863923611","","FTN","FLOYDS-N","L. Tartaglia","","","Y","","","2017ahn_2458979.863923611_FTN_FLOYDS-N_None.ascii","2017ahn_2458979.863923611_FTN_FLOYDS-N_None.fits","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","4800","9300","3.4815466422804","","","","Mr ido irani","2021-01-25 13:51:21"
"4150","2017ahn","","159.322708","-41.618131","SN II","0.009","60048","2020-05-10 08:44:11.00","2458979.8640162037","","FTN","FLOYDS-N","L. Tartaglia","","","Y","","","2017ahn_2458979.8640162037_FTN_FLOYDS-N_None.ascii","2017ahn_2458979.8640162037_FTN_FLOYDS-N_None.fits","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","4800","9300","3.4815466422804","","","","Mr ido irani","2021-01-25 13:51:21"
"4150","2017ahn","","159.322708","-41.618131","SN II","0.009","60046","2020-05-10 08:44:15.00","2458979.864074074","","FTN","FLOYDS-N","L. Tartaglia","","","Y","","","2017ahn_2458979.864074074_FTN_FLOYDS-N_None.ascii","2017ahn_2458979.864074074_FTN_FLOYDS-N_None.fits","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","4800","9300","3.4815466422804","","","","Mr ido irani","2021-01-25 13:51:21"
"4150","2017ahn","","159.322708","-41.618131","SN II","0.009","60042","2020-05-10 08:44:26.00","2458979.864201389","","Keck1","LRIS","L. Tartaglia","","","Y","","","2017ahn_2458979.864201389_Keck1_LRIS_None.ascii","2017ahn_2458979.864201389_Keck1_LRIS_None.fits","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","3176.411","10235.76","0.88888090025496","","","","Mr ido irani","2021-01-25 13:51:21"
"4150","2017ahn","","159.322708","-41.618131","SN II","0.009","60067","2020-05-10 11:59:11.00","2458979.9994444447","","FTN","FLOYDS-N","L. Tartaglia","","","Y","","","2017ahn_2458979.9994444447_FTN_FLOYDS-N_None.ascii","2017ahn_2458979.9994444447_FTN_FLOYDS-N_None.fits","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","3299.4724121094","9300.5029296876","1.7249138604009","","","","Mr ido irani","2021-01-25 13:51:21"
"4150","2017ahn","","159.322708","-41.618131","SN II","0.009","60056","2020-05-10 11:59:15.00","2458979.9994791667","","FTN","FLOYDS-N","L. Tartaglia","","","Y","","","2017ahn_2458979.9994791667_FTN_FLOYDS-N_None.ascii","2017ahn_2458979.9994791667_FTN_FLOYDS-N_None.fits","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","3249.6791992188","10000","1.7224793543947","","","","Mr ido irani","2021-01-25 13:51:21"
"4150","2017ahn","","159.322708","-41.618131","SN II","0.009","60049","2020-05-10 11:59:16.00","2458979.9995023147","","FTN","FLOYDS-N","L. Tartaglia","","","Y","","","2017ahn_2458979.9995023147_FTN_FLOYDS-N_None.ascii","2017ahn_2458979.9995023147_FTN_FLOYDS-N_None.fits","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","3199.3176269531","9999.7197265623","1.7219582013309","","","","Mr ido irani","2021-01-25 13:51:21"
"4150","2017ahn","","159.322708","-41.618131","SN II","0.009","60063","2020-05-10 11:59:20.00","2458979.999537037","","FTN","FLOYDS-N","L. Tartaglia","","","Y","","","2017ahn_2458979.999537037_FTN_FLOYDS-N_None.ascii","2017ahn_2458979.999537037_FTN_FLOYDS-N_None.fits","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","3199.6806640625","9999.54296875","1.7222615435493","","","","Mr ido irani","2021-01-25 13:51:21"
"4150","2017ahn","","159.322708","-41.618131","SN II","0.009","60054","2020-05-10 11:59:21.00","2458979.9995601852","","FTN","FLOYDS-N","L. Tartaglia","","","Y","","","2017ahn_2458979.9995601852_FTN_FLOYDS-N_None.ascii","2017ahn_2458979.9995601852_FTN_FLOYDS-N_None.fits","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","3199.1450195312","9999.7080078124","1.7215590941504","","","","Mr ido irani","2021-01-25 13:51:21"
"4150","2017ahn","","159.322708","-41.618131","SN II","0.009","60045","2020-11-12 17:35:14.00","2459166.2328125","","Magellan-Baade","FIRE","L. Tartaglia","","","Y","","","2017ahn_2459166.2328125_Magellan-Baade_FIRE_None.ascii","2017ahn_2459166.2328125_Magellan-Baade_FIRE_None.fits","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","8100","24800.00038147","8.638330382233","","","","Mr ido irani","2021-01-25 13:51:21"
"4150","2017ahn","","159.322708","-41.618131","SN II","0.009","60064","2020-11-12 17:36:22.00","2459166.233587963","","IRTF","SpeX","L. Tartaglia","","","Y","","","2017ahn_2459166.233587963_IRTF_SpeX_None.ascii","2017ahn_2459166.233587963_IRTF_SpeX_None.fits","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","8000","24906.900434494","2.4429356428525","","","","Mr ido irani","2021-01-25 13:51:21"
