GROUP	MJD	STAR	B	EB	V	EV	R	ER	CLEAR	ECLEAR	I	EI
;;kait data
1	58183.212	0	14.689	 0.011	14.681	 0.010	14.488	 0.014	14.352	 0.021	14.373	 0.018
2	58184.177	0	14.229	 0.013	14.280	 0.012	14.091	 0.015	13.942	 0.014	13.989	 0.018
3	58185.149	0	13.914	 0.011	13.925	 0.015	13.771	 0.025	13.590	 0.010	13.647	 0.018
4	58186.213	0	13.783	 0.013	13.731	 0.015	13.584	 0.020	13.442	 0.019	13.473	 0.023
5	58188.135	0	13.763	 0.050	13.684	 0.030	13.527	 0.028	13.421	 0.020	13.367	 0.031
6	58189.180	0	13.838	 0.011	13.721	 0.012	13.568	 0.015	13.428	 0.021	13.407	 0.022
7	58196.193	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8	58197.178	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
9	58204.174	0	14.403	 0.012	14.075	 0.008	13.775	 0.012	13.696	 0.014	13.510	 0.016
10	58205.185	0	14.449	 0.013	14.082	 0.010	13.780	 0.014	NaN	NaN	13.527	 0.018
11	58206.175	0	14.433	 0.014	14.087	 0.009	13.796	 0.015	13.734	 0.012	13.529	 0.020
12	58207.201	0	14.462	 0.013	14.113	 0.011	13.797	 0.016	13.748	 0.016	13.521	 0.022
13	58208.185	0	14.518	 0.023	14.114	 0.015	13.812	 0.018	13.760	 0.023	13.532	 0.025
14	58209.181	0	14.547	 0.015	14.143	 0.010	13.814	 0.017	13.792	 0.021	13.532	 0.022
15	58210.193	0	14.564	 0.015	14.159	 0.012	13.816	 0.015	13.787	 0.016	13.534	 0.019
16	58211.171	0	14.583	 0.021	14.157	 0.015	13.823	 0.020	13.793	 0.028	13.528	 0.023
17	58212.163	0	14.605	 0.019	14.227	 0.020	13.847	 0.022	13.809	 0.024	13.567	 0.024
18	58217.189	0	14.815	 0.015	14.257	 0.012	13.881	 0.017	13.884	 0.024	13.550	 0.022
19	58222.187	0	14.964	 0.017	14.333	 0.014	13.944	 0.018	13.939	 0.019	13.613	 0.025
20	58223.170	0	15.008	 0.022	14.332	 0.018	13.948	 0.018	13.969	 0.026	13.627	 0.027
21	58226.207	0	15.131	 0.021	14.392	 0.013	13.970	 0.018	13.979	 0.019	13.613	 0.021
22	58227.205	0	15.129	 0.020	14.411	 0.015	13.982	 0.023	13.993	 0.021	13.642	 0.030
23	58228.204	0	15.152	 0.019	14.410	 0.018	13.986	 0.030	14.001	 0.019	13.631	 0.033
24	58229.204	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
25	58230.198	0	15.230	 0.020	14.451	 0.016	14.013	 0.027	14.038	 0.021	13.662	 0.039
26	58231.177	0	15.229	 0.019	14.470	 0.016	14.011	 0.023	14.038	 0.026	13.663	 0.024
27	58233.186	0	NaN	NaN	NaN	NaN	NaN	NaN	14.030	 0.068	NaN	NaN
28	58234.187	0	15.292	 0.022	14.507	 0.014	14.058	 0.022	14.089	 0.020	13.681	 0.027
29	58235.186	0	15.282	 0.039	14.523	 0.022	14.039	 0.024	NaN	NaN	NaN	NaN
