GROUP	MJD	STAR	B	EB	V	EV	R	ER	CLEAR	ECLEAR	I	EI
;;kait data
1	59203.215	0	16.708	 0.052	16.553	 0.037	16.288	 0.030	16.239	 0.036	16.285	 0.070
2	59221.158	0	17.682	 0.135	16.976	 0.047	16.765	 0.050	16.709	 0.044	16.528	 0.052
3	59222.142	0	17.709	 0.092	16.933	 0.058	16.651	 0.061	16.758	 0.052	16.665	 0.152
4	59223.143	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5	59224.144	0	17.857	 0.330	17.272	 0.192	16.895	 0.152	16.860	 0.547	16.809	 0.283
6	59225.140	0	17.992	 0.218	17.222	 0.085	16.875	 0.065	16.867	 0.053	16.768	 0.118
7	59228.090	0	18.091	 0.288	17.679	 0.248	17.532	 0.363	17.256	 0.558	17.041	 0.324
;;Nickel data
1	59204.254	0	16.752	 0.018	16.508	 0.011	16.322	 0.017	NaN	NaN	16.113	 0.019
