GROUP	MJD	STAR	B	EB	V	EV	R	ER	CLEAR	ECLEAR	I	EI
;;kait data
1	59053.184	0	16.370	 0.042	16.420	 0.028	16.308	 0.038	16.460	 0.075	16.613	 0.068
2	59054.236	0	16.430	 0.032	16.350	 0.023	16.375	 0.030	16.371	 0.049	16.372	 0.048
3	59055.197	0	16.460	 0.033	16.433	 0.028	16.331	 0.030	16.472	 0.083	16.332	 0.045
4	59056.232	0	16.534	 0.031	16.385	 0.024	16.357	 0.029	16.374	 0.064	16.279	 0.045
5	59057.229	0	16.531	 0.038	16.403	 0.025	16.509	 0.037	16.394	 0.068	16.345	 0.045
6	59058.223	0	16.624	 0.038	16.394	 0.024	16.445	 0.036	16.338	 0.059	16.272	 0.041
7	59059.217	0	16.619	 0.037	16.438	 0.024	16.471	 0.040	16.387	 0.072	16.279	 0.048
8	59060.179	0	16.730	 0.059	16.459	 0.029	16.367	 0.036	16.436	 0.066	16.212	 0.045
9	59063.210	0	16.853	 0.150	16.634	 0.099	16.603	 0.172	NaN	NaN	16.374	 0.091
10	59069.227	0	17.215	 0.045	16.869	 0.031	16.630	 0.043	NaN	NaN	16.499	 0.053
11	59070.217	0	17.308	 0.058	16.875	 0.037	16.528	 0.037	16.543	 0.044	16.442	 0.063
12	59071.225	0	17.415	 0.058	16.940	 0.050	16.688	 0.039	16.639	 0.048	16.525	 0.053
13	59072.234	0	17.521	 0.062	17.023	 0.033	16.727	 0.034	16.638	 0.044	16.421	 0.041
14	59073.226	0	17.474	 0.055	17.076	 0.041	16.920	 0.041	NaN	NaN	16.736	 0.055
15	59074.220	0	17.627	 0.085	17.115	 0.043	16.922	 0.050	16.769	 0.060	16.570	 0.056
16	59076.225	0	17.752	 0.086	17.198	 0.053	16.983	 0.138	NaN	NaN	16.824	 0.078
17	59079.164	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
;;Nickel data
1	59054.217	0	16.402	 0.017	16.324	 0.012	16.210	 0.016	NaN	NaN	16.137	 0.018
2	59058.214	0	16.571	 0.307	16.370	 0.138	16.209	 0.021	NaN	NaN	16.057	 0.019
3	59062.191	0	16.749	 0.024	16.491	 0.019	16.280	 0.024	NaN	NaN	16.049	 0.026
