GROUP	MJD	STAR	B	EB	V	EV	R	ER	CLEAR	ECLEAR	I	EI
;;kait data
1	59280.542	0	18.600	 0.191	18.081	 0.092	17.649	 0.068	17.640	 0.047	17.367	 0.079
2	59285.524	0	18.476	 0.286	17.990	 0.179	17.655	 0.148	17.611	 0.064	17.391	 0.126
3	59301.342	0	18.700	 0.603	18.175	 0.211	17.683	 0.150	NaN	NaN	17.646	 0.279
4	59305.448	0	18.711	 0.419	18.232	 0.141	18.061	 0.118	17.910	 0.072	17.579	 0.127
5	59306.470	0	19.160	 0.356	18.534	 0.174	17.943	 0.114	17.950	 0.079	17.692	 0.120
6	59309.459	0	19.503	 0.605	18.490	 0.139	17.995	 0.083	18.150	 0.057	17.835	 0.129
7	59310.456	0	19.418	 0.356	18.648	 0.123	18.225	 0.094	18.086	 0.065	17.867	 0.112
8	59311.454	0	19.262	 0.307	19.068	 0.157	18.128	 0.091	18.217	 0.063	18.018	 0.121
9	59313.440	0	NaN	NaN	NaN	NaN	NaN	NaN	18.256	 0.269	NaN	NaN
10	59320.431	0	19.403	 0.437	19.493	 0.363	18.850	 0.168	19.069	 0.112	18.472	 0.189
11	59323.420	0	NaN	NaN	NaN	NaN	NaN	NaN	19.071	 0.156	NaN	NaN
12	59325.418	0	NaN	NaN	NaN	NaN	NaN	NaN	19.050	 0.301	NaN	NaN
13	59326.416	0	NaN	NaN	NaN	NaN	NaN	NaN	19.024	 0.244	NaN	NaN
14	59327.369	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
15	59332.400	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
16	59333.396	0	NaN	NaN	NaN	NaN	NaN	NaN	19.328	 0.393	NaN	NaN
17	59334.394	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
18	59336.368	0	NaN	NaN	NaN	NaN	NaN	NaN	19.175	 0.445	NaN	NaN
19	59339.375	0	NaN	NaN	NaN	NaN	NaN	NaN	19.056	 0.172	NaN	NaN
20	59340.374	0	19.471	 0.459	19.586	 0.289	19.390	 0.228	19.393	 0.188	18.477	 0.290
21	59343.372	0	NaN	NaN	NaN	NaN	NaN	NaN	19.367	 0.308	NaN	NaN
22	59344.371	0	NaN	NaN	NaN	NaN	NaN	NaN	19.216	 0.176	NaN	NaN
23	59345.367	0	NaN	NaN	NaN	NaN	NaN	NaN	19.365	 0.222	NaN	NaN
24	59346.362	0	NaN	NaN	NaN	NaN	NaN	NaN	19.257	 0.193	NaN	NaN
25	59347.356	0	NaN	NaN	NaN	NaN	NaN	NaN	19.183	 0.163	NaN	NaN
26	59352.348	0	NaN	NaN	NaN	NaN	NaN	NaN	19.403	 0.254	NaN	NaN
27	59357.332	0	NaN	NaN	NaN	NaN	NaN	NaN	19.286	 0.278	NaN	NaN
