GROUP	MJD	STAR	B	EB	V	EV	R	ER	CLEAR	ECLEAR	I	EI
;;kait data
1	59674.383	0	16.035	 0.059	15.980	 0.070	15.905	 0.034	15.755	 0.154	15.798	 0.048
2	59678.321	0	15.961	 0.037	15.863	 0.022	15.761	 0.022	15.650	 0.016	15.582	 0.087
3	59680.302	0	16.012	 0.044	15.858	 0.026	15.718	 0.023	15.575	 0.027	15.533	 0.042
4	59686.303	0	16.081	 0.076	15.716	 0.041	15.569	 0.037	15.523	 0.028	15.420	 0.042
5	59689.294	0	16.048	 0.140	15.763	 0.055	15.565	 0.071	15.483	 0.035	15.407	 0.077
6	59692.295	0	16.085	 0.108	15.765	 0.039	15.558	 0.056	15.533	 0.023	15.354	 0.042
7	59693.264	0	15.952	 0.060	15.721	 0.038	15.621	 0.056	15.501	 0.022	15.444	 0.041
8	59694.274	0	16.015	 0.056	15.761	 0.032	15.585	 0.051	15.524	 0.017	15.390	 0.056
9	59696.277	0	16.020	 0.058	15.812	 0.061	15.693	 0.099	15.572	 0.110	15.408	 0.107
10	59698.251	0	16.189	 0.057	15.854	 0.027	15.669	 0.049	15.631	 0.019	15.499	 0.086
11	59699.249	0	16.062	 0.067	15.831	 0.066	15.687	 0.096	15.627	 0.021	15.479	 0.110
12	59701.250	0	16.214	 0.050	15.981	 0.045	15.785	 0.057	15.689	 0.020	15.590	 0.105
13	59703.247	0	16.370	 0.038	16.032	 0.021	15.794	 0.048	15.728	 0.017	15.579	 0.027
14	59704.247	0	16.427	 0.055	16.082	 0.025	15.761	 0.023	15.780	 0.019	15.586	 0.037
15	59712.246	0	16.638	 0.087	16.249	 0.041	15.960	 0.030	15.971	 0.027	15.741	 0.043
16	59719.254	0	17.165	 0.154	16.436	 0.086	16.138	 0.090	16.092	 0.178	15.783	 0.139
17	59720.275	0	17.202	 0.159	16.375	 0.097	16.144	 0.086	16.103	 0.187	15.792	 0.117
18	59721.255	0	17.257	 0.152	16.497	 0.126	16.161	 0.122	16.155	 0.214	15.934	 0.134
19	59722.269	0	17.155	 0.146	16.515	 0.055	16.149	 0.045	16.156	 0.032	15.919	 0.096
20	59723.257	0	17.328	 0.139	16.489	 0.071	16.229	 0.088	16.185	 0.042	15.990	 0.094
21	59724.241	0	17.217	 0.118	16.531	 0.043	16.201	 0.109	16.210	 0.035	15.920	 0.115
22	59726.235	0	17.431	 0.132	16.664	 0.111	16.256	 0.095	16.250	 0.032	16.073	 0.064
23	59729.236	0	17.642	 0.174	16.685	 0.089	16.263	 0.047	16.360	 0.051	16.039	 0.058
24	59730.199	0	17.631	 0.221	16.636	 0.114	16.374	 0.167	16.371	 0.054	16.079	 0.178
25	59731.249	0	17.755	 0.187	16.732	 0.132	16.312	 0.059	16.361	 0.044	16.088	 0.144
26	59732.225	0	17.670	 0.122	16.722	 0.087	16.309	 0.037	16.474	 0.048	16.118	 0.056
27	59741.225	0	18.083	 0.396	16.928	 0.184	16.599	 0.348	NaN	NaN	16.476	 0.150
28	59664.378	0	NaN	NaN	NaN	NaN	NaN	NaN	18.437	 0.326	NaN	NaN
29	59670.365	0	NaN	NaN	NaN	NaN	NaN	NaN	15.859	 0.048	NaN	NaN
30	59671.360	0	NaN	NaN	NaN	NaN	NaN	NaN	15.799	 0.177	NaN	NaN
;;Nickel data
1	59676.384	0	15.963	 0.012	15.862	 0.010	15.741	 0.012	NaN	NaN	15.607	 0.011
2	59680.205	0	15.906	 0.017	15.793	 0.012	15.648	 0.019	NaN	NaN	15.480	 0.019
3	59687.235	0	16.057	 0.017	15.686	 0.014	15.542	 0.012	NaN	NaN	15.372	 0.016
4	59702.242	0	16.179	 0.125	15.974	 0.019	15.739	 0.022	NaN	NaN	15.570	 0.028
5	59718.232	0	17.034	 0.017	16.377	 0.013	16.079	 0.015	NaN	NaN	15.782	 0.017
6	59722.253	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7	59733.232	0	17.665	 0.093	16.772	 0.073	16.390	 0.038	NaN	NaN	16.140	 0.051
8	59737.217	0	17.840	 0.046	16.864	 0.027	16.448	 0.024	NaN	NaN	16.161	 0.023
