GROUP	MJD	STAR	B	EB	V	EV	R	ER	CLEAR	ECLEAR	I	EI
;;kait data
1	59786.250	0	16.564	 0.100	16.533	 0.064	16.424	 0.126	16.428	 0.258	16.359	 0.130
2	59787.221	0	16.500	 0.052	16.350	 0.044	16.253	 0.064	16.139	 0.082	16.132	 0.107
3	59788.221	0	16.287	 0.104	16.267	 0.076	16.000	 0.042	15.970	 0.057	15.914	 0.064
4	59791.217	0	15.809	 0.092	15.625	 0.031	15.472	 0.036	15.414	 0.056	15.400	 0.056
5	59793.216	0	15.609	 0.039	15.394	 0.020	15.239	 0.028	15.150	 0.038	15.121	 0.041
6	59795.212	0	15.524	 0.037	15.300	 0.018	15.085	 0.023	15.030	 0.037	14.935	 0.031
7	59798.231	0	15.579	 0.046	15.266	 0.019	15.049	 0.025	15.012	 0.033	14.858	 0.039
8	59799.221	0	15.585	 0.048	15.291	 0.018	15.103	 0.027	15.027	 0.038	14.851	 0.029
9	59801.205	0	15.965	 0.100	15.382	 0.037	15.092	 0.036	15.087	 0.048	14.860	 0.067
10	59805.203	0	16.124	 0.042	15.518	 0.024	15.195	 0.030	15.178	 0.042	14.898	 0.033
11	59806.202	0	16.140	 0.051	15.527	 0.029	15.253	 0.037	15.205	 0.044	14.940	 0.192
12	59807.204	0	16.224	 0.043	15.593	 0.023	15.245	 0.026	15.293	 0.046	14.955	 0.034
13	59809.199	0	16.353	 0.062	15.721	 0.022	15.368	 0.030	15.340	 0.044	14.999	 0.040
14	59811.206	0	16.392	 0.055	15.712	 0.024	15.384	 0.029	15.387	 0.047	15.040	 0.036
15	59812.181	0	16.578	 0.064	15.739	 0.025	15.411	 0.032	15.447	 0.051	15.051	 0.041
16	59827.145	0	17.373	 0.152	16.313	 0.050	15.750	 0.041	15.833	 0.059	15.309	 0.047
;;Nickel data
1	59790.230	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2	59795.223	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3	59799.227	0	15.574	 0.015	15.255	 0.010	NaN	NaN	NaN	NaN	14.766	 0.012
4	59805.224	0	15.979	 0.016	15.498	 0.016	15.175	 0.019	NaN	NaN	14.885	 0.316
5	59810.253	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6	59826.203	0	17.238	 0.026	16.191	 0.022	15.622	 0.020	NaN	NaN	15.193	 0.022
