SNID: 2022ibv
RA: 162.267364
DECL: -29.374915

VARLIST:  MJD  FLT  FLUXCAL   FLUXCALERR    MAG     MAGERR     DQ    OBJTYPE   UT-DATE EXPTIME
OBS: 59695.048760 r 22880.05452 103.85641 16.60136 0.00493 0 0x00000001 2022-04-26 210.0
OBS: 59695.052770 i 19023.95389 107.49687 16.80175 0.00614 0 0x00000001 2022-04-26 210.0
OBS: 59695.056050 g 25194.35219 104.28170 16.49674 0.00450 0 0x00000001 2022-04-26 210.0
OBS: 59695.059400 u 27134.24045 190.19460 16.41621 0.00761 0 0x00000001 2022-04-26 600.0
OBS: 59695.067620 V 24496.91309 130.19808 16.52722 0.00577 0 0x00000001 2022-04-26 210.0
OBS: 59695.070890 B 22093.59457 94.48125 16.63933 0.00464 0 0x00000001 2022-04-26 540.0
OBS: 59696.248660 r 22832.53454 122.31903 16.60361 0.00582 0 0x00000001 2022-04-27 210.0
OBS: 59696.251940 i 20281.08841 126.54059 16.73227 0.00678 0 0x00000001 2022-04-27 210.0
OBS: 59696.255100 g 23894.46818 123.20325 16.55426 0.00560 0 0x00000001 2022-04-27 210.0
OBS: 59696.259610 u 24165.95374 261.93112 16.54199 0.01177 0 0x00000001 2022-04-27 600.0
OBS: 59696.267990 V 24788.75753 197.94957 16.51436 0.00867 0 0x00000001 2022-04-27 210.0
OBS: 59696.271620 B 20383.37210 114.68664 16.72681 0.00611 0 0x00000001 2022-04-27 540.0
OBS: 59698.092140 r 24304.85894 101.60981 16.53577 0.00454 0 0x00000001 2022-04-29 240.0
OBS: 59698.095680 i 22267.15063 102.45504 16.63084 0.00500 0 0x00000001 2022-04-29 240.0
OBS: 59698.099360 g 24176.54051 101.86305 16.54151 0.00458 0 0x00000001 2022-04-29 240.0
OBS: 59698.103150 u 21851.64942 156.50517 16.65129 0.00778 0 0x00000001 2022-04-29 600.0
OBS: 59698.111660 V 24825.87110 112.41545 16.51274 0.00492 0 0x00000001 2022-04-29 240.0
OBS: 59698.115430 B 20271.96847 90.02146 16.73276 0.00482 0 0x00000001 2022-04-29 540.0
OBS: 59700.961900 r 24077.00993 119.45771 16.54599 0.00539 0 0x00000001 2022-05-01 240.0
OBS: 59700.965710 i 23264.15530 120.37931 16.58328 0.00562 0 0x00000001 2022-05-01 240.0
OBS: 59700.969370 g 21791.23398 93.87506 16.65430 0.00468 0 0x00000001 2022-05-01 240.0
OBS: 59700.973210 u 17504.09035 126.74132 16.89215 0.00786 0 0x00000001 2022-05-01 600.0
OBS: 59700.981540 V 22678.76813 113.35407 16.61095 0.00543 0 0x00000001 2022-05-01 240.0
OBS: 59700.985370 B 17840.30920 82.34711 16.87149 0.00501 0 0x00000001 2022-05-01 540.0
OBS: 59702.089310 r 22631.33096 108.83724 16.61322 0.00522 0 0x00000001 2022-05-03 210.0
