SNID: 2022ibv
RA: 10:49:04.160
DECL: -29:22:29.68

VARLIST:  MJD  FLT  FLUXCAL   FLUXCALERR    MAG     MAGERR     ZPT  COUNTS  EXTS TYPES FILENAME
OBS: 59695.048760 r 23010.57717 92.82810 16.59518 0.00438 29.29 119598.99 0.0 17.0 2022ibv.r.ut220425.1028_stch_1_r.ut190604.950349_1.diff.cut.dcmp
OBS: 59695.052770 i 19772.80530 111.53719 16.75983 0.00613 29.10 86693.85 0.0 17.0 2022ibv.i.ut220425.1029_stch_1_i.ut190604.604370_1.diff.cut.dcmp
OBS: 59695.056050 g 25553.93779 94.87002 16.48136 0.00403 29.59 175799.58 0.0 17.0 2022ibv.g.ut220425.1030_stch_1_g.ut190604.421679_1.diff.cut.dcmp
OBS: 59696.248660 r 22722.72535 114.26085 16.60885 0.00546 29.10 99444.42 0.0 17.0 2022ibv.r.ut220426.2051_stch_1_r.ut190604.950349_1.diff.cut.dcmp
OBS: 59696.251940 i 20190.57061 140.41166 16.73713 0.00755 28.97 78081.58 0.0 17.0 2022ibv.i.ut220426.2052_stch_1_i.ut190604.604370_1.diff.cut.dcmp
OBS: 59696.255100 g 23669.49401 123.15054 16.56453 0.00565 29.32 126028.56 0.0 17.0 2022ibv.g.ut220426.2053_stch_1_g.ut190604.421679_1.diff.cut.dcmp
OBS: 59698.092140 r 24202.19881 84.39795 16.54036 0.00379 29.29 126419.72 0.0 17.0 2022ibv.r.ut220428.4063_stch_1_r.ut190604.950349_1.diff.cut.dcmp
OBS: 59698.095680 i 22216.41933 79.57056 16.63331 0.00389 29.10 96701.69 0.0 17.0 2022ibv.i.ut220428.4064_stch_1_i.ut190604.604370_1.diff.cut.dcmp
OBS: 59698.099360 g 24078.77760 84.60325 16.54591 0.00382 29.60 166953.08 0.0 17.0 2022ibv.g.ut220428.4065_stch_1_g.ut190604.421679_1.diff.cut.dcmp
OBS: 59700.959640 r 23046.88912 631.92406 16.59347 0.02978 25.95 5505.19 0.0 17.0 2022ibv.r.ut220501.7036_stch_1_r.ut190604.950349_1.diff.cut.dcmp
OBS: 59700.961900 r 24103.10350 116.06401 16.54482 0.00523 29.40 138609.49 0.0 17.0 2022ibv.r.ut220501.7037_stch_1_r.ut190604.950349_1.diff.cut.dcmp
OBS: 59700.965710 i 23360.11135 108.77539 16.57881 0.00506 29.16 107615.52 0.0 17.0 2022ibv.i.ut220501.7038_stch_1_i.ut190604.604370_1.diff.cut.dcmp
OBS: 59700.969370 g 22155.72851 80.03725 16.63628 0.00392 29.69 166880.67 0.0 17.0 2022ibv.g.ut220501.7039_stch_1_g.ut190604.421679_1.diff.cut.dcmp
OBS: 59702.089310 r 22646.81833 97.21434 16.61248 0.00466 29.27 116039.86 0.0 17.0 2022ibv.r.ut220502.8056_stch_1_r.ut190604.950349_1.diff.cut.dcmp
OBS: 59702.093240 i 21961.01823 129.82827 16.64587 0.00642 29.05 91920.52 0.0 17.0 2022ibv.i.ut220502.8057_stch_1_i.ut190604.604370_1.diff.cut.dcmp
OBS: 59702.096390 g 20029.74050 81.09965 16.74581 0.00440 29.56 134015.59 0.0 17.0 2022ibv.g.ut220502.8058_stch_1_g.ut190604.421679_1.diff.cut.dcmp
OBS: 59705.031000 r 20113.31495 99.67292 16.74129 0.00538 28.95 76694.40 0.0 17.0 2022ibv.r.ut220505.2038_stch_1_r.ut190604.950349_1.diff.cut.dcmp
OBS: 59705.035130 i 19611.27827 162.56518 16.76874 0.00900 28.33 41970.67 0.0 17.0 2022ibv.i.ut220505.2039_stch_1_i.ut190604.604370_1.diff.cut.dcmp
OBS: 59705.039160 g 17502.99689 71.55655 16.89222 0.00444 29.44 104952.41 0.0 17.0 2022ibv.g.ut220505.2040_stch_1_g.ut190604.421679_1.diff.cut.dcmp
OBS: 59710.191750 r 16925.33930 109.36900 16.92866 0.00702 28.96 65171.45 0.0 17.0 2022ibv.r.ut220510.1079_stch_1_r.ut190604.950349_1.diff.cut.dcmp
OBS: 59710.196380 i 15648.74277 121.11178 17.01380 0.00840 28.78 50811.20 0.0 17.0 2022ibv.i.ut220510.1080_stch_1_i.ut190604.604370_1.diff.cut.dcmp
OBS: 59710.199710 g 13477.09040 105.80357 17.17601 0.00853 29.21 65054.32 0.0 17.0 2022ibv.g.ut220510.1081_stch_1_g.ut190604.421679_1.diff.cut.dcmp
OBS: 59711.147580 r 15842.64682 91.68897 17.00043 0.00629 28.82 53538.69 0.0 17.0 2022ibv.r.ut220511.2061_stch_1_r.ut190604.950349_1.diff.cut.dcmp
OBS: 59711.150060 i 14584.27727 91.33980 17.09029 0.00680 28.59 39969.15 0.0 17.0 2022ibv.i.ut220511.2062_stch_1_i.ut190604.604370_1.diff.cut.dcmp
OBS: 59711.152450 g 12902.55674 84.85522 17.22331 0.00714 29.09 55692.38 0.0 17.0 2022ibv.g.ut220511.2063_stch_1_g.ut190604.421679_1.diff.cut.dcmp
OBS: 59724.173040 r 13530.07896 175.59380 17.17175 0.01409 27.42 12573.62 0.0 17.0 2022ibv.r.ut220524.1060_stch_1_r.ut190604.950349_1.diff.cut.dcmp
OBS: 59724.175310 i 12665.98896 273.35254 17.24340 0.02344 27.18 9414.54 0.0 17.0 2022ibv.i.ut220524.1061_stch_1_i.ut190604.604370_1.diff.cut.dcmp
OBS: 59724.178140 g 8952.30121 72.62867 17.62016 0.00881 28.24 17706.58 0.0 17.0 2022ibv.g.ut220524.1062_stch_1_g.ut190604.421679_1.diff.cut.dcmp
OBS: 59740.131930 r 12825.22339 108.98764 17.22984 0.00923 29.09 55690.99 0.0 17.0 2022ibv.r.ut220609.1075_stch_1_r.ut190604.950349_1.diff.cut.dcmp
OBS: 59740.134860 i 10860.51278 114.31566 17.41037 0.01143 28.91 39647.00 0.0 17.0 2022ibv.i.ut220609.1076_stch_1_i.ut190604.604370_1.diff.cut.dcmp
OBS: 59740.137910 g 6882.15037 111.23895 17.90569 0.01755 29.29 35909.07 0.0 17.0 2022ibv.g.ut220609.1077_stch_1_g.ut190604.421679_1.diff.cut.dcmp
OBS: 59933.235190 r 886.45683 32.07942 20.13086 0.03930 30.64 15952.09 0.0 17.0 2022ibv.r.ut221219.2083_stch_1_r.ut190604.950349_1.diff.cut.dcmp
