# INSTRUMENT_ID: 
# OBS_GROUP_ID: 
# UNIT_ID: None
# RA: 210.91065416666663
# DEC: 54.311674999999994
# OBS_DATE: 2023-05-22 05:51:15.495188
# REDSHIFT: None
# REDSHIFT_ERR: None
# REDSHIFT_QUALITY: None
# SPEC_PLOT_FILE: None
# SPEC_DATA_FILE: None
# SPECTRUM_NOTES: None
# REFERENCE: None
# TRANSIENT_ID: 131959
# FOLLOWUP_ID: None
# SPEC_PHASE: None
# RLAP: None
# SNID_PLOT_FILE: None

#wavelength flux fluxerr
3.768675999507173401e+03 3.937895741061990750e-13 3.304957503703305885e-14
3.769243097433889488e+03 3.949816719403764045e-13 3.307491183917408525e-14
3.769810195360605576e+03 3.991366134048109042e-13 3.320737155934721244e-14
3.770377293287321663e+03 3.973485132838892567e-13 3.312920381361693012e-14
3.770944391214037751e+03 4.011581151693130989e-13 3.322543531355551978e-14
3.771511489140754747e+03 3.926290873821433654e-13 3.284064926199720828e-14
3.772078587067471744e+03 3.991987776036695773e-13 3.307529937960234486e-14
3.772645684994187832e+03 4.023650270393978835e-13 3.319139566196027488e-14
3.773212782920903919e+03 3.975889136856009946e-13 3.296483633646432158e-14
3.773779880847621826e+03 4.001831004911194445e-13 3.303319267128124911e-14
3.774346978774338822e+03 3.905015566942492446e-13 3.260392414439666096e-14
3.774914076701055819e+03 4.032230082645950912e-13 3.309661792962849124e-14
3.775481174627771907e+03 3.958277203054685481e-13 3.276250425846484296e-14
3.776048272554487994e+03 3.960030745852925020e-13 3.275848044620425819e-14
3.776615370481204081e+03 3.973785776177229633e-13 3.276093353611981704e-14
3.777182468407921078e+03 3.969171338099693528e-13 3.273187910028938165e-14
3.777749566334638075e+03 3.986612045877004151e-13 3.279008922573739606e-14
3.778316664261354163e+03 3.959319418679509716e-13 3.262101692131812728e-14
3.778883762188069340e+03 3.959620213026616142e-13 3.260487171929753644e-14
3.779450860114786337e+03 3.909379187402324716e-13 3.235983854891597844e-14
3.780017958041503334e+03 3.987960681974793275e-13 3.266729647489799672e-14
3.780585055968222150e+03 3.898637842842320540e-13 3.224908417761751292e-14
3.781152153894938237e+03 3.964823718899171188e-13 3.251837025279746944e-14
3.781719251821653415e+03 4.015459490042714675e-13 3.267800008041594395e-14
3.782286349748370412e+03 4.036508315270561054e-13 3.271501365060059926e-14
3.782853447675087409e+03 4.016428934964351619e-13 3.261909255021586234e-14
3.783420545601804406e+03 4.075218241455135997e-13 3.281267068527950510e-14
3.783987643528520493e+03 4.119913355225404919e-13 3.298894196643879750e-14
3.784554741455235671e+03 4.057264105394953910e-13 3.268303113585037026e-14
3.785121839381952668e+03 4.088400406318835381e-13 3.277199753770164319e-14
3.785688937308669665e+03 3.945130735894476959e-13 3.218429949511881317e-14
3.786256035235385752e+03 4.010619192822033376e-13 3.240549154904948261e-14
3.786823133162102749e+03 4.054225596731793413e-13 3.256512269412800778e-14
3.787390231088819746e+03 4.098036081277652626e-13 3.269620632133006082e-14
3.787957329015536743e+03 4.056355431102471129e-13 3.250718824146374710e-14
3.788524426942253740e+03 4.065864263451083566e-13 3.251276618140067210e-14
3.789091524868969827e+03 4.045892024742637573e-13 3.240123108579039557e-14
3.789658622795687734e+03 4.136111182669901170e-13 3.272042888578257455e-14
3.790225720722403821e+03 4.032121577187984091e-13 3.228288042616905441e-14
3.790792818649118999e+03 4.095604080532652524e-13 3.251186516852182807e-14
3.791359916575835996e+03 4.033006527811667895e-13 3.222587169268274759e-14
3.791927014502552083e+03 4.081534382043429263e-13 3.239659690565113137e-14
3.792494112429269990e+03 4.022947792008261135e-13 3.212710431420299743e-14
3.793061210355986077e+03 4.124713063191866155e-13 3.250597062269036419e-14
3.793628308282701255e+03 4.107883710903020879e-13 3.241560589796287216e-14
3.794195406209418252e+03 4.046799178135118435e-13 3.213656592595864096e-14
3.794762504136136158e+03 4.055720399392897633e-13 3.214064464900718219e-14
3.795329602062854065e+03 4.096025456155397143e-13 3.226552209501768011e-14
3.795896699989570152e+03 4.075705769390292713e-13 3.215931537729150501e-14
3.796463797916284420e+03 4.090782677464895325e-13 3.219314832880915374e-14
3.797030895843002327e+03 4.095013660957694212e-13 3.217131353399497966e-14
3.797597993769718414e+03 4.060505330254289580e-13 3.201888879234294069e-14
3.798165091696436320e+03 4.076457747995958262e-13 3.204611896619607757e-14
3.798732189623152408e+03 4.002259408963800475e-13 3.171818899926396809e-14
3.799299287549866676e+03 4.064455407067332098e-13 3.193444026851735156e-14
