#wavelength f_lam e_lam telcor
3650.0 5.764496120252988e-13 9.910655012926486e-16 0.9999999999999998
3650.7 5.731868306070079e-13 9.762059209418156e-16 1.0000000000000002
3651.3999999999996 5.78115997431868e-13 9.923979617955706e-16 1.0
3652.0999999999995 5.744594345430821e-13 9.933015226104777e-16 1.0
3652.7999999999993 5.715268598124127e-13 9.455888399947253e-16 1.0
3653.499999999999 5.757908139795281e-13 9.652458183905636e-16 1.0
3654.199999999999 5.746970882614989e-13 9.302277562963366e-16 1.0
3654.8999999999987 5.758683174990603e-13 9.609023090834526e-16 1.0
3655.5999999999985 5.778399347612252e-13 9.424618847147572e-16 1.0
3656.2999999999984 5.758291892849325e-13 9.8490024017404e-16 1.0
3656.999999999998 5.763071624395507e-13 9.79840532751209e-16 1.0
3657.699999999998 5.773835564368257e-13 9.455290888017765e-16 1.0
3658.399999999998 5.730775659181777e-13 9.515288646430942e-16 1.0
3659.0999999999976 5.737150944411588e-13 9.152827630121187e-16 1.0
3659.7999999999975 5.756187382717841e-13 9.39269074027616e-16 1.0
3660.4999999999973 5.750890912895985e-13 9.13691953725269e-16 1.0
3661.199999999997 5.744116288053235e-13 9.508226507306018e-16 1.0
3661.899999999997 5.746220615081159e-13 9.403618287220112e-16 1.0
3662.5999999999967 5.736653529654006e-13 9.463856709764916e-16 1.0
3663.2999999999965 5.737540069770781e-13 9.485594997466414e-16 1.0
3663.9999999999964 5.753666709324082e-13 9.05263269330727e-16 1.0
3664.699999999996 5.711252755691997e-13 9.195434048411758e-16 1.0
3665.399999999996 5.668362167774595e-13 8.876704627578019e-16 1.0
3666.099999999996 5.718399624047976e-13 9.200988004106876e-16 1.0
3666.7999999999956 5.732713199164117e-13 9.02816931431315e-16 1.0
3667.4999999999955 5.687373284469126e-13 9.419518361132089e-16 1.0
3668.1999999999953 5.671237508937211e-13 9.379372399918705e-16 1.0
3668.899999999995 5.691890625334931e-13 8.991430515414812e-16 1.0
3669.599999999995 5.701083302858129e-13 9.085103334157306e-16 1.0
3670.2999999999947 5.700666783658242e-13 8.743248923973461e-16 1.0
3670.9999999999945 5.680061252490833e-13 8.976724727436024e-16 1.0
3671.6999999999944 5.636842536530332e-13 8.725785277794874e-16 1.0
3672.399999999994 5.630097177169101e-13 9.088829523602282e-16 1.0
3673.099999999994 5.655866391958576e-13 9.009487888517106e-16 1.0
3673.799999999994 5.665063366193047e-13 9.028391878095076e-16 1.0
3674.4999999999936 5.65292663018652e-13 9.066731428641045e-16 1.0
3675.1999999999935 5.633752170969809e-13 8.660871363470018e-16 1.0
3675.8999999999933 5.621135729814354e-13 8.821655803333868e-16 1.0
3676.599999999993 5.628777405656816e-13 8.535324981853315e-16 1.0
3677.299999999993 5.685440408903313e-13 8.867033368465721e-16 1.0
3677.9999999999927 5.637197345455893e-13 8.690934863296007e-16 1.0
3678.6999999999925 5.585060233897796e-13 9.07149752069836e-16 1.0
3679.3999999999924 5.656672891284853e-13 9.093185751588054e-16 1.0
3680.099999999992 5.67145447827193e-13 8.656542015451639e-16 1.0
3680.799999999992 5.62149696179702e-13 8.753992679410616e-16 1.0
3681.499999999992 5.603317395321028e-13 8.417717485617465e-16 1.0
