#wavelength f_lam e_lam telcor
6449.999999999272 3.505256214159958e-14 9.372958523249693e-17 1.0
6450.699999999272 4.265128302834198e-14 9.668862539568573e-17 1.0
6451.399999999272 4.831106552701032e-14 7.664981640202774e-17 1.0
6452.099999999272 5.054175798926351e-14 5.790080833338555e-17 1.0
6452.799999999272 5.204002063224522e-14 6.546654439212742e-17 1.0
6453.4999999992715 5.2814886729313174e-14 7.696734335184278e-17 1.0
6454.199999999271 5.3018048671272985e-14 6.553137372796641e-17 1.0
6454.899999999271 5.3077216070474923e-14 5.382515604607625e-17 1.0
6455.599999999271 5.309777939257694e-14 6.591692593737646e-17 1.0
6456.299999999271 5.308561253510674e-14 7.595296833595894e-17 1.0
6456.999999999271 5.304870675210116e-14 6.231129284121975e-17 1.0
6457.69999999927 5.301259429622412e-14 5.399052204101832e-17 1.0
6458.39999999927 5.2976121345067674e-14 6.907543570781544e-17 1.0
6459.09999999927 5.2944807639534167e-14 7.580433449659703e-17 1.0
6459.79999999927 5.29438914091484e-14 5.962320673618925e-17 1.0
6460.49999999927 5.295232308829288e-14 5.47805957216853e-17 1.0
6461.1999999992695 5.296569460825921e-14 7.256213339248533e-17 1.0
6461.899999999269 5.297254535788273e-14 7.579218606102849e-17 1.0
6462.599999999269 5.2951979308068896e-14 5.745461850514377e-17 1.0
6463.299999999269 5.291984016317635e-14 5.616972349549566e-17 1.0
6463.999999999269 5.2877580660847225e-14 7.576031060137464e-17 1.0
6464.699999999269 5.2799220298600837e-14 7.513510018097657e-17 1.0
6465.399999999268 5.2750486388678726e-14 5.558522798867748e-17 1.0
6466.099999999268 5.2705185071058684e-14 5.785938506469554e-17 1.0
6466.799999999268 5.266112862059177e-14 7.544865624972487e-17 1.0
6467.499999999268 5.261658794356235e-14 7.10942074241018e-17 1.0
6468.199999999268 5.2580981075852644e-14 5.410581140008665e-17 1.0
6468.8999999992675 5.2546915374604025e-14 5.988301176309584e-17 1.0
6469.599999999267 5.25047777341652e-14 7.513722667252701e-17 1.0
6470.299999999267 5.2422736549320766e-14 6.733988539751661e-17 1.0
6470.999999999267 5.233421562100549e-14 5.3138534632845915e-17 1.0
6471.699999999267 5.222948446474258e-14 6.220943124005601e-17 1.0
6472.399999999267 5.2050745745859543e-14 7.456166543010537e-17 1.0
6473.099999999266 5.18448195768649e-14 6.354861774071827e-17 1.0
6473.799999999266 5.17067494423398e-14 5.246265390597601e-17 1.0
6474.499999999266 5.159234866062775e-14 6.454701977997668e-17 1.0
6475.199999999266 5.149125410194452e-14 7.391693218709259e-17 1.0
6475.899999999266 5.150104349650318e-14 6.036492777033648e-17 1.0
6476.5999999992655 5.1550283723108564e-14 5.26296602324496e-17 1.0
6477.299999999265 5.1610697953957484e-14 6.763462527322973e-17 1.0
6477.999999999265 5.171604672111271e-14 7.39186978904656e-17 1.0
6478.699999999265 5.176825508257983e-14 5.791224769911245e-17 1.0
6479.399999999265 5.1794976946638255e-14 5.3534291633343156e-17 1.0
6480.099999999265 5.180007047062507e-14 7.108398469563747e-17 1.0
6480.799999999264 5.17556566215679e-14 7.375172621213941e-17 1.0
6481.499999999264 5.169748950371232e-14 5.563052681109414e-17 1.0
6482.199999999264 5.163853942165468e-14 5.4702400981013937e-17 1.0
6482.899999999264 5.158063858781551e-14 7.346945333330363e-17 1.0
6483.599999999264 5.1539831997260494e-14 7.244736658198065e-17 1.0
6484.2999999992635 5.1561629924822465e-14 5.376790072921797e-17 1.0
6484.999999999263 5.160226829586834e-14 5.635380145741687e-17 1.0
6485.699999999263 5.1669228588597516e-14 7.332526356448616e-17 1.0
6486.399999999263 5.177868868276725e-14 6.886915655509339e-17 1.0
6487.099999999263 5.18309416633143e-14 5.263731211815488e-17 1.0
6487.799999999263 5.186742596708898e-14 5.864061006496403e-17 1.0
6488.499999999262 5.187863674553086e-14 7.329139326785137e-17 1.0
6489.199999999262 5.182863483918674e-14 6.53602232827799e-17 1.0
6489.899999999262 5.1777207744914e-14 5.1818206604525085e-17 1.0
6490.599999999262 5.1724897078690814e-14 6.101578274751358e-17 1.0
6491.299999999262 5.168447035674898e-14 7.296094670262533e-17 1.0
6491.9999999992615 5.1669900188257333e-14 6.206548031858199e-17 1.0
6492.699999999261 5.1677424503647384e-14 5.1569350471470293e-17 1.0
6493.399999999261 5.1700697822663845e-14 6.383671333979598e-17 1.0
6494.099999999261 5.174069698196744e-14 7.288130691335174e-17 1.0
6494.799999999261 5.1787214293126395e-14 5.93049511695902e-17 1.0
6495.499999999261 5.183499155694547e-14 5.2021556867030954e-17 1.0
6496.19999999926 5.189371656488575e-14 6.71574195715879e-17 1.0
6496.89999999926 5.199760684923346e-14 7.312918332957435e-17 1.0
6497.59999999926 5.209873702095595e-14 5.716647965953288e-17 1.0
6498.29999999926 5.218519237365099e-14 5.3213268992125734e-17 1.0
6498.99999999926 5.226738479890831e-14 7.095544623611305e-17 1.0
6499.6999999992595 5.2349948934098246e-14 7.331830342618291e-17 1.0
6500.399999999259 5.235689837291203e-14 5.512730728107447e-17 1.0
6501.099999999259 5.2346604043068434e-14 5.456824075112894e-17 1.0
6501.799999999259 5.2322339625181254e-14 7.305567633143564e-17 1.0
6502.499999999259 5.2246358974057833e-14 7.160510432194316e-17 1.0
6503.199999999259 5.219791345179483e-14 5.321871044342087e-17 1.0
6503.899999999258 5.2151112940906044e-14 5.609907555904076e-17 1.0
6504.599999999258 5.210360149029604e-14 7.257529263224114e-17 1.0
6505.299999999258 5.2042479951899124e-14 6.762696083575047e-17 1.0
6505.999999999258 5.19919807389976e-14 5.177941436102416e-17 1.0
6506.699999999258 5.193886103033294e-14 5.797471246182409e-17 1.0
6507.3999999992575 5.186924912616504e-14 7.2025733059368e-17 1.0
6508.099999999257 5.178928165841327e-14 6.386520297281132e-17 1.0
6508.799999999257 5.173403663825962e-14 5.084837795192224e-17 1.0
6509.499999999257 5.1679018464670035e-14 6.019314257516421e-17 1.0
6510.199999999257 5.160200871682021e-14 7.158134184385837e-17 1.0
6510.899999999257 5.149477590108482e-14 6.051998369924694e-17 1.0
6511.599999999256 5.1370515167436025e-14 5.0485541893926835e-17 1.0
6512.299999999256 5.122773099270018e-14 6.269466367175334e-17 1.0
6512.999999999256 5.0968668836971603e-14 7.0974896210065e-17 1.0
6513.699999999256 5.0697191163815375e-14 5.725457993078057e-17 1.0
6514.399999999256 5.048346083628292e-14 5.0407937312437255e-17 1.0
6515.0999999992555 5.0286808745651e-14 6.509737019816578e-17 1.0
6515.799999999255 5.0104569296912995e-14 7.018902758333386e-17 1.0
6516.499999999255 5.0104432559629677e-14 5.451358238138405e-17 1.0
6517.199999999255 5.017612861340349e-14 5.104697197344679e-17 1.0
6517.899999999255 5.030799085763553e-14 6.826734232731328e-17 1.0
6518.599999999255 5.0618675879988434e-14 7.037293902110929e-17 1.0
6519.299999999254 5.084998557558301e-14 5.2936493778301396e-17 1.0
6519.999999999254 5.1054683310319714e-14 5.2832779954950316e-17 1.0
6520.699999999254 5.124671658248747e-14 7.077392063388404e-17 1.0
6521.399999999254 5.143552482356133e-14 6.928742077452546e-17 1.0
6522.099999999254 5.1517517289148076e-14 5.174915775679043e-17 1.0
6522.7999999992535 5.160037669471496e-14 5.497116023788229e-17 1.0
6523.499999999253 5.167919334700229e-14 7.100646956893364e-17 1.0
6524.199999999253 5.177621804961301e-14 6.598949879151269e-17 1.0
6524.899999999253 5.186489614110322e-14 5.0811903883470966e-17 1.0
6525.599999999253 5.1959344969023904e-14 5.731415994607865e-17 1.0
6526.299999999253 5.2068978268805445e-14 7.111365890982775e-17 1.0
6526.999999999252 5.216519311198923e-14 6.292613033274799e-17 1.0
6527.699999999252 5.2208074363174924e-14 5.039213137561925e-17 1.0
6528.399999999252 5.224307870557638e-14 6.00503257682126e-17 1.0
6529.099999999252 5.2237167209236954e-14 7.119973461379123e-17 1.0
6529.799999999252 5.218308321149679e-14 6.001061594717314e-17 1.0
6530.4999999992515 5.213416935173137e-14 5.0389616322973787e-17 1.0
6531.199999999251 5.209144477102386e-14 6.295277696561464e-17 1.0
6531.899999999251 5.205120074464163e-14 7.11728723358441e-17 1.0
6532.599999999251 5.2073476367094e-14 5.740142382512608e-17 1.0
6533.299999999251 5.212611790631604e-14 5.093343226154346e-17 1.0
6533.999999999251 5.220236447576109e-14 6.619964440086282e-17 1.0
6534.69999999925 5.2370216292536307e-14 7.125179514788474e-17 1.0
6535.39999999925 5.252903071553489e-14 5.5199160398858507e-17 1.0
6536.09999999925 5.267163471468744e-14 5.2025184910354613e-17 1.0
6536.79999999925 5.2814564572819636e-14 6.974629769830051e-17 1.0
6537.49999999925 5.3006402936363396e-14 7.139766934405019e-17 1.0
6538.1999999992495 5.3114366087352515e-14 5.343689284360369e-17 1.0
6538.899999999249 5.3199309734707884e-14 5.3637952477142866e-17 1.0
6539.599999999249 5.3263638702140227e-14 7.149088788197283e-17 1.0
6540.299999999249 5.3291481558999463e-14 6.950108271371516e-17 1.0
6540.999999999249 5.3282896331999487e-14 5.2000500966453374e-17 1.0
6541.699999999249 5.32714332552987e-14 5.555007714816864e-17 1.0
6542.399999999248 5.326354720862068e-14 7.140917852293817e-17 1.0
6543.099999999248 5.3297451692934355e-14 6.599599341533838e-17 1.0
6543.799999999248 5.336662423034506e-14 5.099099899278163e-17 1.0
6544.499999999248 5.3451845776222045e-14 5.784192799676094e-17 1.0
6545.199999999248 5.358274764315932e-14 7.143156826169133e-17 1.0
