#wavelength    flux
3700.473995    1.12473921e-14
3702.780529    1.099371526e-14
3705.087063    1.112479577e-14
3707.393597    1.145346571e-14
3709.700132    1.135744673e-14
3712.006666    1.170602812e-14
3714.3132    1.154452667e-14
3716.619734    1.12697101e-14
3718.926268    1.160300338e-14
3721.232803    1.161950252e-14
3723.539337    1.157475612e-14
3725.845871    1.138551976e-14
3728.152405    1.147063075e-14
3730.458939    1.142879981e-14
3732.765474    1.126911493e-14
3735.072008    1.121450768e-14
3737.378542    1.125587801e-14
3739.685076    1.14663369e-14
3741.99161    1.148342086e-14
3744.298145    1.142937946e-14
3746.604679    1.146484639e-14
3748.911213    1.114131734e-14
3751.217747    1.100143867e-14
3753.524281    1.092346972e-14
3755.830815    1.101220002e-14
3758.13735    1.07187555e-14
3760.443884    1.079160254e-14
3762.750418    1.106957265e-14
3765.056952    1.102329261e-14
3767.363486    1.084141221e-14
3769.670021    1.078356344e-14
3771.976555    1.06311241e-14
3774.283089    1.075891652e-14
3776.589623    1.073915688e-14
3778.896157    1.037440414e-14
3781.202692    1.033557837e-14
3783.509226    1.044171179e-14
3785.81576    1.087246454e-14
3788.122294    1.070764222e-14
3790.428828    1.034715227e-14
3792.735363    1.020604703e-14
3795.041897    1.023254502e-14
3797.348431    1.035063358e-14
3799.654965    1.040712467e-14
3801.961499    1.04561908e-14
3804.268034    1.017606083e-14
3806.574568    1.013174743e-14
3808.881102    1.042206601e-14
3811.187636    1.035269683e-14
3813.49417    1.037829775e-14
3815.800705    1.039105681e-14
3818.107239    1.031398665e-14
3820.413773    1.026444783e-14
3822.720307    1.040409361e-14
3825.026841    1.042987395e-14
3827.333376    1.044371639e-14
3829.63991    1.044111144e-14
3831.946444    1.032462553e-14
3834.252978    1.015815053e-14
3836.559512    1.019224772e-14
3838.866047    1.021220401e-14
3841.172581    1.008685956e-14
3843.479115    1.011537422e-14
3845.785649    1.024840413e-14
3848.092183    1.032258297e-14
3850.398718    1.02399855e-14
3852.705252    1.023559159e-14
3855.011786    1.042352202e-14
3857.31832    1.047562956e-14
3859.624854    1.046609822e-14
3861.931389    1.038412524e-14
3864.237923    1.036778654e-14
3866.544457    1.031173881e-14
3868.850991    1.00967618e-14
3871.157525    1.015065312e-14
3873.46406    1.02099786e-14
3875.770594    1.013215283e-14
3878.077128    1.011396307e-14
3880.383662    1.015138285e-14
3882.690196    1.018720516e-14
3884.996731    1.012021494e-14
3887.303265    9.938122346e-15
3889.609799    1.009752776e-14
3891.916333    1.018019079e-14
3894.222867    1.011531039e-14
3896.529402    9.883989508e-15
3898.835936    9.859566851e-15
3901.14247    1.018734835e-14
3903.449004    1.033110166e-14
3905.755538    9.972564555e-15
3908.062073    9.825605952e-15
3910.368607    1.004121781e-14
3912.675141    9.945071167e-15
3914.981675    9.787532345e-15
3917.288209    9.892418491e-15
3919.594744    1.000419998e-14
3921.901278    9.91373074e-15
3924.207812    9.712332226e-15
3926.514346    9.542636417e-15
3928.82088    9.5514018e-15
3931.127415    9.533401799e-15
3933.433949    9.46686183e-15
3935.740483    9.622385702e-15
3938.047017    9.776917623e-15
3940.353551    9.791867595e-15
3942.660086    9.578377649e-15
3944.96662    9.388251131e-15
3947.273154    9.128022253e-15
3949.579688    9.029986596e-15
3951.886222    9.218080911e-15
3954.192757    9.456050444e-15
3956.499291    9.659241367e-15
3958.805825    9.635520837e-15
3961.112359    9.682782484e-15
3963.418893    9.675248844e-15
3965.725428    9.616758329e-15
3968.031962    9.592642745e-15
3970.338496    9.491400072e-15
3972.64503    9.33732876e-15
3974.951564    9.347969358e-15
3977.258099    9.531954415e-15
3979.564633    9.442389144e-15
3981.871167    9.192452388e-15
3984.177701    9.144100459e-15
3986.484235    9.425118873e-15
3988.79077    9.571908414e-15
3991.097304    9.515827905e-15
3993.403838    9.597103929e-15
3995.710372    9.502140728e-15
3998.016906    9.402040091e-15
4000.323441    9.411643887e-15
4002.629975    9.38477327e-15
4004.936509    9.21620742e-15
4007.243043    9.104172338e-15
4009.549577    9.196696206e-15
4011.856112    9.304408114e-15
4014.162646    9.196128639e-15
4016.46918    9.247366709e-15
4018.775714    9.425751995e-15
4021.082248    9.387664587e-15
4023.388783    9.324476545e-15
4025.695317    9.312909552e-15
4028.001851    9.329719214e-15
4030.308385    9.138436859e-15
4032.614919    9.073879064e-15
4034.921454    9.098120584e-15
4037.227988    9.295806619e-15
4039.534522    9.32213727e-15
4041.841056    9.246687008e-15
4044.14759    9.13944951e-15
4046.454125    9.156573145e-15
4048.760659    9.084623171e-15
4051.067193    9.10459672e-15
4053.373727    9.287281029e-15
4055.680261    9.166002703e-15
4057.986796    9.042671473e-15
4060.29333    9.172252847e-15
4062.599864    9.123714604e-15
4064.906398    9.115706553e-15
4067.212932    9.181915297e-15
4069.519467    9.326346586e-15
4071.826001    9.351623182e-15
4074.132535    9.494874483e-15
4076.439069    9.608848611e-15
4078.745603    9.355834223e-15
4081.052137    9.206067109e-15
4083.358672    9.09493772e-15
4085.665206    9.107023977e-15
4087.97174    8.938773826e-15
4090.278274    9.079170037e-15
4092.584808    9.100747956e-15
4094.891343    8.977520233e-15
4097.197877    8.859757721e-15
4099.504411    8.871961287e-15
4101.810945    9.164369005e-15
4104.117479    9.13211426e-15
4106.424014    9.050662272e-15
4108.730548    8.978715748e-15
4111.037082    8.919300564e-15
4113.343616    9.0553598e-15
4115.65015    9.143557043e-15
4117.956685    9.183868143e-15
4120.263219    9.098881366e-15
4122.569753    8.90397969e-15
4124.876287    8.789639834e-15
4127.182821    8.931578311e-15
4129.489356    9.050534613e-15
4131.79589    8.877100447e-15
4134.102424    8.930125752e-15
4136.408958    8.919723221e-15
4138.715492    8.644851444e-15
4141.022027    8.695511595e-15
4143.328561    8.847902631e-15
4145.635095    8.842998088e-15
4147.941629    8.826605908e-15
4150.248163    8.729336209e-15
4152.554698    8.771795095e-15
4154.861232    8.784975084e-15
4157.167766    8.654084336e-15
4159.4743    8.639310328e-15
4161.780834    8.607788762e-15
4164.087369    8.781664561e-15
4166.393903    8.698328732e-15
4168.700437    8.632558171e-15
4171.006971    8.747555301e-15
4173.313505    8.709938853e-15
4175.62004    8.496523087e-15
4177.926574    8.722571976e-15
4180.233108    8.639708833e-15
4182.539642    8.478024524e-15
4184.846176    8.525883066e-15
4187.152711    8.555346552e-15
4189.459245    8.511673174e-15
4191.765779    8.55985259e-15
4194.072313    8.448564488e-15
4196.378847    8.409695597e-15
4198.685382    8.419245913e-15
4200.991916    8.407527109e-15
4203.29845    8.408443153e-15
4205.604984    8.410763452e-15
4207.911518    8.357282713e-15
4210.218053    8.471660522e-15
4212.524587    8.629068234e-15
4214.831121    8.546348276e-15
4217.137655    8.372586337e-15
4219.444189    8.420550111e-15
4221.750724    8.424702498e-15
4224.057258    8.442642119e-15
4226.363792    8.465544938e-15
4228.670326    8.476649596e-15
4230.97686    8.4777002e-15
4233.283395    8.366072248e-15
4235.589929    8.199667985e-15
4237.896463    8.24190433e-15
4240.202997    8.334241884e-15
4242.509531    8.191354586e-15
4244.816066    8.258976211e-15
4247.1226    8.253944008e-15
4249.429134    8.215223478e-15
4251.735668    8.051829566e-15
4254.042202    8.101197596e-15
4256.348737    8.167102716e-15
4258.655271    8.166699036e-15
4260.961805    8.229385065e-15
4263.268339    8.114693283e-15
4265.574873    7.964275795e-15
4267.881408    8.04321772e-15
4270.187942    8.012400007e-15
4272.494476    7.92762542e-15
4274.80101    8.008316625e-15
4277.107544    8.055714557e-15
4279.414079    8.065758261e-15
4281.720613    8.141446591e-15
4284.027147    7.986310874e-15
4286.333681    8.041190692e-15
4288.640215    8.089948026e-15
4290.94675    8.127930202e-15
4293.253284    8.196609331e-15
4295.559818    8.098870396e-15
4297.866352    8.024448311e-15
4300.172886    7.950524789e-15
4302.479421    8.009927896e-15
4304.785955    7.971200465e-15
4307.092489    7.883410352e-15
4309.399023    7.901681198e-15
4311.705557    7.95154434e-15
4314.012092    7.972464985e-15
4316.318626    8.092953202e-15
4318.62516    8.081298227e-15
4320.931694    7.821107302e-15
4323.238228    7.786188956e-15
4325.544763    7.9849877e-15
4327.851297    8.00731605e-15
4330.157831    7.963880741e-15
4332.464365    7.921028525e-15
4334.770899    7.948382178e-15
4337.077434    7.923115932e-15
4339.383968    8.006410357e-15
4341.690502    8.172643832e-15
4343.997036    8.225508699e-15
4346.30357    8.163899151e-15
4348.610105    8.173818645e-15
4350.916639    8.076084886e-15
4353.223173    8.030479364e-15
4355.529707    8.217312609e-15
4357.836241    8.23277667e-15
4360.142776    8.42952596e-15
4362.44931    8.479822109e-15
4364.755844    8.021808863e-15
4367.062378    7.810735823e-15
4369.368912    7.838120528e-15
4371.675447    8.093755387e-15
4373.981981    8.085638653e-15
4376.288515    7.780489128e-15
4378.595049    7.811850257e-15
4380.901583    7.950115933e-15
4383.208118    7.822635766e-15
4385.514652    7.679048066e-15
4387.821186    7.809919837e-15
4390.12772    7.936501211e-15
4392.434254    7.763864056e-15
4394.740788    7.710366066e-15
4397.047323    7.790313741e-15
4399.353857    7.587107291e-15
4401.660391    7.554956054e-15
4403.966925    7.58742989e-15
4406.273459    7.635573078e-15
4408.579994    7.610555251e-15
4410.886528    7.627440818e-15
4413.193062    7.801232085e-15
4415.499596    7.632899128e-15
4417.80613    7.478070484e-15
4420.112665    7.546932476e-15
4422.419199    7.65958688e-15
4424.725733    7.501528794e-15
4427.032267    7.536005506e-15
4429.338801    7.659975035e-15
4431.645336    7.519794465e-15
4433.95187    7.348354549e-15
4436.258404    7.418118785e-15
4438.564938    7.431598946e-15
4440.871472    7.319546612e-15
4443.178007    7.378287271e-15
4445.484541    7.353471283e-15
4447.791075    7.331099804e-15
4450.097609    7.424132586e-15
4452.404143    7.536874972e-15
4454.710678    7.373163636e-15
4457.017212    7.413466111e-15
4459.323746    7.584364335e-15
4461.63028    7.678023339e-15
4463.936814    7.616015286e-15
4466.243349    7.599247027e-15
4468.549883    7.652622533e-15
4470.856417    7.476102111e-15
4473.162951    7.470486815e-15
4475.469485    7.547079112e-15
4477.77602    7.662992286e-15
4480.082554    7.567744438e-15
4482.389088    7.433827814e-15
4484.695622    7.414345927e-15
4487.002156    7.444618498e-15
4489.308691    7.588725463e-15
4491.615225    7.434283248e-15
4493.921759    7.208217108e-15
4496.228293    7.408402856e-15
4498.534827    7.585961805e-15
4500.841362    7.578733513e-15
4503.147896    7.436060131e-15
4505.45443    7.329973295e-15
4507.760964    7.438221718e-15
4510.067498    7.497062434e-15
4512.374033    7.509146966e-15
4514.680567    7.35655754e-15
4516.987101    7.326152133e-15
4519.293635    7.396820336e-15
4521.600169    7.487619075e-15
4523.906704    7.617586879e-15
4526.213238    7.552156168e-15
4528.519772    7.502862319e-15
4530.826306    7.626210801e-15
4533.13284    7.575578251e-15
4535.439375    7.639411491e-15
4537.745909    7.639841049e-15
4540.052443    7.688807123e-15
4542.358977    7.720007815e-15
4544.665511    7.571039435e-15
4546.972046    7.508598375e-15
4549.27858    7.587034836e-15
4551.585114    7.669853126e-15
4553.891648    7.557671407e-15
4556.198182    7.550410337e-15
4558.504717    7.656526501e-15
4560.811251    7.669414943e-15
4563.117785    7.479367781e-15
4565.424319    7.415765708e-15
4567.730853    7.560176295e-15
4570.037388    7.58303081e-15
4572.343922    7.586032536e-15
4574.650456    7.859657044e-15
4576.95699    7.831509832e-15
4579.263524    7.557657606e-15
4581.570059    7.7188123e-15
4583.876593    7.753618512e-15
4586.183127    7.556353408e-15
4588.489661    7.476773186e-15
4590.796195    7.521298778e-15
4593.10273    7.739475901e-15
4595.409264    7.698931908e-15
4597.715798    7.593074514e-15
4600.022332    7.542269451e-15
4602.328866    7.558542598e-15
4604.635401    7.659467847e-15
4606.941935    7.737286711e-15
4609.248469    7.675249331e-15
4611.555003    7.628655309e-15
4613.861537    7.619443118e-15
4616.168072    7.609518448e-15
4618.474606    7.747226907e-15
4620.78114    7.785787001e-15
4623.087674    7.731416096e-15
4625.394208    7.765961813e-15
4627.700743    7.656724891e-15
4630.007277    7.67263921e-15
4632.313811    7.600489121e-15
4634.620345    7.48814869e-15
4636.926879    7.630808271e-15
4639.233414    7.637653584e-15
4641.539948    7.553280953e-15
4643.846482    7.55657595e-15
4646.153016    7.649613907e-15
4648.45955    7.681601257e-15
4650.766085    7.636792745e-15
4653.072619    7.713297061e-15
4655.379153    7.676679463e-15
4657.685687    7.691374116e-15
4659.992221    7.654425293e-15
4662.298756    7.542624828e-15
4664.60529    7.452647251e-15
4666.911824    7.586305106e-15
4669.218358    7.672835875e-15
4671.524892    7.726194129e-15
4673.831427    7.705290735e-15
4676.137961    7.59707854e-15
4678.444495    7.785752498e-15
4680.751029    7.78190891e-15
4683.057563    7.869184934e-15
4685.364098    7.979755382e-15
4687.670632    7.912233815e-15
4689.977166    7.995667976e-15
4692.2837    8.102265451e-15
4694.590234    8.251056142e-15
4696.896769    8.426456954e-15
4699.203303    8.804898604e-15
4701.509837    9.165754284e-15
4703.816371    9.223877346e-15
4706.122905    8.980064799e-15
4708.429439    8.621013605e-15
4710.735974    8.325410946e-15
4713.042508    8.047837616e-15
4715.349042    7.712308562e-15
4717.655576    7.605990558e-15
4719.96211    7.578574801e-15
4722.268645    7.378447708e-15
4724.575179    7.287811131e-15
4726.881713    7.324661621e-15
4729.188247    7.188685192e-15
4731.494781    7.093237229e-15
4733.801316    7.111508075e-15
4736.10785    7.116371215e-15
4738.414384    7.0545305e-15
4740.720918    6.892778911e-15
4743.027452    6.863782935e-15
4745.333987    6.896667353e-15
4747.640521    6.794896791e-15
4749.947055    6.833113584e-15
4752.253589    6.752719101e-15
4754.560123    6.670392472e-15
4756.866658    6.703739225e-15
4759.173192    6.739464931e-15
