#WAVE FLUX ERR SKYBACK
3642.503 2.5073568E-14 3.694384E-16 -8.8453544E-16
3648.0222 2.5917812E-14 3.7030848E-16 -8.7063044E-16
3653.5415 2.5472925E-14 3.6427565E-16 -7.1314674E-16
3659.0605 2.5113485E-14 3.57067E-16 -8.864711E-16
3664.5798 2.4593173E-14 3.5063154E-16 -7.399459E-16
3670.099 2.4537404E-14 3.4479858E-16 -1.1102844E-15
3675.6184 2.4497806E-14 3.424355E-16 -8.348355E-16
3681.1377 2.4388957E-14 3.3779385E-16 -8.5143567E-16
3686.657 2.4379187E-14 3.3465044E-16 -8.667448E-16
3692.1763 2.394286E-14 3.2836069E-16 -9.369193E-16
3697.6956 2.3554645E-14 3.241257E-16 -6.925923E-16
3703.2148 2.4703862E-14 3.277724E-16 -6.776655E-16
3708.7341 2.4524968E-14 3.2386577E-16 -5.98881E-16
3714.2534 2.4396021E-14 3.1947401E-16 -7.615766E-16
3719.7727 2.4547152E-14 3.178656E-16 -6.981292E-16
3725.292 2.3712037E-14 3.1127516E-16 -5.5667995E-16
3730.8113 2.420921E-14 3.1186363E-16 -4.5505373E-16
3736.3303 2.4135008E-14 3.089014E-16 -4.0601047E-16
3741.8496 2.3776982E-14 3.0504457E-16 -3.1860305E-16
3747.369 2.3572085E-14 3.0109125E-16 -3.778906E-16
3752.8882 2.4197102E-14 3.0096282E-16 -5.8880934E-16
3758.4075 2.4421152E-14 2.9929E-16 -6.906749E-16
3763.9268 2.4422464E-14 2.9735557E-16 -5.960503E-16
3769.446 2.4001461E-14 2.9328773E-16 -5.424004E-16
3774.9653 2.424296E-14 2.9210254E-16 -6.298699E-16
3780.4846 2.3927578E-14 2.8786716E-16 -7.022904E-16
3786.004 2.2588946E-14 2.7922123E-16 -5.7804165E-16
3791.5232 2.3129517E-14 2.8054785E-16 -5.428422E-16
3797.0425 2.36591E-14 2.8083414E-16 -6.805778E-16
3802.5618 2.2701159E-14 2.7482365E-16 -5.109003E-16
3808.0808 2.2973858E-14 2.7448203E-16 -4.865977E-16
3813.6 2.2917268E-14 2.71716E-16 -6.5674557E-16
3819.1194 2.231448E-14 2.6801433E-16 -4.251537E-16
3824.6387 2.2685487E-14 2.6867017E-16 -3.5879847E-16
3830.158 2.2418653E-14 2.654858E-16 -3.9450943E-16
3835.6772 2.2675956E-14 2.6595924E-16 -2.364985E-16
3841.1965 2.2542249E-14 2.6320397E-16 -3.465096E-16
