#WAVE FLUX ERR BGFLUX
5983.717 2.8978752E-16 6.3916444E-18 1.7903574E-16
5987.931 2.4310065E-16 5.4351854E-18 1.5960721E-16
5992.1455 2.571421E-16 5.4785318E-18 1.5024403E-16
5996.3594 2.5591033E-16 5.4859623E-18 1.5444087E-16
6000.5737 2.5442302E-16 5.447485E-18 1.5079595E-16
6004.788 2.6029992E-16 5.4503927E-18 1.4597479E-16
6009.002 2.5850972E-16 5.44421E-18 1.4766766E-16
6013.2163 2.5200403E-16 5.3885643E-18 1.4524587E-16
6017.4307 2.5262136E-16 5.386423E-18 1.4543822E-16
6021.645 2.4486298E-16 5.345559E-18 1.4665715E-16
6025.859 2.4235868E-16 5.344573E-18 1.5011532E-16
6030.073 2.471189E-16 5.350271E-18 1.4766231E-16
6034.2876 2.4770033E-16 5.3341006E-18 1.4504627E-16
6038.5015 2.3945952E-16 5.2754097E-18 1.4398295E-16
6042.716 2.341568E-16 5.2453665E-18 1.4504334E-16
6046.93 2.4194961E-16 5.25035E-18 1.3934112E-16
6051.1445 2.3859597E-16 5.2251597E-18 1.3871742E-16
6055.3584 2.3938663E-16 5.2257445E-18 1.3910823E-16
6059.5728 2.2613826E-16 5.148779E-18 1.3964684E-16
6063.787 2.3970217E-16 5.211934E-18 1.3854779E-16
6068.001 2.372798E-16 5.1829896E-18 1.3639887E-16
6072.2153 2.2833242E-16 5.133792E-18 1.3802555E-16
6076.4297 2.250508E-16 5.0940148E-18 1.3516647E-16
6080.6436 2.2848653E-16 5.0955244E-18 1.3329775E-16
6084.858 2.258813E-16 5.1032742E-18 1.3798535E-16
6089.0723 2.139509E-16 5.033396E-18 1.3867398E-16
6093.2866 2.174485E-16 5.0479764E-18 1.3791105E-16
6097.5005 2.1764324E-16 5.027923E-18 1.3532863E-16
6101.715 2.1402469E-16 5.0062836E-18 1.360565E-16
6105.929 2.1622815E-16 5.0190983E-18 1.3661805E-16
6110.143 2.2650092E-16 5.0562697E-18 1.3385777E-16
6114.3574 2.106521E-16 4.9692127E-18 1.3499707E-16
6118.572 2.1876496E-16 4.9981264E-18 1.334087E-16
6122.786 2.1470431E-16 4.9775746E-18 1.342757E-16
6127.0 2.19159E-16 4.9950856E-18 1.3274633E-16
6131.2144 2.0497599E-16 4.9256922E-18 1.3570586E-16
6135.4287 2.1473537E-16 4.9946377E-18 1.3843756E-16
6139.6426 2.1656258E-16 5.0003593E-18 1.3828185E-16
6143.857 2.1276085E-16 4.955676E-18 1.346967E-16
6148.0713 2.1188767E-16 4.944088E-18 1.3418648E-16
6152.2856 2.1822643E-16 4.976305E-18 1.3390082E-16
6156.4995 2.2137076E-16 4.9961163E-18 1.3483139E-16
6160.714 2.1190547E-16 4.952065E-18 1.3714501E-16
6164.928 2.108198E-16 4.946258E-18 1.3771927E-16
6169.142 2.131142E-16 4.9490952E-18 1.3724983E-16
6173.3564 2.2220435E-16 4.9752916E-18 1.3264479E-16
6177.571 2.1776066E-16 4.9261484E-18 1.2946396E-16
6181.785 2.1859616E-16 4.929103E-18 1.3021835E-16
6185.999 2.2040676E-16 4.9445486E-18 1.2833419E-16
6190.2134 2.2749783E-16 5.0006104E-18 1.3128328E-16
6194.4277 2.2090576E-16 5.0040304E-18 1.3884499E-16
6198.6416 2.2589516E-16 4.9780796E-18 1.3027015E-16
6202.856 2.3008708E-16 4.991926E-18 1.2905975E-16
6207.0703 2.3767752E-16 5.0377024E-18 1.3013429E-16
6211.284 2.283316E-16 5.014016E-18 1.3586586E-16
6215.4985 2.2815216E-16 4.980451E-18 1.3066328E-16
6219.713 2.3178755E-16 5.014697E-18 1.3377602E-16
6223.9272 2.2407913E-16 5.0390246E-18 1.4677362E-16
6228.141 2.213238E-16 5.0729812E-18 1.5567359E-16
6232.3555 2.228532E-16 5.0798663E-18 1.5651462E-16
6236.57 2.2095019E-16 5.0499037E-18 1.5350193E-16
6240.7837 2.2198678E-16 4.9853253E-18 1.418724E-16
6244.998 2.1925775E-16 4.9713075E-18 1.4265918E-16
6249.2124 2.2226682E-16 5.0111367E-18 1.476046E-16
6253.427 2.1508194E-16 5.014713E-18 1.5574556E-16
6257.6406 2.3121892E-16 5.061582E-18 1.4862355E-16
6261.855 2.2639142E-16 5.007671E-18 1.4503049E-16
6266.0693 2.234995E-16 4.9322274E-18 1.3660738E-16
6270.283 2.2656638E-16 5.157725E-18 1.3187198E-16
6274.4976 2.299718E-16 4.94837E-18 1.3560281E-16
6278.712 2.2193245E-16 4.959497E-18 1.4650257E-16
6282.9263 2.251149E-16 5.0496105E-18 1.6048414E-16
6287.14 2.278306E-16 6.0614865E-18 3.6124094E-16
6291.3545 2.2903464E-16 6.775304E-18 5.2650753E-16
6295.569 2.414539E-16 6.90882E-18 5.478343E-16
6299.7827 2.403773E-16 6.614239E-18 4.7739105E-16
6303.997 2.4148173E-16 5.449103E-18 2.213124E-16
6308.2114 2.4183982E-16 5.0385023E-18 1.432891E-16
6312.4253 2.351072E-16 4.9683028E-18 1.373087E-16
6316.6396 2.4833873E-16 5.064181E-18 1.4142042E-16
6320.854 2.5569095E-16 5.124358E-18 1.458744E-16
6325.0684 2.7896975E-16 5.2043727E-18 1.3770105E-16
6329.282 2.600086E-16 5.1173367E-18 1.4092934E-16
6333.4966 2.6630798E-16 5.09483E-18 1.317214E-16
6337.711 2.7804592E-16 5.144577E-18 1.2891595E-16
6341.925 2.816775E-16 5.179118E-18 1.3202775E-16
6346.139 2.880751E-16 5.2705463E-18 1.4365225E-16
6350.3535 2.9472188E-16 5.5463994E-18 1.9259318E-16
6354.568 2.9094653E-16 5.8286173E-18 2.566989E-16
6358.7817 2.8392581E-16 5.7911217E-18 2.5642978E-16
6362.996 2.9432807E-16 5.7220562E-18 2.3215982E-16
