GROUP	MJD	STAR	B	EB	V	EV	R	ER	CLEAR	ECLEAR	I	EI
;;kait data
1	59031.220	0	15.341	 0.035	15.170	 0.027	15.002	 0.024	14.930	 0.017	14.792	 0.035
2	59034.255	0	15.295	 0.046	15.118	 0.021	14.931	 0.021	14.796	 0.024	14.784	 0.023
3	59035.226	0	15.257	 0.036	15.084	 0.020	14.915	 0.017	14.853	 0.018	14.747	 0.022
4	59036.205	0	15.267	 0.028	15.049	 0.016	14.878	 0.017	14.793	 0.020	14.724	 0.018
5	59038.244	0	15.340	 0.029	15.111	 0.017	14.878	 0.016	14.828	 0.027	14.714	 0.021
6	59040.225	0	15.416	 0.029	15.098	 0.015	14.917	 0.016	14.885	 0.022	14.763	 0.021
7	59041.240	0	15.387	 0.055	15.104	 0.024	14.819	 0.032	14.842	 0.024	14.702	 0.027
8	59051.233	0	15.884	 0.098	15.154	 0.048	NaN	NaN	NaN	NaN	NaN	NaN
9	59054.220	0	16.003	 0.092	15.232	 0.043	14.871	 0.036	14.911	 0.024	14.676	 0.028
10	59055.183	0	16.119	 0.088	15.194	 0.039	14.922	 0.043	15.014	 0.036	14.729	 0.035
11	59057.218	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
12	59058.206	0	16.216	 0.198	15.203	 0.153	15.039	 0.070	15.081	 0.102	14.774	 0.085
13	59059.200	0	16.387	 0.106	15.304	 0.039	14.984	 0.026	15.056	 0.029	14.760	 0.027
14	59063.193	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
15	59070.181	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
;;Nickel data
1	59030.223	0	15.239	 0.014	15.180	 0.009	15.022	 0.010	NaN	NaN	14.854	 0.063
