# REDSHIFT_QUALITY: None
# UNIT_ID: None
# REDSHIFT_ERR: None
# TRANSIENT_ID: 58684
# SNID_PLOT_FILE: None
# RLAP: None
# SPEC_PLOT_FILE: None
# DATA_QUALITY_ID: None
# DEC: 42.7773888888889
# OBS_DATE: 2020-12-11 15:32:02+00:00
# SPEC_PHASE: None
# OBS_GROUP_ID: 55
# REDSHIFT: None
# INSTRUMENT_ID: 7
# FOLLOWUP_ID: None
# RA: 220.0415
# SPEC_DATA_FILE: None
# SPECTRUM_NOTES: None

#wavelength flux fluxerr
3162.184 8.53146e-02 4.71471e-02
3163.368 -5.56241e-02 4.72155e-02
3164.552 6.93443e-02 4.58675e-02
3165.736 7.26030e-02 5.89358e-02
3166.920 2.60079e-01 5.96128e-02
3168.104 -7.56072e-03 5.83886e-02
3169.288 4.10271e-02 4.17244e-02
3170.472 2.42565e-01 5.85081e-02
3171.656 -3.33970e-02 5.18957e-02
3172.840 4.18998e-01 6.98446e-02
3174.023 1.25963e-01 5.49923e-02
3175.207 1.32961e-02 5.22517e-02
3176.391 9.56310e-02 5.57175e-02
3177.575 2.75076e-01 4.62431e-02
3178.759 -8.45431e-03 6.22266e-02
3179.943 -2.05814e-01 4.69882e-02
3181.127 8.60374e-02 6.28780e-02
3182.311 3.58589e-01 5.99313e-02
3183.495 5.59160e-02 4.29702e-02
3184.679 3.65750e-02 3.97676e-02
3185.863 1.52503e-01 5.00386e-02
3187.047 2.15437e-01 5.29405e-02
3188.231 1.10821e-01 4.49875e-02
3189.415 1.18528e-01 6.11952e-02
3190.599 2.34243e-01 5.25142e-02
3191.783 1.06826e-01 4.13839e-02
3192.967 2.50993e-01 5.26945e-02
3194.151 5.64055e-02 4.56297e-02
3195.335 2.88771e-01 4.92018e-02
3196.519 3.07172e-01 3.81081e-02
3197.703 -1.50297e-02 4.63913e-02
3198.886 -2.79852e-02 4.43334e-02
3200.070 -7.14310e-03 5.07683e-02
3201.254 -4.47121e-02 3.82441e-02
3202.438 1.62827e-01 4.59559e-02
3203.622 2.54920e-01 5.85345e-02
3204.806 2.50499e-01 4.00236e-02
3205.990 -1.33601e-02 4.49517e-02
3207.174 -1.00943e-01 5.27195e-02
3208.358 -3.22537e-02 5.79698e-02
3209.542 1.53574e-01 5.30798e-02
3210.726 1.41479e-01 4.12360e-02
3211.910 1.12393e-01 4.59308e-02
3213.094 4.22337e-02 4.63785e-02
3214.278 5.39232e-03 5.50259e-02
3215.462 1.01040e-01 4.92655e-02
3216.646 1.47220e-02 3.97711e-02
3217.830 7.81789e-02 3.80669e-02
3219.014 -2.65641e-02 4.78826e-02
3220.198 -6.25169e-02 3.73677e-02
3221.382 1.02297e-01 4.34372e-02
3222.566 1.03775e-01 5.34846e-02
3223.749 2.49315e-01 4.71957e-02
3224.933 7.45972e-02 3.29147e-02
3226.117 3.46479e-01 4.58336e-02
3227.301 1.98463e-01 5.45570e-02
3228.485 -1.23643e-02 4.22191e-02
3229.669 1.54059e-01 4.87959e-02
3230.853 -8.92029e-02 3.60396e-02
3232.037 1.98028e-01 3.79681e-02
3233.221 -6.03479e-02 3.83504e-02
3234.405 -5.90494e-02 2.77961e-02
3235.589 6.20634e-02 3.11284e-02
3236.773 -2.45799e-02 3.78929e-02
3237.957 -6.85788e-02 3.81264e-02
3239.141 -4.58564e-03 3.08148e-02
3240.325 6.48821e-02 4.06792e-02
3241.509 6.07641e-02 3.71147e-02
3242.693 -4.96881e-03 3.48816e-02
3243.877 1.90921e-01 3.89842e-02
3245.061 -6.76891e-02 3.49265e-02
3246.245 5.66431e-02 3.40633e-02
3247.429 6.58856e-02 3.91209e-02
3248.613 5.41797e-02 3.37819e-02
3249.796 -4.39696e-02 3.66124e-02
3250.980 5.85053e-02 3.84616e-02
3252.164 6.94187e-02 4.18566e-02
3253.348 2.20026e-02 3.28477e-02
3254.532 1.43147e-01 3.30921e-02
3255.716 1.29822e-01 3.70938e-02
3256.900 1.25999e-01 3.46495e-02
3258.084 2.62438e-01 4.29861e-02
3259.268 -3.60014e-02 3.64800e-02
3260.452 1.96756e-02 3.40672e-02
3261.636 9.29950e-02 3.72234e-02
3262.820 4.41539e-02 3.71753e-02
3264.004 5.35482e-02 3.74054e-02
3265.188 6.16169e-02 3.72867e-02
3266.372 6.32442e-02 3.98545e-02
3267.556 8.07643e-02 4.01504e-02
3268.740 8.64103e-02 3.29370e-02
3269.924 5.23428e-02 3.61263e-02
3271.108 1.27208e-01 3.74477e-02
3272.292 1.71845e-02 3.34770e-02
3273.476 1.40904e-01 2.47490e-02
3274.659 -1.57269e-02 2.97230e-02
3275.843 1.51556e-01 3.27824e-02
3277.027 1.44319e-01 3.93769e-02
3278.211 1.77818e-01 3.19240e-02
3279.395 2.18169e-01 3.08214e-02
3280.579 1.63695e-01 3.01298e-02
3281.763 9.02578e-02 3.39590e-02
3282.947 8.29556e-02 2.75844e-02
3284.131 -3.60257e-02 3.32500e-02
3285.315 4.38214e-02 2.79919e-02
3286.499 1.45963e-01 2.92810e-02
3287.683 3.31574e-02 2.45611e-02
3288.867 1.33493e-01 2.49624e-02
3290.051 1.19496e-01 2.10485e-02
3291.235 1.53184e-01 2.98886e-02
3292.419 1.80115e-01 2.88010e-02
3293.603 1.67567e-01 2.97794e-02
3294.787 1.81332e-01 3.02631e-02
3295.971 1.58093e-01 2.79340e-02
3297.155 2.11215e-01 3.02417e-02
3298.339 1.58862e-01 2.65248e-02
3299.522 1.56153e-01 3.18117e-02
3300.706 1.01802e-01 3.24207e-02
3301.890 2.57701e-01 3.41049e-02
3303.074 4.88444e-02 2.68170e-02
3304.258 1.55762e-01 3.21306e-02
3305.442 2.21553e-01 3.25475e-02
3306.626 1.33927e-02 2.50851e-02
3307.810 1.34061e-01 2.61384e-02
3308.994 1.59254e-01 2.92167e-02
3310.178 1.54540e-01 2.55475e-02
3311.362 1.55347e-01 2.73761e-02
3312.546 5.19858e-02 2.44216e-02
3313.730 4.24724e-02 2.32589e-02
3314.914 3.30199e-02 2.37211e-02
3316.098 1.66346e-01 2.82558e-02
3317.282 5.52210e-02 2.12578e-02
3318.466 1.40450e-01 2.52031e-02
3319.650 7.49816e-02 2.67798e-02
3320.834 -1.63238e-02 2.34948e-02
3322.018 8.47172e-02 2.75965e-02
3323.202 1.22906e-01 2.73229e-02
3324.385 6.10352e-02 1.96704e-02
3325.569 9.03721e-02 2.36684e-02
3326.753 2.32931e-02 2.46212e-02
3327.937 5.31733e-02 2.54371e-02
3329.121 9.26268e-02 2.50900e-02
3330.305 9.42093e-02 2.20802e-02
3331.489 -3.85704e-02 2.04539e-02
3332.673 7.46353e-03 1.72003e-02
3333.857 -3.89096e-03 2.02911e-02
3335.041 2.03127e-03 2.15267e-02
3336.225 -4.81633e-02 2.20329e-02
3337.409 3.88064e-02 2.35072e-02
3338.593 5.64525e-02 2.02393e-02
3339.777 3.39765e-02 2.08607e-02
3340.961 2.19342e-02 1.91621e-02
3342.145 5.22461e-02 2.36154e-02
3343.329 1.68472e-01 2.36061e-02
3344.513 4.96389e-02 2.29752e-02
3345.697 1.00458e-01 1.95801e-02
3346.881 9.25606e-04 1.99162e-02
3348.065 3.10141e-02 2.02761e-02
3349.248 7.21363e-02 2.07192e-02
3350.432 3.48897e-02 1.52360e-02
3351.616 -7.25790e-03 1.76178e-02
3352.800 2.91181e-02 1.70993e-02
3353.984 3.85626e-02 1.77761e-02
3355.168 2.99560e-02 1.97207e-02
3356.352 3.56114e-02 1.90260e-02
3357.536 5.29159e-02 1.77478e-02
3358.720 6.80550e-02 1.84885e-02
3359.904 1.33051e-02 1.61321e-02
3361.088 1.38217e-01 1.91873e-02
3362.272 5.09314e-02 1.58033e-02
3363.456 7.32637e-02 1.70431e-02
3364.640 3.04085e-02 1.71489e-02
3365.824 5.42323e-02 1.62348e-02
3367.008 1.05045e-01 1.71182e-02
3368.192 1.28451e-01 1.27328e-02
