GROUP	MJD	STAR	B	EB	V	EV	R	ER	CLEAR	ECLEAR	I	EI
;;kait data
1	59234.595	0	18.006	 0.403	18.095	 0.317	18.145	 0.482	18.145	 0.449	17.854	 0.406
2	59252.562	0	18.184	 0.263	18.372	 0.340	18.153	 0.285	18.130	 0.255	17.776	 0.303
3	59277.491	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4	59287.469	0	NaN	NaN	NaN	NaN	NaN	NaN	18.535	 0.195	NaN	NaN
5	59304.417	0	17.987	 0.637	18.673	 0.560	18.405	 0.397	18.862	 0.366	18.058	 0.290
6	59305.413	0	NaN	NaN	NaN	NaN	NaN	NaN	18.716	 0.309	NaN	NaN
7	59306.420	0	NaN	NaN	NaN	NaN	NaN	NaN	19.041	 0.372	NaN	NaN
8	59310.302	0	18.854	 0.559	18.912	 0.569	NaN	NaN	18.910	 0.568	18.204	 0.748
9	59311.404	0	18.556	 0.674	18.794	 0.479	NaN	NaN	NaN	NaN	17.969	 0.651
10	59312.340	0	18.675	 0.378	19.032	 0.310	18.717	 0.287	19.124	 0.344	18.235	 0.185
11	59316.354	0	19.028	 0.292	19.105	 0.260	18.851	 0.259	19.117	 0.281	18.338	 0.536
12	59317.377	0	19.225	 0.602	18.999	 0.443	18.884	 0.360	19.221	 0.307	18.450	 0.215
13	59320.369	0	NaN	NaN	NaN	NaN	NaN	NaN	19.290	 0.272	NaN	NaN
