GROUP	MJD	STAR	B	EB	V	EV	R	ER	CLEAR	ECLEAR	I	EI
;;kait data
1	59274.288	0	16.650	 0.076	16.288	 0.035	16.159	 0.032	16.250	 0.068	15.982	 0.042
2	59275.289	0	16.735	 0.101	16.378	 0.117	16.215	 0.072	16.157	 0.043	16.141	 0.161
3	59277.263	0	16.714	 0.054	16.526	 0.046	16.322	 0.032	16.264	 0.029	16.111	 0.054
4	59281.288	0	16.977	 0.065	16.729	 0.050	16.432	 0.049	16.391	 0.037	16.376	 0.074
5	59282.370	0	16.912	 0.174	16.784	 0.124	NaN	NaN	NaN	NaN	16.554	 0.120
6	59286.276	0	17.471	 0.105	16.950	 0.064	16.485	 0.087	16.610	 0.042	16.591	 0.116
7	59287.277	0	17.284	 0.233	16.984	 0.115	16.509	 0.135	16.585	 0.084	16.618	 0.186
8	59302.298	0	18.073	 0.301	17.227	 0.187	16.681	 0.174	16.917	 0.069	16.744	 0.094
9	59305.237	0	18.175	 0.177	17.215	 0.089	16.684	 0.062	16.849	 0.053	16.733	 0.155
10	59306.217	0	18.112	 0.147	17.334	 0.128	16.705	 0.090	NaN	NaN	16.765	 0.098
11	59307.222	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
12	59309.261	0	18.200	 0.133	17.240	 0.063	16.830	 0.036	NaN	NaN	16.794	 0.060
13	59310.263	0	18.191	 0.157	17.309	 0.173	16.840	 0.114	17.012	 0.047	16.675	 0.222
14	59311.216	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
15	59312.256	0	18.529	 0.150	17.210	 0.047	16.835	 0.029	16.913	 0.039	16.840	 0.048
16	59313.189	0	18.404	 0.237	17.305	 0.087	16.840	 0.043	NaN	NaN	16.805	 0.140
17	59315.188	0	18.501	 0.153	17.246	 0.054	16.853	 0.040	16.948	 0.034	16.806	 0.065
18	59316.189	0	18.497	 0.172	17.355	 0.060	16.760	 0.055	16.979	 0.042	16.857	 0.072
19	59317.188	0	18.505	 0.182	17.246	 0.079	16.846	 0.053	16.855	 0.040	16.779	 0.107
20	59319.211	0	18.714	 0.254	17.172	 0.096	16.854	 0.061	NaN	NaN	16.741	 0.078
21	59320.232	0	18.463	 0.158	17.284	 0.068	16.851	 0.041	16.992	 0.052	16.756	 0.068
22	59321.201	0	18.467	 0.188	17.386	 0.097	16.841	 0.051	16.890	 0.055	16.778	 0.061
23	59322.155	0	18.484	 0.323	17.322	 0.096	16.892	 0.060	16.878	 0.063	16.763	 0.128
24	59324.246	0	18.666	 0.260	17.384	 0.101	16.964	 0.091	NaN	NaN	16.816	 0.079
25	59325.262	0	18.181	 0.346	17.397	 0.209	16.891	 0.105	16.970	 0.125	16.827	 0.130
26	59326.256	0	18.379	 0.320	17.346	 0.279	16.898	 0.255	16.978	 0.496	16.816	 0.432
27	59332.185	0	18.554	 0.252	17.323	 0.099	16.980	 0.062	17.027	 0.077	16.828	 0.091
28	59333.187	0	18.613	 0.159	17.354	 0.069	16.992	 0.040	NaN	NaN	16.799	 0.179
29	59334.187	0	18.514	 0.174	17.384	 0.071	16.963	 0.047	NaN	NaN	16.727	 0.063
30	59337.192	0	19.024	 0.264	17.572	 0.103	17.005	 0.072	16.978	 0.046	16.931	 0.083
31	59339.207	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
32	59342.208	0	18.565	 0.240	17.640	 0.114	17.071	 0.066	17.072	 0.060	16.820	 0.090
33	59343.210	0	18.900	 0.319	17.633	 0.120	17.065	 0.080	NaN	NaN	16.886	 0.145
34	59345.247	0	NaN	NaN	NaN	NaN	NaN	NaN	16.973	 0.087	NaN	NaN
35	59346.238	0	NaN	NaN	NaN	NaN	NaN	NaN	17.113	 0.071	NaN	NaN
36	59348.217	0	NaN	NaN	NaN	NaN	NaN	NaN	17.068	 0.064	NaN	NaN
37	59350.214	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
38	59351.213	0	NaN	NaN	NaN	NaN	NaN	NaN	17.133	 0.105	NaN	NaN
39	59356.206	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
40	59357.220	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
41	59358.218	0	NaN	NaN	NaN	NaN	NaN	NaN	17.049	 0.148	NaN	NaN
