GROUP	MJD	STAR	B	EB	V	EV	R	ER	CLEAR	ECLEAR	I	EI
;;kait data
1	59371.309	0	17.309	 0.054	17.486	 0.044	17.471	 0.055	17.332	 0.040	17.408	 0.067
2	59386.374	0	17.833	 0.141	17.540	 0.106	17.230	 0.067	17.192	 0.105	17.098	 0.103
3	59387.391	0	17.939	 0.263	17.538	 0.128	17.344	 0.099	17.063	 0.069	17.168	 0.133
4	59389.361	0	18.019	 0.233	17.474	 0.161	17.379	 0.087	NaN	NaN	17.195	 0.098
5	59390.348	0	17.905	 0.203	17.495	 0.081	17.390	 0.073	17.169	 0.068	17.223	 0.099
6	59392.365	0	18.110	 0.171	17.645	 0.086	17.456	 0.097	NaN	NaN	17.227	 0.090
7	59395.374	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8	59396.342	0	18.302	 0.151	17.810	 0.076	17.495	 0.055	17.373	 0.038	17.406	 0.097
9	59397.360	0	18.412	 0.193	17.854	 0.092	17.432	 0.055	17.355	 0.035	17.236	 0.087
10	59403.342	0	18.840	 0.175	18.271	 0.109	17.648	 0.072	NaN	NaN	17.412	 0.078
11	59404.341	0	18.287	 0.338	18.415	 0.139	17.764	 0.102	17.754	 0.074	17.373	 0.091
12	59406.326	0	18.811	 0.230	18.391	 0.104	17.568	 0.071	17.713	 0.059	17.328	 0.067
13	59408.318	0	18.833	 0.248	18.694	 0.147	17.807	 0.070	17.705	 0.068	17.536	 0.099
14	59417.252	0	NaN	NaN	NaN	NaN	NaN	NaN	18.051	 0.088	NaN	NaN
15	59418.248	0	18.776	 0.348	19.006	 0.324	17.963	 0.238	18.093	 0.109	17.572	 0.159
16	59420.248	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
17	59423.227	0	19.198	 0.319	18.809	 0.198	18.292	 0.122	18.275	 0.116	17.688	 0.119
18	59424.218	0	19.175	 0.246	19.131	 0.212	18.507	 0.137	18.094	 0.084	17.658	 0.089
19	59425.217	0	19.408	 0.332	18.993	 0.165	18.211	 0.096	18.169	 0.091	17.539	 0.090
20	59426.260	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
21	59427.216	0	19.347	 0.305	18.971	 0.174	18.603	 0.131	18.487	 0.104	17.689	 0.098
22	59429.236	0	19.600	 0.372	19.260	 0.228	18.429	 0.113	18.596	 0.122	17.824	 0.095
23	59430.214	0	19.212	 0.306	19.109	 0.231	18.669	 0.140	18.551	 0.091	17.868	 0.123
24	59432.242	0	19.413	 0.305	19.490	 0.298	18.550	 0.126	18.471	 0.099	NaN	NaN
25	59433.208	0	NaN	NaN	NaN	NaN	NaN	NaN	18.432	 0.394	NaN	NaN
26	59434.211	0	NaN	NaN	NaN	NaN	NaN	NaN	18.642	 0.132	NaN	NaN
27	59435.208	0	NaN	NaN	NaN	NaN	NaN	NaN	18.611	 0.110	NaN	NaN
28	59436.206	0	NaN	NaN	NaN	NaN	NaN	NaN	18.593	 0.120	NaN	NaN
29	59438.206	0	NaN	NaN	NaN	NaN	NaN	NaN	18.925	 0.195	NaN	NaN
30	59439.207	0	NaN	NaN	NaN	NaN	NaN	NaN	18.865	 0.329	NaN	NaN
31	59440.192	0	NaN	NaN	NaN	NaN	NaN	NaN	18.733	 0.197	NaN	NaN
32	59442.194	0	NaN	NaN	NaN	NaN	NaN	NaN	18.970	 0.401	NaN	NaN
33	59444.177	0	NaN	NaN	NaN	NaN	NaN	NaN	19.022	 0.339	NaN	NaN
34	59448.239	0	NaN	NaN	NaN	NaN	NaN	NaN	18.926	 0.245	NaN	NaN
35	59449.222	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
36	59450.268	0	NaN	NaN	NaN	NaN	NaN	NaN	18.902	 0.327	NaN	NaN
37	59451.198	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
38	59453.194	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
39	59454.209	0	NaN	NaN	NaN	NaN	NaN	NaN	18.845	 0.171	NaN	NaN
40	59456.194	0	NaN	NaN	NaN	NaN	NaN	NaN	18.829	 0.145	NaN	NaN
41	59457.194	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
42	59459.189	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
43	59460.195	0	NaN	NaN	NaN	NaN	NaN	NaN	19.039	 0.193	NaN	NaN
44	59461.189	0	NaN	NaN	NaN	NaN	NaN	NaN	19.060	 0.163	NaN	NaN
45	59462.207	0	NaN	NaN	NaN	NaN	NaN	NaN	18.871	 0.140	NaN	NaN
46	59464.178	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
47	59468.191	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
48	59472.194	0	NaN	NaN	NaN	NaN	NaN	NaN	19.190	 0.279	NaN	NaN
49	59473.181	0	NaN	NaN	NaN	NaN	NaN	NaN	18.971	 0.270	NaN	NaN
50	59474.190	0	NaN	NaN	NaN	NaN	NaN	NaN	19.137	 0.281	NaN	NaN
51	59478.180	0	NaN	NaN	NaN	NaN	NaN	NaN	19.229	 0.306	NaN	NaN
52	59479.143	0	NaN	NaN	NaN	NaN	NaN	NaN	19.120	 0.345	NaN	NaN
53	59481.177	0	NaN	NaN	NaN	NaN	NaN	NaN	19.179	 0.361	NaN	NaN
54	59487.179	0	NaN	NaN	NaN	NaN	NaN	NaN	19.042	 0.324	NaN	NaN
55	59637.578	0	NaN	NaN	NaN	NaN	NaN	NaN	19.695	 0.393	NaN	NaN
56	59676.526	0	NaN	NaN	NaN	NaN	NaN	NaN	20.028	 0.361	NaN	NaN
57	59740.428	0	NaN	NaN	NaN	NaN	NaN	NaN	20.482	 0.347	NaN	NaN
58	59742.416	0	NaN	NaN	NaN	NaN	NaN	NaN	20.187	 0.341	NaN	NaN
59	59785.298	0	NaN	NaN	NaN	NaN	NaN	NaN	20.613	 0.330	NaN	NaN
;;nickel data
1	59415.300	0	19.274	 0.102	18.642	 0.068	17.925	 0.046	NaN	NaN	17.505	 0.028
2	59421.325	0	19.522	 0.206	19.096	 0.114	18.079	 0.057	NaN	NaN	17.517	 0.060
3	59425.254	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4	59432.272	0	19.488	 0.062	19.363	 0.071	18.617	 0.059	NaN	NaN	18.135	 0.062
5	59436.240	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6	59459.223	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7	59463.213	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8	59471.194	0	20.052	 0.133	19.716	 0.107	NaN	NaN	NaN	NaN	NaN	NaN
