GROUP	MJD	STAR	B	EB	V	EV	R	ER	CLEAR	ECLEAR	I	EI
;;kait data
1	59503.262	0	18.291	 0.312	17.666	 0.243	16.782	 0.348	NaN	NaN	16.300	 0.174
2	59516.310	0	18.769	 0.229	17.842	 0.103	16.853	 0.049	16.808	 0.038	16.586	 0.074
3	59517.249	0	18.698	 0.250	17.827	 0.104	16.845	 0.104	16.813	 0.038	16.764	 0.062
4	59522.256	0	18.521	 0.349	18.073	 0.143	NaN	NaN	17.132	 0.072	16.636	 0.092
5	59523.291	0	18.813	 0.324	18.005	 0.156	17.058	 0.094	17.220	 0.088	16.730	 0.106
6	59524.199	0	NaN	NaN	NaN	NaN	NaN	NaN	17.178	 0.153	NaN	NaN
7	59525.166	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8	59526.276	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
9	59530.178	0	NaN	NaN	NaN	NaN	NaN	NaN	17.180	 0.056	NaN	NaN
10	59531.188	0	NaN	NaN	NaN	NaN	NaN	NaN	17.774	 0.393	NaN	NaN
11	59532.152	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
12	59533.164	0	NaN	NaN	NaN	NaN	NaN	NaN	17.588	 0.362	NaN	NaN
13	59535.163	0	NaN	NaN	NaN	NaN	NaN	NaN	17.790	 0.323	NaN	NaN
14	59536.124	0	NaN	NaN	NaN	NaN	NaN	NaN	17.385	 0.075	NaN	NaN
15	59540.167	0	NaN	NaN	NaN	NaN	NaN	NaN	17.928	 0.126	NaN	NaN
16	59541.112	0	NaN	NaN	NaN	NaN	NaN	NaN	18.241	 0.108	NaN	NaN
17	59542.158	0	NaN	NaN	NaN	NaN	NaN	NaN	18.748	 0.333	NaN	NaN
18	59544.154	0	NaN	NaN	NaN	NaN	NaN	NaN	19.270	 0.267	NaN	NaN
19	59547.148	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
20	59548.197	0	NaN	NaN	NaN	NaN	NaN	NaN	19.597	 0.387	NaN	NaN
21	59552.185	0	NaN	NaN	NaN	NaN	NaN	NaN	20.089	 0.377	NaN	NaN
22	59553.213	0	NaN	NaN	NaN	NaN	NaN	NaN	19.592	 0.334	NaN	NaN
23	59556.176	0	NaN	NaN	NaN	NaN	NaN	NaN	19.806	 0.392	NaN	NaN
24	59566.087	0	NaN	NaN	NaN	NaN	NaN	NaN	20.129	 0.385	NaN	NaN
25	59588.153	0	NaN	NaN	NaN	NaN	NaN	NaN	20.596	 0.328	NaN	NaN
26	59466.392	0	NaN	NaN	NaN	NaN	NaN	NaN	16.316	 0.048	NaN	NaN
27	59498.306	0	NaN	NaN	NaN	NaN	NaN	NaN	16.657	 0.062	NaN	NaN
28	59500.332	0	NaN	NaN	NaN	NaN	NaN	NaN	16.609	 0.059	NaN	NaN
;;Nickel data
1	59516.280	0	18.818	 0.358	17.430	 0.068	16.895	 0.016	NaN	NaN	16.477	 0.017
2	59531.251	0	19.805	 0.189	17.925	 0.038	17.263	 0.022	NaN	NaN	16.801	 0.024
3	59535.253	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4	59543.272	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5	59547.179	0	20.755	 0.111	20.743	 0.392	20.056	 0.778	NaN	NaN	19.570	 0.159
