GROUP	MJD	STAR	B	EB	V	EV	R	ER	CLEAR	ECLEAR	I	EI
;;kait data
1	59454.172	0	18.019	 0.280	17.713	 0.171	17.772	 0.161	17.725	 0.182	17.816	 0.356
2	59455.176	0	17.774	 0.168	17.779	 0.124	17.655	 0.117	17.581	 0.103	17.698	 0.158
3	59456.152	0	17.547	 0.181	17.766	 0.130	17.718	 0.174	17.456	 0.163	17.532	 0.227
4	59457.150	0	17.881	 0.208	17.849	 0.124	17.707	 0.141	17.492	 0.153	17.753	 0.354
5	59459.148	0	17.864	 0.202	17.834	 0.146	17.561	 0.140	17.582	 0.136	17.521	 0.214
6	59460.163	0	17.757	 0.145	17.843	 0.116	17.628	 0.102	17.632	 0.120	17.471	 0.128
7	59461.147	0	NaN	NaN	NaN	NaN	NaN	NaN	17.608	 0.189	NaN	NaN
8	59462.173	0	17.856	 0.173	17.978	 0.262	17.754	 0.182	NaN	NaN	17.754	 0.207
9	59464.190	0	18.406	 0.379	18.008	 0.285	17.962	 0.270	NaN	NaN	NaN	NaN
;;Nickel data
1	59459.163	0	17.811	 0.025	17.711	 0.028	17.643	 0.051	NaN	NaN	17.594	 0.098
2	59463.174	0	18.004	 0.041	17.491	 0.366	17.764	 0.292	NaN	NaN	17.543	 0.047
3	59475.145	0	18.760	 0.088	18.010	 0.113	18.104	 0.056	NaN	NaN	17.865	 0.064
