GROUP	MJD	STAR	B	EB	V	EV	R	ER	CLEAR	ECLEAR	I	EI
;;kait data
1	59674.531	0	18.859	 0.309	18.414	 0.215	17.996	 0.147	18.077	 0.150	17.585	 0.200
2	59696.508	0	NaN	NaN	NaN	NaN	NaN	NaN	18.103	 0.168	NaN	NaN
3	59705.502	0	NaN	NaN	NaN	NaN	NaN	NaN	18.351	 0.243	NaN	NaN
4	59711.491	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5	59717.475	0	NaN	NaN	NaN	NaN	NaN	NaN	18.900	 0.330	NaN	NaN
6	59721.474	0	NaN	NaN	NaN	NaN	NaN	NaN	18.824	 0.242	NaN	NaN
7	59722.469	0	NaN	NaN	NaN	NaN	NaN	NaN	18.964	 0.277	NaN	NaN
8	59726.460	0	NaN	NaN	NaN	NaN	NaN	NaN	19.090	 0.369	NaN	NaN
9	59729.450	0	NaN	NaN	NaN	NaN	NaN	NaN	19.209	 0.322	NaN	NaN
10	59730.441	0	NaN	NaN	NaN	NaN	NaN	NaN	19.583	 0.365	NaN	NaN
11	59731.444	0	NaN	NaN	NaN	NaN	NaN	NaN	19.552	 0.384	NaN	NaN
12	59732.437	0	NaN	NaN	NaN	NaN	NaN	NaN	19.504	 0.348	NaN	NaN
13	59737.417	0	NaN	NaN	NaN	NaN	NaN	NaN	19.713	 0.341	NaN	NaN
14	59740.413	0	NaN	NaN	NaN	NaN	NaN	NaN	19.668	 0.331	NaN	NaN
15	59750.394	0	NaN	NaN	NaN	NaN	NaN	NaN	19.861	 0.338	NaN	NaN
16	59752.390	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
17	59753.374	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
18	59754.379	0	NaN	NaN	NaN	NaN	NaN	NaN	19.779	 0.364	NaN	NaN
19	59755.382	0	NaN	NaN	NaN	NaN	NaN	NaN	20.127	 0.344	NaN	NaN
20	59756.375	0	NaN	NaN	NaN	NaN	NaN	NaN	19.801	 0.361	NaN	NaN
21	59757.366	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
22	59760.352	0	NaN	NaN	NaN	NaN	NaN	NaN	20.034	 0.372	NaN	NaN
23	59761.355	0	NaN	NaN	NaN	NaN	NaN	NaN	19.913	 0.391	NaN	NaN
24	59764.344	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
25	59766.338	0	NaN	NaN	NaN	NaN	NaN	NaN	20.041	 0.301	NaN	NaN
26	59767.338	0	NaN	NaN	NaN	NaN	NaN	NaN	19.974	 0.394	NaN	NaN
27	59768.329	0	NaN	NaN	NaN	NaN	NaN	NaN	19.935	 0.379	NaN	NaN
;;Nickel data
1	59663.419	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2	59674.528	0	18.977	 0.088	18.344	 0.089	17.962	 0.099	NaN	NaN	17.722	 0.106
3	59714.506	0	20.179	 0.354	19.073	 0.347	18.349	 0.300	NaN	NaN	18.131	 0.347
