WAVE,FLUX,ERR,SKYBACK
3647.8713,3.9711475E-16,1.4056411E-17,2.1291895E-16
3653.3958,4.1173152E-16,1.4104432E-17,2.2386972E-16
3658.9204,4.1431547E-16,1.3854258E-17,2.0814824E-16
3664.4448,3.8683336E-16,1.33982795E-17,2.037396E-16
3669.9695,3.951661E-16,1.3220706E-17,1.9146024E-16
3675.494,3.7593683E-16,1.289897E-17,1.9020755E-16
3681.0183,3.7861388E-16,1.2729964E-17,1.8827398E-16
3686.543,3.5869609E-16,1.2533383E-17,2.0357896E-16
3692.0674,3.2304368E-16,1.2222695E-17,2.2342E-16
3697.592,3.4019225E-16,1.2211417E-17,2.1954926E-16
3703.1165,3.6317228E-16,1.2164496E-17,2.0603432E-16
3708.6409,3.6533187E-16,1.2015206E-17,1.9996389E-16
3714.1655,4.0379763E-16,1.2154382E-17,1.9228596E-16
3719.69,4.1082792E-16,1.21020684E-17,1.9305314E-16
3725.2146,4.4165026E-16,1.2262133E-17,1.996331E-16
3730.739,4.5123383E-16,1.2220998E-17,2.0078978E-16
3736.2634,4.7277165E-16,1.223804E-17,1.9557068E-16
3741.788,5.078338E-16,1.2347262E-17,1.911753E-16
3747.3125,5.0814687E-16,1.2220729E-17,1.8736509E-16
3752.8372,5.0391504E-16,1.2170202E-17,2.0300398E-16
3758.3616,5.3049504E-16,1.21835226E-17,1.9196553E-16
3763.886,5.552634E-16,1.2247244E-17,1.9344812E-16
3769.4106,5.597924E-16,1.2245489E-17,2.0735692E-16
3774.935,5.569481E-16,1.2164367E-17,2.1253867E-16
3780.4595,5.157429E-16,1.18452355E-17,2.227449E-16
3785.9841,5.155442E-16,1.1575449E-17,1.9363085E-16
3791.5085,4.9289504E-16,1.1339807E-17,1.9434233E-16
3797.0332,4.984211E-16,1.12792545E-17,1.9218638E-16
3802.5576,5.0220366E-16,1.1117761E-17,1.7535584E-16
3808.082,4.7453083E-16,1.0841008E-17,1.7563752E-16
3813.6067,4.510092E-16,1.0626265E-17,1.8091763E-16
3819.131,4.778812E-16,1.0665409E-17,1.6800722E-16
3824.6558,4.4325231E-16,1.0333277E-17,1.6614165E-16
3830.1802,4.578864E-16,1.0274206E-17,1.5080146E-16
3835.7046,4.247341E-16,1.00018535E-17,1.5789917E-16
3841.2292,4.1360534E-16,9.96626E-18,1.7676527E-16
3846.7537,4.0496576E-16,9.7530045E-18,1.6171918E-16
3852.2783,3.63554E-16,9.390286E-18,1.6268847E-16
3857.8027,3.246841E-16,8.998691E-18,1.5606316E-16
3863.3271,3.192306E-16,8.887745E-18,1.5552712E-16
3868.8518,2.7955888E-16,8.5861215E-18,1.6664897E-16
3874.3762,2.948916E-16,8.625723E-18,1.6464104E-16
3879.901,2.836671E-16,8.438354E-18,1.5588168E-16
3885.4253,2.607295E-16,8.236419E-18,1.6094327E-16
3890.9497,2.8190106E-16,8.422344E-18,1.7232769E-16
3896.4744,2.8539862E-16,8.503994E-18,1.9114273E-16
3901.9988,3.1825765E-16,8.7789365E-18,2.0500877E-16
3907.5234,3.3869811E-16,8.904063E-18,2.0932405E-16
3913.0479,3.5432571E-16,8.946826E-18,2.064134E-16
3918.5723,4.007462E-16,9.070939E-18,1.8042453E-16
3924.097,4.5716353E-16,9.255721E-18,1.5449467E-16
3929.6213,5.1291837E-16,9.495507E-18,1.4139262E-16
3935.146,5.614884E-16,9.703461E-18,1.3173411E-16
3940.6704,6.304336E-16,1.019081E-17,1.5934373E-16
3946.1948,6.546583E-16,1.0379902E-17,1.793639E-16
3951.7195,7.228892E-16,1.07293E-17,1.8523603E-16
3957.244,7.563702E-16,1.0764157E-17,1.6499294E-16
3962.7686,7.7772813E-16,1.0707805E-17,1.3920274E-16
3968.293,7.785877E-16,1.06787975E-17,1.4229706E-16
3973.8174,7.7413883E-16,1.0683747E-17,1.5889656E-16
3979.342,7.549149E-16,1.0690396E-17,1.9352751E-16
3984.8665,7.2746837E-16,1.0612028E-17,2.1864769E-16
3990.391,7.2061423E-16,1.0545249E-17,2.2559801E-16
3995.9155,7.196463E-16,1.0564576E-17,2.4071017E-16
4001.44,6.931673E-16,1.04097735E-17,2.4576923E-16
