#WAVE FLUX ERR SKYBACK
15004.91 6.2511894E-16 4.879157E-18 2.7916108E-17
15015.068 6.437686E-16 5.0307268E-18 4.2051523E-17
15025.226 6.3473144E-16 4.9718117E-18 6.956494E-17
15035.384 5.9271766E-16 4.7023415E-18 8.214226E-17
15045.542 5.7451635E-16 4.4807472E-18 8.523487E-17
15055.699 5.999542E-16 4.5334858E-18 6.4469167E-17
15065.857 6.18199E-16 4.800033E-18 4.4718416E-17
15076.015 6.066584E-16 4.667225E-18 3.3056434E-17
15086.173 6.027015E-16 4.6090404E-18 2.5661859E-17
15096.331 6.0166174E-16 4.624648E-18 1.9645599E-17
15106.488 6.2118215E-16 4.660347E-18 1.9133113E-17
15116.646 6.326194E-16 4.6811652E-18 1.9060298E-17
15126.804 6.043806E-16 4.544083E-18 1.5852632E-17
15136.962 5.933298E-16 4.48168E-18 1.7993188E-17
15147.119 6.0429003E-16 4.5338253E-18 1.887574E-17
15157.277 6.0559584E-16 4.5372296E-18 2.367044E-17
15167.436 6.012883E-16 4.515097E-18 2.7867645E-17
15177.593 5.8707806E-16 4.4691187E-18 2.5197192E-17
15187.751 5.8156054E-16 4.423874E-18 2.0921795E-17
15197.908 6.067583E-16 4.4617527E-18 2.5685399E-17
15208.066 6.041273E-16 4.4086258E-18 4.0560302E-17
15218.225 5.9502016E-16 4.334751E-18 5.0582104E-17
15228.382 5.9782394E-16 4.3584266E-18 4.6965853E-17
15238.54 5.901309E-16 4.4502164E-18 4.0512722E-17
15248.697 5.9193886E-16 4.452927E-18 3.2384548E-17
15258.855 5.9755575E-16 4.3569175E-18 3.1305934E-17
15269.013 5.929613E-16 4.344998E-18 3.050837E-17
15279.171 5.984192E-16 4.3825555E-18 3.0005778E-17
15289.329 5.8269906E-16 4.327884E-18 3.023038E-17
15299.486 5.7430983E-16 4.2642645E-18 4.3382258E-17
15309.645 5.8782064E-16 4.3226072E-18 5.4754367E-17
15319.802 5.8634966E-16 4.5049505E-18 5.601808E-17
15329.96 5.95158E-16 4.3415906E-18 3.8836825E-17
15340.118 5.8131527E-16 4.325783E-18 2.6140003E-17
15350.275 5.79882E-16 4.3284682E-18 2.5758224E-17
15360.434 5.731402E-16 4.270951E-18 2.3802999E-17
15370.591 5.7092006E-16 4.2683607E-18 3.0342732E-17
15380.749 5.8297175E-16 4.308608E-18 3.0818837E-17
15390.906 5.74336E-16 4.269713E-18 3.3768256E-17
15401.064 5.659675E-16 4.195834E-18 4.0116493E-17
15411.223 5.7130525E-16 4.236871E-18 3.9707723E-17
15421.38 5.6958386E-16 4.215194E-18 3.7189703E-17
15431.538 5.8016336E-16 4.2435834E-18 2.9236917E-17
15441.695 5.8656264E-16 4.185582E-18 2.3132582E-17
15451.854 5.7958595E-16 4.1710376E-18 1.9765267E-17
15462.012 5.6547925E-16 4.11341E-18 1.8508545E-17
15472.169 5.578224E-16 4.0302874E-18 2.0840806E-17
15482.327 5.5506074E-16 4.0317408E-18 2.5006098E-17
15492.484 5.563758E-16 4.0097212E-18 2.7796154E-17
15502.643 5.457884E-16 4.0079907E-18 3.0176773E-17
15512.801 5.58164E-16 4.0062193E-18 4.0292474E-17
15522.958 5.464545E-16 3.992684E-18 3.7842616E-17
15533.116 5.44955E-16 3.9813018E-18 3.3285797E-17
15543.273 5.351626E-16 3.958053E-18 3.3938595E-17
15553.432 5.229927E-16 3.9012766E-18 2.7265693E-17
