#WAVE FLUX ERR SKYBACK
3336.7178 9.1691E-17 3.829667E-17 -8.374247E-17
3340.7988 8.8608474E-17 3.6952147E-17 -1.1120772E-16
3344.88 1.6415835E-16 3.6961963E-17 -1.1196714E-16
3348.961 1.72153E-16 3.7151755E-17 -3.812494E-17
3353.0417 2.304261E-16 3.658404E-17 -9.5465166E-17
3357.1228 1.950121E-16 3.4996768E-17 -1.0269737E-16
3361.2039 2.7642888E-16 3.4983225E-17 -1.332706E-16
3365.2847 1.8685985E-16 3.2935142E-17 -1.02726316E-16
3369.3657 2.0434565E-16 3.2008257E-17 -1.360282E-16
3373.4468 1.6204497E-16 3.113033E-17 -8.150841E-17
3377.5278 1.3794494E-16 3.05365E-17 -3.9477727E-17
3381.6086 1.0311098E-16 2.9099883E-17 -4.3561505E-17
3385.6897 2.0233314E-16 2.965074E-17 -6.79619E-17
3389.7708 1.7138474E-16 2.8246478E-17 -8.463531E-17
3393.8516 2.268993E-16 2.8139033E-17 -1.1590464E-16
3397.9326 1.4271352E-16 2.6473083E-17 -7.710676E-17
3402.0137 2.1261647E-16 2.6952569E-17 -8.0620874E-17
3406.0947 1.9487118E-16 2.632302E-17 -6.4508785E-17
3410.1755 1.8133976E-16 2.5198913E-17 -8.331051E-17
3414.2566 2.0202906E-16 2.5550709E-17 -4.440361E-17
3418.3376 1.8061769E-16 2.4412484E-17 -6.552061E-17
3422.4185 1.876335E-16 2.4146611E-17 -4.9941996E-17
3426.4995 2.1896354E-16 2.4564088E-17 -2.6218115E-17
3430.5806 1.1808572E-16 2.2581326E-17 -1.06445365E-17
3434.6614 2.4314263E-16 2.4016546E-17 -2.9436235E-17
3438.7424 2.5731058E-16 2.374359E-17 -3.246503E-17
3442.8235 2.1157266E-16 2.283214E-17 -1.0302501E-17
3446.9045 2.383045E-16 2.2578269E-17 -3.6019656E-17
3450.9854 2.39334E-16 2.2519732E-17 -1.3743833E-17
3455.0664 2.6259705E-16 2.2060358E-17 -5.0918886E-17
3459.1475 2.7134155E-16 2.2250528E-17 -1.5032108E-17
3463.2283 3.1193981E-16 2.254562E-17 -1.09904E-17
