 Flux (Janskies) at 10 Mpc and normalised flux for a model with the following parameters: 			
 Luminosity: 1.9e8 Lsun
 Mass-loss rate: 3.0e-3 Msun/yr
 Wind terminal velocity: 150.0 km/s
 Effective temperature (at optical depth 10): 14.2e3 K 
 Effective temperature (at optical depth 2/3): 11.6e3 K 
 Inner boundary: 16.0e13 cm 
 Abundances (mass fractions): H=1.864E-01,He=8.000E-01,C=5.583E-05,N=8.172E-03,O=1.319E-04,Fe=1.360E-03 
 	 Wavelength 	 Flux 	 	 Normalised Flux 
 	 (Angstrom) 	 (Jy (at 10 Mpc)) 	 
	10.0147894188	1.0309e-107	1.0
	10.0214733643	1.0309e-107	1.0
	10.028161792825	1.0309e-107	1.0
	10.034854536725	1.0309e-107	1.0
	10.041551931499999	1.0309e-107	1.0
	10.048253641325001	1.0309e-107	1.0
	10.0549599184	1.0309e-107	1.0
	10.0616706787	1.0309e-107	1.0
	10.068386006775	1.0309e-107	1.0
	10.075105649000001	1.0309e-107	1.0
	10.081829858925001	1.0309e-107	1.0
	10.08855855215	1.0309e-107	1.0
	10.0952916436	1.0309e-107	1.0
	10.102029303	1.0309e-107	1.0
	10.108771530825	1.0309e-107	1.0
	10.1155181566	1.0309e-107	1.0
	10.122269350825	1.0309e-107	1.0
	10.129025028200001	1.0309e-107	1.0
	10.135785188500002	1.0309e-107	1.0
	10.142549917550001	1.0309e-107	1.0
	10.14931904375	1.0309e-107	1.0
	10.156092738675	1.0309e-107	1.0
	10.1628710024	1.0309e-107	1.0
	10.169653835225	1.0309e-107	1.0
	10.17644106455	1.0309e-107	1.0
	10.183232862875	1.0309e-107	1.0
	10.190029230274998	1.0309e-107	1.0
	10.1968301669	1.0309e-107	1.0
	10.203635586075	1.0309e-107	1.0
	10.210445574475	1.0309e-107	1.0
	10.2172601322	1.0309e-107	1.0
	10.224079172225	1.0309e-107	1.0
	10.23090278155	1.0309e-107	1.0
	10.237730960225	1.0309e-107	1.0
	10.244563620825	1.0309e-107	1.0
	10.251400938175	1.0309e-107	1.0
	10.258242737325	1.0309e-107	1.0
	10.265089193599998	1.0309e-107	1.0
	10.271940219375	1.0309e-107	1.0
	10.2787957265	1.0309e-107	1.0
	10.28565589115	1.0309e-107	1.0
	10.2925206253	1.0309e-107	1.0
	10.299390017225	1.0309e-107	1.0
	10.306263801699998	1.0309e-107	1.0
	10.31314224385	1.0309e-107	1.0
	10.320025343975	1.0309e-107	1.0
	10.326913013525001	1.0309e-107	1.0
	10.33380516325	1.0309e-107	1.0
	10.340702060225002	1.0309e-107	1.0
	10.347603526450001	1.0309e-107	1.0
	10.354509651075	1.0309e-107	1.0
	10.361420344999999	1.0309e-107	1.0
	10.368335607925	1.0309e-107	1.0
	10.3752554396	1.0309e-107	1.0
	10.38217984005	1.0309e-107	1.0
	10.38910898885	1.0309e-107	1.0
	10.396042886675	1.0309e-107	1.0
	10.402981172925	1.0309e-107	1.0
	10.40992420815	1.0309e-107	1.0
	10.416871902325	1.0309e-107	1.0
	10.423824074325	1.0309e-107	1.0
	10.430781086425	1.0309e-107	1.0
	10.437742575975	1.0309e-107	1.0
	10.444708815325	1.0309e-107	1.0
	10.451679713675	1.0309e-107	1.0
	10.458655362325	1.0309e-107	1.0
	10.465635396325	1.0309e-107	1.0
	10.472620271875	1.0309e-107	1.0
	10.479609714975	1.0309e-107	1.0
	10.486603908574999	1.0309e-107	1.0
	10.493602761250001	1.0309e-107	1.0
	10.500606272975	1.0309e-107	1.0
	10.507614443625	1.0309e-107	1.0
	10.514627181025	1.0309e-107	1.0
	10.521644761625	1.0309e-107	1.0
