 Flux (Janskies) at 10 Mpc and normalised flux for a model with the following parameters: 
 Luminosity: 5.2e9 Lsun
 Mass-loss rate: 3.0e-3 Msun/yr
 Wind terminal velocity: 150.0 km/s
 Effective temperature (at optical depth 10): 31.9e3 K 
 Effective temperature (at optical depth 2/3): 18.2e3 K 
 Inner boundary: 16.0e13 cm 
 Abundances (mass fractions): H=7.010E-01,He=2.800E-01,C=3.026E-03,N=1.182E-03,O=9.634E-03,Fe=1.360E-03 
 	 Wavelength 	 Flux 	 	 Normalised Flux 
 	 (Angstrom) 	 (Jy (at 10 Mpc)) 	 
       10.0120729149        1.040400000e-107             1.000000000
	10.0162488614	1.0404e-107	1.0
	10.0229336666	1.0404e-107	1.0
	10.0296232064	1.0404e-107	1.0
	10.0363170617	1.0404e-107	1.0
	10.043015232	1.0404e-107	1.0
	10.0497181379	1.0404e-107	1.0
	10.0564253586	1.0404e-107	1.0
	10.0631368934	1.0404e-107	1.0
	10.0698531647	1.0404e-107	1.0
	10.0765738347	1.0404e-107	1.0
	10.0832989878	1.0404e-107	1.0
	10.0900287089	1.0404e-107	1.0
	10.0967628284	1.0404e-107	1.0
	10.103501516	1.0404e-107	1.0
	10.1102447722	1.0404e-107	1.0
	10.1169923409	1.0404e-107	1.0
	10.123744478	1.0404e-107	1.0
	10.1305010983	1.0404e-107	1.0
	10.1372622871	1.0404e-107	1.0
	10.1440279588	1.0404e-107	1.0
	10.1507981994	1.0404e-107	1.0
	10.1575728371	1.0404e-107	1.0
	10.1643520435	1.0404e-107	1.0
	10.1711358187	1.0404e-107	1.0
	10.1779239905	1.0404e-107	1.0
	10.184716904	1.0404e-107	1.0
	10.1915142137	1.0404e-107	1.0
	10.1983160925	1.0404e-107	1.0
	10.2051225406	1.0404e-107	1.0
	10.2119334711	1.0404e-107	1.0
	10.2187489708	1.0404e-107	1.0
	10.2255690398	1.0404e-107	1.0
	10.2323936782	1.0404e-107	1.0
	10.2392228859	1.0404e-107	1.0
	10.2460565758	1.0404e-107	1.0
	10.2528948349	1.0404e-107	1.0
	10.2597376633	1.0404e-107	1.0
	10.2665850611	1.0404e-107	1.0
	10.2734371163	1.0404e-107	1.0
	10.280293741	1.0404e-107	1.0
	10.287154847	1.0404e-107	1.0
	10.2940205223	1.0404e-107	1.0
	10.3008908554	1.0404e-107	1.0
	10.3077657579	1.0404e-107	1.0
	10.314645141	1.0404e-107	1.0
	10.3215292709	1.0404e-107	1.0
	10.3284179701	1.0404e-107	1.0
	10.3353112387	1.0404e-107	1.0
	10.3422089873	1.0404e-107	1.0
	10.3491113941	1.0404e-107	1.0
	10.3560185486	1.0404e-107	1.0
	10.3629302722	1.0404e-107	1.0
	10.3698463857	1.0404e-107	1.0
	10.3767674267	1.0404e-107	1.0
	10.383692947	1.0404e-107	1.0
	10.390623036	1.0404e-107	1.0
	10.3975578737	1.0404e-107	1.0
	10.40449719	1.0404e-107	1.0
	10.4114412553	1.0404e-107	1.0
	10.4183898891	1.0404e-107	1.0
	10.4253431817	1.0404e-107	1.0
	10.4323011333	1.0404e-107	1.0
	10.4392636531	1.0404e-107	1.0
	10.4462309226	1.0404e-107	1.0
	10.4532027601	1.0404e-107	1.0
	10.4601794389	1.0404e-107	1.0
	10.467160503	1.0404e-107	1.0
	10.4741465003	1.0404e-107	1.0
	10.4811368821	1.0404e-107	1.0
	10.488132106	1.0404e-107	1.0
	10.4951319889	1.0404e-107	1.0
	10.5021364391	1.0404e-107	1.0
	10.5091457321	1.0404e-107	1.0
	10.5161596842	1.0404e-107	1.0
	10.5231782031	1.0404e-107	1.0
	10.5302013808	1.0404e-107	1.0
	10.5372293096	1.0404e-107	1.0
	10.5442618972	1.0404e-107	1.0
	10.5512992363	1.0404e-107	1.0
	10.5583413271	1.0404e-107	1.0
	10.5653879836	1.0404e-107	1.0
	10.5724392984	1.0404e-107	1.0
	10.5794954582	1.0404e-107	1.0
	10.5865562765	1.0404e-107	1.0
	10.593621753	1.0404e-107	1.0
	10.6006920751	1.0404e-107	1.0
	10.6077669617	1.0404e-107	1.0
	10.614846694	1.0404e-107	1.0
	10.6219310844	1.0404e-107	1.0
	10.6290202268	1.0404e-107	1.0
	10.6361140271	1.0404e-107	1.0
	10.6432126737	1.0404e-107	1.0
	10.6503160725	1.0404e-107	1.0
	10.6574241289	1.0404e-107	1.0
	10.6645370323	1.0404e-107	1.0
	10.6716544981	1.0404e-107	1.0
	10.6787769059	1.0404e-107	1.0
	10.6859040662	1.0404e-107	1.0
	10.6930359788	1.0404e-107	1.0
	10.7001723573	1.0404e-107	1.0
	10.7073138698	1.0404e-107	1.0
	10.7144598476	1.0404e-107	1.0
	10.7216107688	1.0404e-107	1.0
	10.7287665381	1.0404e-107	1.0
	10.7359269636	1.0404e-107	1.0
	10.7430922373	1.0404e-107	1.0
	10.7502621667	1.0404e-107	1.0
	10.7574369442	1.0404e-107	1.0
	10.7646165702	1.0404e-107	1.0
	10.7718009482	1.0404e-107	1.0
	10.7789900778	1.0404e-107	1.0
	10.7861841531	1.0404e-107	1.0
	10.7933829803	1.0404e-107	1.0
	10.8005863645	1.0404e-107	1.0
	10.8077947921	1.0404e-107	1.0
	10.8150080685	1.0404e-107	1.0
	10.8222259989	1.0404e-107	1.0
	10.829448778	1.0404e-107	1.0
	10.836676406	1.0404e-107	1.0
	10.8439089812	1.0404e-107	1.0
	10.8511462094	1.0404e-107	1.0
	10.858388483	1.0404e-107	1.0
	10.8656353109	1.0404e-107	1.0
	10.8728870862	1.0404e-107	1.0
	10.8801437105	1.0404e-107	1.0
	10.887405184	1.0404e-107	1.0
	10.8946716056	1.0404e-107	1.0
	10.9019426784	1.0404e-107	1.0
	10.9092188979	1.0404e-107	1.0
	10.9164996688	1.0404e-107	1.0
	10.9237853881	1.0404e-107	1.0
	10.9310759565	1.0404e-107	1.0
	10.9383714736	1.0404e-107	1.0
	10.94567174	1.0404e-107	1.0
	10.9529769552	1.0404e-107	1.0
	10.9602871197	1.0404e-107	1.0
	10.9676021332	1.0404e-107	1.0
	10.9749218954	1.0404e-107	1.0
	10.9822466067	1.0404e-107	1.0
	10.9895763682	1.0404e-107	1.0
	10.9969108779	1.0404e-107	1.0
